Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
11	Pembrolizumab and LENvatinib in Participants With Hepatocellular Carcinoma (HCC) Before Liver Transplant	Recruiting	No Results Available	Liver Transplant; Complications|Hepatocellular Carcinoma Recurrent	Drug: Pembrolizumab Injection [Keytruda]|Drug: Lenvatinib Oral Product	Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China	https://ClinicalTrials.gov/show/NCT04425226
12	Liver Perfusion MRI With Quantification of Tumoral Perfusion for Early Assessment of the Response of Antiangiogenics Treatments in Hepatocellular Carcinoma	Terminated	No Results Available	Hepatocellular Carcinoma	Device: liver Perfusion MRI	Service d'Imagerie, MédicaleHôpital Croix-Rousse, Lyon, France	https://ClinicalTrials.gov/show/NCT02585687
13	Lenvatinib Following Liver Transplantation in Patients of Hepatocellular Carcinoma With Portal Vein Tumor Thrombus	Not yet recruiting	No Results Available	Hepatocellular Carcinoma|Portal Vein Tumor Thrombus|Liver Transplantation	Drug: lenvatinib|Drug: Placebo		https://ClinicalTrials.gov/show/NCT04319484
14	Prospective Liver Tumor (ProLiT) Database	Unknown status	No Results Available	Hepatocellular Carcinoma|Evidence of Liver Transplantation		University of Alberta, Edmonton, Canada	https://ClinicalTrials.gov/show/NCT01607788
15	Impacts of the α-fetoprotein (AFP) Score in Real Life for Patient Selection for Liver Transplantation (LT) for Hepatocellular Carcinoma (HCC)	Completed	No Results Available	Hepatocellular Carcinoma	Other: Data collecting	University Hospital, Grenoble Alpes, Grenoble, France	https://ClinicalTrials.gov/show/NCT03156582
16	Lenvatinib Following Liver Transplantation in Patients With High-Risk Hepatocellular Carcinoma	Not yet recruiting	No Results Available	Hepatocellular Carcinoma	Drug: Lenvatinib|Drug: Placebo|Drug: Immunosuppressive regimen		https://ClinicalTrials.gov/show/NCT04168944
17	Atezolizumab and Bevacizumab Pre-Liver Transplantation for Patients With Hepatocellular Carcinoma Beyond Milan Criteria	Not yet recruiting	No Results Available	Hepatocellular Carcinoma|Hepatocellular Cancer	Drug: Atezolizumab|Drug: Bevacizumab	Houston Methodist Research Institute, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT05185505
18	Study of Pembrolizumab Following TACE in Primary Liver Carcinoma	Recruiting	No Results Available	Primary Liver Carcinoma	Drug: Pembrolizumab|Combination Product: Trans-arterial chemoembolization	Imperial College Healthcare NHS Trust, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03397654
19	PET TDM FDG-Choline as a Decision-making Tool for Routine Care on the Liver Transplant List for HCC	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Transplant	Radiation: PET TDM FDG-Choline	Hop Claude Huriez Chu Lille, Lille, France	https://ClinicalTrials.gov/show/NCT04792801
20	Dose Finding Study of AVE1642 in Patients With Advanced or Metastatic Liver Carcinoma	Terminated	No Results Available	Liver Carcinoma	Drug: AVE1642|Drug: sorafenib|Drug: erlotinib	Sanofi-Aventis Administrative Office, Paris, France	https://ClinicalTrials.gov/show/NCT00791544
21	Serum Visfatin and Serum Vaspin in Patients With Hepatocellular Carcinoma on Top of Liver Cirrhosis	Not yet recruiting	No Results Available	Hepatocellular Carcinoma			https://ClinicalTrials.gov/show/NCT04763707
22	Safety Study of Liver Natural Killer Cell Therapy for Hepatoma Liver Transplantation	Completed	Has Results	Liver Cirrhosis|Hepatocellular Carcinoma|Evidence of Liver Transplantation	Biological: Liver NK cell inoculation	University of Miami, Miami, Florida, United States	https://ClinicalTrials.gov/show/NCT01147380
23	Risk Factors of Hepatocellular Carcinomas Developed on Non-fibrotic Liver: Case-control Study (NoFlic Study)	Completed	No Results Available	Hepatocellular Carcinoma	Other: Blood test and self-administrated questionnaires	CHU Amiens, Amiens, France|AP-HP Jean Verdier, Bondy, France|CHU Bordeaux, Bordeaux, France|CHU Caen, Caen, France|AP-HP Hopital Antoine Béclère, Clamart, France|AP-HP Hopital Beaujon, Clichy, France|CHI Créteil, Créteil, France|CHU Grenoble, Grenoble, France|Hopital Edouard Herriot, Lyon, France|Hospices Civiles de Lyon, Lyon, France|AP-HP Cochin, Paris, France|AP-HP Hopital Henri Mondor, Paris, France|AP-HP Hopital Saint Antoine, Paris, France|CHU Villejuif, Villejuif, France	https://ClinicalTrials.gov/show/NCT03852238
24	Use of DwI-MR to Predict Chemotherapy Response of Liver Metastases and Hepatocarcinoma	Completed	No Results Available	Liver Metastases|Hepatocarcinoma		Stefano Colagrande, Florence, Italy	https://ClinicalTrials.gov/show/NCT01411579
25	A Study of exoASO-STAT6 (CDK-004) in Patients With Advanced Hepatocellular Carcinoma (HCC) and Patients With Liver Metastases From Primary Gastric Cancer and Colorectal Cancer (CRC)	Recruiting	No Results Available	Advanced Hepatocellular Carcinoma (HCC)|Gastric Cancer Metastatic to Liver|Colorectal Cancer Metastatic to Liver	Drug: CDK-004	City of Hope National Medical Center, Duarte, California, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States	https://ClinicalTrials.gov/show/NCT05375604
26	An Exploratory Study of Atezolizumab and Bevacizumab in Hepatocellular Carcinoma and Non-Small Cell Lung Cancer With Liver Metastases (INTEGRATE)	Recruiting	No Results Available	Hepatocellular Carcinoma|Non-small Cell Lung Cancer Metastatic|Liver Metastases	Drug: Atezolizumab|Drug: Bevacizumab	Princess Margaret Cancer Centre, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT04563338
27	Safety, Tolerability, PK, Anti-Tumor Activity of STP705 Injected IT in Cholangiocarcinoma, Hepatocellular Carcinoma or Liver Metastases in Subjects With Advanced/Metastatic or Surgically Unresectable Solid Tumors Who Are Refractory to Standard Therapy	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Metastases|Cholangiocarcinoma	Drug: STP705	Honor Health, Scottsdale, Arizona, United States|City of Hope, Duarte, California, United States|USC Norris Comprehensive Cancer Center, Los Angeles, California, United States|Hartford Healthcare, Hartford, Connecticut, United States|Atlantic Health System, Morristown, New Jersey, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT04676633
28	Portal Hypertension and Liver Resection in Patients With Hepatocellular Carcinoma	Unknown status	No Results Available	Primary Liver Cancers	Procedure: Liver resection	Henri Mondor University Hospital, Creteil, France	https://ClinicalTrials.gov/show/NCT02145013
29	Standard Versus Radiobiologically-Guided Dose Selected SBRT in Liver Cancer	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Metastases	Radiation: Radiation therapy	London Regional Cancer Program, London, Ontario, Canada	https://ClinicalTrials.gov/show/NCT04745390
30	Hepatocellular Carcinoma in Patients With a Cirrhosis Due to an Alcoholic or a Non Alcoholic Fatty Liver Disease	Unknown status	No Results Available	Hepatocellular Carcinoma	Other: blood collection	CHU de Nice, Nice, France	https://ClinicalTrials.gov/show/NCT03307408
31	AFP - L3% and DCP as Screening Marker for a Hepatocellular Carcinoma in Patients With Cirrhosis of the Liver	Completed	No Results Available	Liver Cirrhosis		University Medical Center Freiburg, Freiburg, Baden-Württemberg, Germany|University Medical Center Mainz, Mainz, Rheinland-Pfalz, Germany	https://ClinicalTrials.gov/show/NCT01361061
32	Trial of PXS-5505 Combined With First Line Atezolizumab Plus Bevacizumab For Treating Patients With Unresectable Hepatocellular Carcinoma	Not yet recruiting	No Results Available	Hepatocellular Carcinoma|Cancer of Liver	Drug: PXS-5505 and Atezolizumab and Bevacizumab		https://ClinicalTrials.gov/show/NCT05109052
33	Combined Ipsilateral Liver Lobe Devascularization and Alcohol Treatment of the Large Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma	Procedure: Combined Treatment	Ribat University Hospital, Khartoum, Sudan	https://ClinicalTrials.gov/show/NCT03138044
34	Gadoxetic Acid-enhanced MR Evaluation of Hepatocellular Carcinoma and Dysplastic Nodules in the Cirrhotic Liver	Withdrawn	No Results Available	Liver Cirrhosis|Carcinoma, Hepatocellular		Asan Medical Center, Seoul, Korea, Republic of|Division of Abdomen, Department of Radiology & Research Institute of Radiology, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT01501240
35	SU011248 in Advanced Hepatocellular Carcinoma	Completed	No Results Available	Hepatocellular Carcinoma|Liver Cancer	Drug: SU011248	Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States	https://ClinicalTrials.gov/show/NCT00361309
36	Safety and Efficacy of PD-1 Inhibitors in Patients With Liver Transplant	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Transplantation	Drug: JS001(PD-1 inhibitor)	Shanghai Zhongshan Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT03966209
37	AFP Model and Liver Transplantation.	Completed	No Results Available	Liver Carcinoma|Liver Transplant Disorder	Procedure: Liver transplantation	Universidad Austral, Pilar, Buenos Aires, Argentina|Henri Mondor Hospital, University of Paris-Est., Creteil, Paris, France	https://ClinicalTrials.gov/show/NCT03775863
38	An Analysis of Urinary Proteases as Biomarkers for Hepatocellular Carcinoma-101423	Completed	No Results Available	Hepatocellular Carcinoma|Liver Disease			https://ClinicalTrials.gov/show/NCT01316679
39	Safety and Efficacy of Camrelizumab (Anti-PD-1 Antibody) in Recurrent HCC After Liver Transplantation	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Transplantation	Drug: Camrelizumab treatment	Third Affiliated Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04564313
40	Magnetic Resonance With Gadoxetic Acid for the Diagnosis of Hepatocellular Carcinoma in Patients With Liver Cirrhosis. Evaluation of Its Impact for the Non-invasive Diagnosis	Completed	No Results Available	Hepatocellular Carcinoma	Drug: GADOXETIC ACID	Hospital Clinic of Barcelona, Barcelona, Spain	https://ClinicalTrials.gov/show/NCT01575574
41	Hepatic Arterial Infusion of Oxaliplatin, Fluorouracil/Leucovorin Versus Sorafenib in Advanced Hepatocellular Carcinoma	Completed	No Results Available	Liver Cancer|Hepatic Carcinoma	Drug: FOLFOX regimen|Drug: Sorafenib 200Mg Tab	Minimally Invasive Interventional Division, Department of Medical Imaging and Interventional Radiology, Sun Yat-sen University Cancer Center,, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03164382
42	Stereotactic Radiation Therapy and Sorafenib in the Treatment of Hepatocellular Carcinoma	Terminated	Has Results	Hepatocellular Carcinoma|Liver Cancer	Drug: Sorafenib|Radiation: Stereotactic Body Radiotherapy (SBRT)	UAB, Birmingham, Alabama, United States	https://ClinicalTrials.gov/show/NCT01005875
43	Prospective Cohort of Patients With Hepatocellular Carcinoma in France	Recruiting	No Results Available	Cancer of Liver|Hepatocellular Carcinoma		CHU Amiens, Amiens, France	https://ClinicalTrials.gov/show/NCT04348838
44	Annual MRI Versus Biannual US for Surveillance of Hepatocellular Carcinoma in Liver Cirrhosis	Unknown status	No Results Available	Liver Cirrhosis	Device: annual noncontrast MRI|Device: biannual ultrasonography	Seoul St.Mary's Hospital, Seoul, Korea, Republic of|Korean University Guro Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|St.Vincent's Hospital, Suwon, Korea, Republic of|Uijeongbu St.Mary's Hospital, Uijeongbu, Korea, Republic of	https://ClinicalTrials.gov/show/NCT02551250
45	Boramae Hospital Liver Cirrhosis Patient Cohort Study	Completed	No Results Available	Liver Cirrhosis|Hepatocellular Carcinoma	Procedure: Liver biopsy|Device: Hepatic venous pressure gradient (HVPG) measurement	SNU-SMG Boramae Medical Center, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT01943318
46	Evaluation of Remnant Liver Function Using Primovist-enhanced MRI Before Resection/Ablation of Hepatocellular Carcinoma	Completed	No Results Available	Carcinoma, Hepatocellular|Liver Dysfunction	Drug: Gd-EOB-DTPA|Procedure: MRI	Cheonnam University Hwasun Hospital, Hwasun-Gun, Cheonnam Province, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|The Catholic University of Korea, Seoul St. Mary's Hospital, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT01490203
47	Prospective Post Y90 Liver Hypertrophy	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Hypertrophy	Other: CT volumetric measurement after Y90 radioembolization	Singapore General Hospital, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT02783261
48	Proton Beam Therapy for Treatment of Hepatocellular Carcinoma	Completed	Has Results	Liver Cancer|Hepatocellular Carcinoma	Radiation: Proton radiation therapy	Loma Linda University Medical Center / James M. Slater Proton Treatment Center, Loma Linda, California, United States	https://ClinicalTrials.gov/show/NCT00614913
49	Doxorubicin By Infusion or Chemoembolization in Treating Patients With Advanced Unresectable Hepatocellular Carcinoma (Liver Cancer)	Unknown status	No Results Available	Liver Cancer	Drug: doxorubicin hydrochloride|Procedure: hepatic artery embolization	Cancer Research UK Clinical Trials Unit - Birmingham, Birmingham, England, United Kingdom|Bristol Haematology and Oncology Centre, Bristol, England, United Kingdom|Addenbrooke's Hospital at Cambridge University Hospitals NHS Foundation Trust, Cambridge, England, United Kingdom|Royal Liverpool University Hospital, Liverpool, England, United Kingdom|Hammersmith Hospital, London, England, United Kingdom|Freeman Hospital, Newcastle-Upon-Tyne, England, United Kingdom|Royal South Hants Hospital, Southampton, England, United Kingdom|Royal Infirmary of Edinburgh at Little France, Edinburgh, Scotland, United Kingdom|Royal Infirmary Edinburgh, Edinburgh, Scotland, United Kingdom|West of Scotland Cancer Centre, Glasgow, Scotland, United Kingdom	https://ClinicalTrials.gov/show/NCT00079027
50	Sorafenib in Liver Function Impaired Advanced Hepatocellular Carcinoma	Completed	No Results Available	Liver Cancer	Drug: Sorafenib|Other: Best Supportive Care	Qingdao Central Hospital, Qingdao Cancer Hospital, Qingdao, Shandong, China	https://ClinicalTrials.gov/show/NCT01932385
51	Ipsilateral Liver Lobe Devascularization of the Large Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma	Procedure: HALED	Ribat University Hospital, Khartoum, Sudan	https://ClinicalTrials.gov/show/NCT03129685
52	Detection of Hepatocellular Carcinoma (HCC) With Octanoate Breath ID Test Compared to MRI	Terminated	Has Results	Chronic Liver Disease|Hepatocellular Carcinoma (HCC)	Drug: 13C Sodium Octanoate	Toronto General Hospital, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT01433016
53	Low-Dose Thalidomide as Adjuvant Therapy After Radiofrequency Ablation for Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Cancer	Drug: thalidomide	Cancer Center, Sun Yat-sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT00728078
54	Nucleoid as an Adjuvant Therapy After Radiofrequency Ablation for Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Cancer	Procedure: RFA|Drug: lamivudine or entecavir	Department of Hepatobilliary Surgery, Cancer Center, Sun Yat-sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT00555334
55	Laparoscopic Versus Open Liver Resection in the Treatment of Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma	Procedure: Laparoscopic liver resection|Procedure: Open liver resection	Department of General Surgery, Institute of Minimally Invasive Surgery, Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT01768741
56	Durvalumab and Lenvatinib in Participants With Locally Advanced and Metastatic Hepatocellular Carcinoma ( Dulect2020-1 )	Recruiting	No Results Available	Liver Carcinoma|Liver Transplant; Complications	Drug: Durvalumab Injection|Drug: Lenvatinib 4 MG	Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China	https://ClinicalTrials.gov/show/NCT04443322
57	Combination Camrelizumab (SHR-1210) and Apatinib for Downstaging/Bridging of HCC Before Liver Transplant	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Transplant	Drug: Camrelizumab plus apatinib	The First Affiliated Hospital of Medical School of Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04035876
58	Bevacizumab Biosimilar Plus FOLFOX4 in the Treatment of Recurrent HCC After Liver Transplantation	Not yet recruiting	No Results Available	Post-orthotopic Liver Transplantation|Hepatocellular Carcinoma Recurrent	Drug: Bevacizumab Biosimilar IBI305	Jiangsu Province Hospital, Nanjing, Jiangsu, China	https://ClinicalTrials.gov/show/NCT05355155
59	Preliminary Results for the Double-dose Adenovirus-mediated Adjuvant Therapy Improving Outcome of Liver Transplantation in Patients With Advanced Hepatocellular Carcinoma	Completed	No Results Available	Liver Cancer|Hepatocellular Carcinoma	Procedure: LT|Drug: ADV-TK|Drug: ganciclovir		https://ClinicalTrials.gov/show/NCT02202564
60	HELIO Liver Test Performance Study in China (HEPATIC)	Enrolling by invitation	No Results Available	Hepatocellular Carcinoma and Liver Disease	Diagnostic Test: Helio Liver Test	People's Liberation Army General Hospital, Beijing, Beijing, China|The First Affiliated Hospital of Guangzhou Medical University, Beijing, China	https://ClinicalTrials.gov/show/NCT05053412
61	TCR-Redirected T Cell Infusions to Prevent Hepatocellular Carcinoma Recurrence Post Liver Transplantation	Unknown status	No Results Available	Hepatocellular Carcinoma	Other: Biological: HBV antigen specific TCR redirected T cell	The First Affiliated Hospital, Sun-Yat Sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT02686372
62	A Clinical Trial Using Irreversible Electroporation for the Treatment of Liver Cancers	Completed	No Results Available	Hepatocellular Carcinoma|Metastatic Liver Cancers	Device: Irreversible Electroporation (IRE) System	National Taiwan University Hospital, Taipei, Taiwan	https://ClinicalTrials.gov/show/NCT02828865
63	FDGal PET/CT to Detect Hepatocellular Carcinoma	Withdrawn	No Results Available	Hepatocellular Carcinoma|Liver Cirrhosis|Chronic Liver Disease	Drug: Diagnostic PET/CT scans	BC Cancer Agency, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT02899325
64	An International Phase 2 Study Of SU011248 In Patients With Inoperable Liver Cancer	Completed	Has Results	Liver Neoplasms|Unresectable Hepatocellular Carcinoma	Drug: Sunitinib (SU011248)	Pfizer Investigational Site, Clichy Cedex, France|Pfizer Investigational Site, Rennes Cedex, France|Pfizer Investigational Site, Saint Herrblain Cedex, France|Pfizer Investigational Site, Seoul, Korea, Republic of|Pfizer Investigational Site, Seoul, Korea, Republic of|Pfizer Investigational Site, Seoul, Korea, Republic of|Pfizer Investigational Site, Seoul, Korea, Republic of|Pfizer Investigational Site, Taipei, Taiwan	https://ClinicalTrials.gov/show/NCT00247676
65	Positron Emission Tomography Using Carbon-11 Acetate and Fludeoxyglucose F 18 in Detecting Hepatocellular Carcinoma (Liver Cancer) in Patients With Known or Suspected Liver Cancer	Completed	No Results Available	Liver Cancer	Procedure: 18F-Fluorodeoxyglucose-PET (FDG-PET)|Procedure: 11Carbon-Acetate-PET	Washington University School of Medicine, St. Louis, Missouri, United States	https://ClinicalTrials.gov/show/NCT00081094
66	Radiotherapy as an Adjuvant Therapy After Radiofrequency Ablation for Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Cancer	Procedure: RFA|Procedure: radiotherapy after RFA	Department of Hepatobilliary Surgery, Cancer Center, Sun Yat-sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT00557024
67	TACE as an Adjuvant Therapy After Radiofrequency Ablation (RFA) for Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Cancer	Procedure: radiofrequency ablation|Procedure: TACE after RFA	Department of Hepatobiliary Surgery, Cancer Center, Sun Yat-sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT00556803
68	Erlotinib for Hepatocellular Carcinoma Chemoprevention	Not yet recruiting	No Results Available	Cirrhosis, Liver	Drug: Erlotinib Hydrochloride		https://ClinicalTrials.gov/show/NCT04172779
69	SorAfenib Versus RADIOEMBOLIZATION in Advanced Hepatocellular Carcinoma	Completed	No Results Available	Liver Carcinoma	Drug: sorafenib|Drug: SIR-Sphere	CHU Amiens #2, Amiens, France|CHU Angers #3, Angers, France|CHRU Besançon Hôpital Jean Minjoz #21, Besançon, France|Hôpital Jean Verdier #25, Bondy, France|Hôpital Côte de Nacre #4, Caen, France|Hôpital Antoine Béclère #29, Clamart, France|Hopital beaujon #1, Clichy, France|Henri Mondor #24, Créteil, France|CHU Dijon Hôpital Bocage #22, Dijon, France|CHU Grenoble #5, Grenoble, France|Hôpital Edouard Herriot #6, Lyon, France|Lyon La croix Rousse #27, Lyon, France|Institut Paoli Calmettes #7, Marseille, France|CHU Marseille Hôpital La Timone #23, Marseille, France|Hôpital Saint Eloi #8, Montpellier, France|Hôpital de Brabois #9, Nancy, France|Hotel Dieu #10, Nantes, France|Hôpital de L'Archet #11, Nice, France|Hôpital Européen Georges Pompidou #13, Paris, France|Hôpital Haut Leveque #14, Pessac, France|CHU Poitiers La Milétrie, Poitiers, France|CHU Robert Debré #28, Reims, France|CHU Saint Etienne Hôpital Nord #17, Saint-Priest en Jarez, France|Hôpital de Hautepierre #18, Strasbourg, France|Paul Brousse #19, Villejuif, France|Institut Gustave Roussy #20, Villejuif, France	https://ClinicalTrials.gov/show/NCT01482442
70	The Effect of Vitamin D Repletion in Patients With Hepatocellular Carcinoma on the Orthotopic Liver Transplant List	Unknown status	No Results Available	Vitamin D Deficiency|Hepatocellular Carcinoma	Drug: Vitamin D3 4000 IU|Drug: Vitamin D3 2000 IU	The Mount Sinai Hospital, New York, New York, United States	https://ClinicalTrials.gov/show/NCT01575717
71	Branched-chain Amino Acid Supplementation for Hepatocellular Carcinoma	Withdrawn	No Results Available	Hepatocellular Carcinoma|Cirrhosis|Liver Failure	Drug: Branch Chain Amino Acid|Other: maltodextrin	University Medical Center New Orleans, New Orleans, Louisiana, United States	https://ClinicalTrials.gov/show/NCT03908255
72	Analysis of Body Composition in Patients With Hepatocellular Carcinoma in Radioablation	Withdrawn	No Results Available	Liver Carcinoma	Behavioral: HCC under treatment with radioablation	Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Mexico City, D.f., Mexico	https://ClinicalTrials.gov/show/NCT01744639
73	Efficacy and Safety Study of Bevacizumab and Erlotinib to Treat Primary Liver Cancer That Cannot be Removed By Surgery	Completed	Has Results	Hepatocellular Carcinoma|Liver Cancer	Drug: Bevacizumab (Avastin)|Drug: Erlotinib	UT MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT00242502
74	The Illness of Uncertainty, Personality and Coping Strategies in Patients With Hepatocellular Carcinoma	Unknown status	No Results Available	Liver Carcinoma		Research Nurse, Taipei, Taiwan	https://ClinicalTrials.gov/show/NCT01380392
75	Radiofrequency Ablation Versus Liver Resection for Elderly Patients With Hepatocellular Carcinoma (HCC) Within the Milan Criteria	Unknown status	No Results Available	Hepatocellular Carcinoma	Procedure: HR|Procedure: RFA	Cancer Center, Sun Yat-set University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT01570075
76	Comparison of Criteria for Liver Transplantation in Hepatocellular Carcinoma	Completed	No Results Available	Hepatocellular Carcinoma|Liver Cancer|Advanced Adult Hepatocellular Carcinoma|Cirrhosis, Liver|Unresectable Liver Cancer|Liver Transplant Disorder		Liver Transplantation Institute, Inonu University, Malatya, Battalgazi, Turkey	https://ClinicalTrials.gov/show/NCT04576572
77	Immunosuppression in Patients Undergoing Liver Transplantation for Hepatocellular Carcinoma	Completed	No Results Available	Hepatocellular Carcinoma	Drug: CNI, MMF, Steroids, Aza etc. (mTOR inhibitor free)|Drug: Sirolimus	Regensburg University, Regensburg, Bavaria, Germany	https://ClinicalTrials.gov/show/NCT00355862
