"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
11,"Chemotherapy + Anakinra in Patients With Pancreatic Adenocarcinoma (PDAC)","Not yet recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Anakinra","Baylor University Medical Center, Charles A Sammons Cancer Center, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT04926467"
12,"A Study of the Safety and Activity of Liposomal Irinotecan in Combination With the 5-FU and Oxaliplatin in the Preoperative Treatment of Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Liposomal Irinotecan|Drug: FOLFOX regimen","University of Florida, Gainesville, Florida, United States|Orlando Health UF Health Cancer Center, Orlando, Florida, United States|Tallahassee Memorial Health Care, Tallahassee, Florida, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT03483038"
13,"Safety and Efficacy Study of AVB-S6-500 (Batiraxcept) in Patients With Advanced Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: batiraxcept|Drug: Nab paclitaxel|Drug: Gemcitabine","UCLA Health, Santa Monica, California, United States|Boca Raton Regional Hospital / Lynn Cancer Institute, Boca Raton, Florida, United States|Moffit Cancer Center, Tampa, Florida, United States|University of Massachusetts Memorial Medical Center, Worcester, Massachusetts, United States|Michigan Medicine - University of Michigan, Ann Arbor, Michigan, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, United States|Perlmutter Cancer Center at NYU Langone Health, New York, New York, United States|Duke University Medical Center (DUMC), Durham, North Carolina, United States|Gabrail Cancer Center Research, Canton, Ohio, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Thomas Jefferson University / Sidney Kimmel Cancer Center, Philadelphia, Pennsylvania, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|AHN Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States|Froedtert and the Medical College of Wisconsin, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04983407"
14,"Evaluation of Safety and Efficacy of Electrochemotherapy in the Treatment of Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Device: Electroporation|Drug: gemcitabine|Drug: nab-paclitaxel","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02514421"
15,"The Impact Of Tissue Micro-RNA Profile From EUS-FNA In Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Diagnostic Test: EUS FNA (endoscopic ultrasound fine needle aspiration)","""Carol Davila"" University Central Emergency Hospital, Bucharest, Sector 1, Romania|""Prof Dr Agrippa Ionescu"" Emergency Hospital, Bucharest, Sector 1, Romania|Clinical Emergency Hospital Bucharest, Bucharest, Sector 1, Romania|Fundeni Clinical Institute, Bucharest, Sector 2, Romania|""Victor Babes"" National Pathology Institute, Bucharest, Sector, Romania","https://ClinicalTrials.gov/show/NCT04765410"
16,"9-ING-41 Plus Retifanlimab and Gemcitabine/Nab-Paclitaxel in Patients With Advanced Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: 9-ING-41|Drug: Retifanlimab|Drug: Gemcitabine|Drug: Abraxane","Kansas University Cancer center, Fairway, Kansas, United States","https://ClinicalTrials.gov/show/NCT05239182"
17,"Locally Advanced or Metastatic Pancreatic Adenocarcinoma","Enrolling by invitation","No Results Available","Pancreatic Adenocarcinoma","Drug: chemotherapy: TS-1, Leucovorin and Gemcitabine","China Medical University Hospital, Taichung, Taiwan|Chang-Gung Memorial Hospital, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT03559348"
18,"Diffusion MRI for Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Radiation: Diffusion-weighted nuclear magnetic resonance imaging",,"https://ClinicalTrials.gov/show/NCT02896946"
19,"Magnetic Resonance Guided High Intensity Focused Ultrasound in Advanced Pancreatic Adenocarcinoma Treatment","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Device: ExAblate 2100","Stanford Cancer Center, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT04298242"
20,"Pancreatic Adenocarcinoma Neoadjuvant Combination Chemotherapy and Stereotactic Body Radiation Therapy Before Surgery","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: mFOLFIRINOX|Drug: Gemcitabine / Nab-paclitaxel|Radiation: Stereotactic body radiation therapy","Juravinski Hospital, Hamilton, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04452461"
21,"Biological and Clinical Database for Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Other: Collection of biological samples","University Hospital Bordeaux, Bordeaux, France|Beaujon Hospital, Clichy La Garenne, France|University Hospital Lille, Lille, France|University Hospital of Lille, Lille, France|Centre Léon Bérard, Lyon, France|Private Hospital Jean Mermoz, Lyon, France|Hopital La Timone, Marseille, France|Hospital Nord, Marseille, France|Institut Regional du Cancer de Montpellier, Montpellier, France|University Hospital Montpellier, Montpellier, France|University Hospital of NICE, Nice, France|Saint-Louis Hospital, Paris, France|Clinique du Trocadero, Paris, France|Pau Hospital, Pau, France|University Hospital Toulouse, Toulouse, France|Institut Gustave Roussy, Villejuif, France","https://ClinicalTrials.gov/show/NCT02818829"
22,"Gemcitabine & Nab-Paclitaxel in Pancreatic Adenocarcinoma With Positive Peritoneal Cytology","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Gemcitabine|Drug: nab-paclitaxel","Virginia mason medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03703089"
23,"Pancreaze (Pancrelipase) for Patients With Pancreatic Adenocarcinoma With Cachexia and Exocrine Pancreatic Insufficiency","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Pancrelipase","Cedars-Sinai Medical Center, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT04098237"
24,"Borderline Resectable or Resectable or Advanced Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma",,,"https://ClinicalTrials.gov/show/NCT03266757"
25,"Phase I/II Study of Nab-paclitaxel and Gemcitabine Followed by AG-mFOLFOX in Patients With Metastatic Pancreatic Adenocarcinoma","Completed","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: nab-paclitaxel|Drug: gemcitabine|Drug: m-FOLFOX","Spanish Cooperative for Digestive Tumour Therapy (TTD), Madrid, Spain","https://ClinicalTrials.gov/show/NCT02504333"
26,"RAmucirumab Combined wIth Standard Nab-paclitaxel and Gemcitabine as First-line Chemotherapy in Patients With Advanced Pancreatic Adenocarcinoma","Active, not recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Ramucirumab","Agios Savvas Anticancer Hospital, Athens, Attiki, Greece|Aretaieio Hospital, Athens, Attiki, Greece|""Attikon"" University Hospital, Chaïdári, Attiki, Greece|Metropolitan General Hospital, Cholargós, Attiki, Greece|Metropolitan Hospital, Néo Fáliro, Attiki, Greece|Ygeia Hospital, Psychikó, Attiki, Greece|3rd Dept of Medical Oncology, Agii Anargiri Cancer Hospital, Athens, Nea Kifisia, Greece|Agii Anargiri Cancer Hospital, Athens, Nea Kifisia, Greece|University Hospital of Patra, Río, Patra, Greece|EUROMEDICA General Clinic of Thessaloniki, Thessaloníki, Thessaloniki, Greece|Haematology- Oncology Section, Dept of Clinical Therapeutics, General Hospital of Athens ""Alexandra"", Athens, Greece|Department of Medical Oncology, Ioannina University Hospital, Ioánnina, Greece|General University Hospital of Larissa, Larissa, Greece","https://ClinicalTrials.gov/show/NCT03745430"
27,"Immunotherapy and Irreversible Electroporation in the Treatment of Advanced Pancreatic Adenocarcinoma","Active, not recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: Nivolumab|Procedure: Irreversible Electroporation","University of Louisville, Louisville, Kentucky, United States","https://ClinicalTrials.gov/show/NCT03080974"
28,"Exploratory Platform Trial to Evaluate Immunotherapy Combinations With Chemotherapy for the Treatment of Patients With Previously Untreated Metastatic Pancreatic Adenocarcinoma","Recruiting","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: Nivolumab (Cohort A)|Drug: Ipilimumab (Cohort A and B)|Drug: Hydroxychloroquine (HCQ) (Cohort B)|Drug: Nab-paclitaxel (nP) (Cohort A and B)|Drug: Gemcitabine (gem) (Cohort A and B)","University of California, Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|University of Pennsylvania, Abramson Cancer Center, Philadelphia, Pennsylvania, United States|M.D. Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04787991"
29,"Neoadjuvant GMCI Plus Chemoradiation for Advanced Non-Metastatic Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma","Biological: GMCI (aglatimagene besadenovec + valacyclovir)|Drug: Chemotherapy|Radiation: Radiation|Procedure: Surgery","Lee Health/Regional Cancer Center, Fort Myers, Florida, United States|Ohio State University, Columbus, Ohio, United States|University of Virginia, Charlottesville, Virginia, United States|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico City, Mexico","https://ClinicalTrials.gov/show/NCT02446093"
30,"A Study of Vaccination With Poly-ICLC and Dendritic Cells in Patients With Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma Non-resectable","Biological: Poly-ICLC|Biological: dendritic cell","Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT01677962"
31,"A Phase 2 Trial of Neoadjuvant Modified FOLFIRINOX Chemotherapy for Resectable Pancreatic Adenocarcinoma","Recruiting","No Results Available","Resectable Pancreatic Adenocarcinoma","Drug: neoadjuvant modified FOLFIRINOX","Division of Medical Oncology, Yonsei Cancer Center, Yonsei Univ. College of Medicine, Korea, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT05066802"
32,"Safety Feasibility and Effect of TTFields (150 kHz) Concomitant With Gemcitabine or Concomitant With Gemcitabine Plus Nab-paclitaxel for Front-line Therapy of Advanced Pancreatic Adenocarcinoma (PANOVA)","Unknown status","No Results Available","Pancreatic Adenocarcinoma","Device: NovoTTF-100L|Drug: Gemcitabine|Drug: nab-Paclitaxel","Hospital General Universitario de Elche, Elche, Spain|Hospital 12 de Octubre, Madrid, Spain|Ramon Y Cajal, Madrid, Spain|Hospital Universitario Carlos Haya, Malaga, Spain|Hospital Universitario Santander, Santander, Spain|HFR-Hopital Cantonal, Freiburg, Switzerland","https://ClinicalTrials.gov/show/NCT01971281"
33,"Phase I/II Trial GOFL in Advanced Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Drug: oxaliplatin|Drug: gemcitabine|Drug: 5-FU/LV","National Taiwan Univeristy Hospital, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT00154791"
34,"Study of Pembrolizumab With REOLYSIN® and Chemotherapy in Patients With Advanced Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Biological: REOLYSIN®|Drug: Chemotherapy|Drug: Gemcitabine|Drug: Irinotecan|Drug: Leucovorin|Drug: 5-fluorouracil|Drug: Pembrolizumab","Cancer Therapy & Research Center at UTHSCSA, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT02620423"
35,"Pharmacokinetic Study of Adjuvant Capecitabine After Resection of Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Drug: capecitabine","Cambridge University Hospitals NHS Foundation Trust, University of Cambridge Oncology Centre, Cambridge, United Kingdom|Edinburgh Cancer Centre, Western General Hospital, Edinburgh, United Kingdom","https://ClinicalTrials.gov/show/NCT00854477"
36,"Gemcitabine and Nab-Paclitaxel vs Gemcitabine, Nab-Paclitaxel, Durvalumab and Tremelimumab as 1st Line Therapy in Metastatic Pancreatic Adenocarcinoma","Active, not recruiting","Has Results","Pancreatic Adenocarcinoma","Drug: Gemcitabine|Drug: Nab-paclitaxel|Drug: Durvalumab|Drug: Tremelimumab","Tom Baker Cancer Centre, Calgary, Alberta, Canada|BCCA - Vancouver Cancer Centre, Vancouver, British Columbia, Canada|CancerCare Manitoba, Winnipeg, Manitoba, Canada|The Moncton Hospital, Moncton, New Brunswick, Canada|The Vitalite Health Network - Dr. Leon Richard, Moncton, New Brunswick, Canada|Dr. H. Bliss Murphy Cancer Centre, St. John's, Newfoundland and Labrador, Canada|QEII Health Sciences Centre, Halifax, Nova Scotia, Canada|Juravinski Cancer Centre at Hamilton Health Sciences, Hamilton, Ontario, Canada|Kingston Health Sciences Centre, Kingston, Ontario, Canada|Grand River Regional Cancer Centre, Kitchener, Ontario, Canada|London Regional Cancer Program, London, Ontario, Canada|Ottawa Hospital Research Institute, Ottawa, Ontario, Canada|Algoma District Cancer Program, Sault Ste. Marie, Ontario, Canada|Niagara Health System, St. Catharines, Ontario, Canada|Odette Cancer Centre, Toronto, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|St. Joseph's Health Centre, Toronto, Ontario, Canada|Hopital de la Cite-de-la-Sante, Laval, Quebec, Canada|L'Hotel-Dieu de Levis, Levis, Quebec, Canada|CHUM-Centre Hospitalier de l'Universite de Montreal, Montreal, Quebec, Canada|The Jewish General Hospital, Montreal, Quebec, Canada|The Research Institute of the McGill University, Montreal, Quebec, Canada|Centre Integre Universitaire De Sante Et De Services, Montreal, Quebec, Canada|CHUQ-Pavillon Hotel-Dieu de Quebec, Quebec City, Quebec, Canada|Centre hospitalier universitaire de Sherbrooke, Sherbrooke, Quebec, Canada|Allan Blair Cancer Centre, Regina, Saskatchewan, Canada|Saskatoon Cancer Centre, Saskatoon, Saskatchewan, Canada","https://ClinicalTrials.gov/show/NCT02879318"
37,"Safety and Efficacy of APX005M With Gemcitabine and Nab-Paclitaxel With or Without Nivolumab in Patients With Previously Untreated Metastatic Pancreatic Adenocarcinoma","Active, not recruiting","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: APX005M|Drug: Nivolumab|Drug: Nab-Paclitaxel|Drug: Gemcitabine","University of California, Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|University of Pennsylvania, Abramson Cancer Center, Philadelphia, Pennsylvania, United States|M.D. Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03214250"
38,"4D-CT for Pancreatic Adenocarcinoma in Radiotherapy Simulation","Completed","Has Results","Pancreatic Adenocarcinoma","Other: Contrast-enhanced 4D computed tomography","Ummc Msgcc, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01764659"
39,"A Phase 1b/2, Study of Ivaltinostat Plus Capecitabine or Capecitabine in Metastatic Pancreatic Adenocarcinoma","Not yet recruiting","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: Ivaltinostat|Drug: Capecitabine",,"https://ClinicalTrials.gov/show/NCT05249101"
40,"Trial Evaluating Combined Chemotherapy in Patients With Metastatic Pancreatic Adenocarcinoma","Completed","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: Gemcitabine - Trastuzumab - Erlotinib","Centre Val d'Aurelle, Montpellier, France","https://ClinicalTrials.gov/show/NCT01204372"
41,"A Randomized Phase II/Genomic Trial of Two Chemotherapy Regimens in Patients With Resected Pancreatic Adenocarcinoma","Completed","Has Results","Pancreatic Adenocarcinoma","Drug: Gemcitabine|Drug: Abraxane|Drug: FOLFIRINOX|Radiation: Chemoradiation","Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01839799"
42,"Evaluation of Polychemotherapy With XELOXIRI-3 in Elderly or Frail Patients With Advanced Pancreatic Adenocarcinoma","Recruiting","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: XELOXIRI-3|Drug: Gemcitabine","University Hospital of Besançon, Besancon, France|Hôpital Nord Franche-Comté, Montbéliard, France|CH Mulhouse, Mulhouse, France|CHU Nancy, Nancy, France|CHU Reims, Reims, France","https://ClinicalTrials.gov/show/NCT03974854"
43,"A Pilot Study of Pre- and Post-surgery Chemotherapy With mFOLFIRINOX in Localized, Resectable Pancreatic Adenocarcinoma","Completed","Has Results","Pancreatic Adenocarcinoma","Drug: 5 Fluorouracil|Drug: Leucovorin|Drug: Irinotecan|Drug: Oxaliplatin","NorthShore University HealthSystem, Evanston, Illinois, United States","https://ClinicalTrials.gov/show/NCT01660711"
44,"Cabozantinib and Erlotinib for Patients With EGFR and c-Met Co-expressing Metastatic Pancreatic Adenocarcinoma","Terminated","Has Results","Pancreatic Adenocarcinoma Metastatic","Drug: Cabozantinib 40 MG|Drug: Erlotinib 100Mg Tab","Indiana University Health Hospital, Indianapolis, Indiana, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT03213626"
45,"Adjuvant Intraperitoneal Gemcitabine for Resectable Pancreatic Adenocarcinoma","Terminated","Has Results","Pancreatic Adenocarcinoma","Drug: Intraperitoneal Gemcitabine","Washington Cancer Institute at MedStar Washington Hospital Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT01206296"
46,"Feasibility of Obtaining and Characterizing Circulating Tumorigenic Cells in Patients With Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Other: Blood draw","Memorial Sloan Kettering Cancer Center @ Suffolk, Commack, New York, United States|Memorial Sloan Kettering West Harrison, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering at Mercy Medical Center, Rockville Centre, New York, United States|Memoral Sloan Kettering Cancer Center at Phelps, Sleepy Hollow, New York, United States","https://ClinicalTrials.gov/show/NCT01474564"
47,"Trial of NanoPac® in Subjects With Locally Advanced Pancreatic Adenocarcinoma","Active, not recruiting","No Results Available","Locally Advanced Pancreatic Adenocarcinoma","Drug: NanoPac®","Cedars-Sinai Medical Center, Los Angeles, California, United States|Parkview Cancer Institute, Fort Wayne, Indiana, United States|Texas Tech University Health Sciences Center, El Paso, Texas, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03077685"
