"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0071241","GO:0071241",1,"GO:0009410",0.381,3,3,"cellular response to inorganic substance","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0043436","GO:0043436",3,"GO:0006082",0.883,0,0,"oxoacid metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0042221","GO:0042221",1,"GO:0009410",0.788,0,0,"response to chemical","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0044283","GO:0044283",3,"GO:0006082",0.4,0,0,"small molecule biosynthetic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0006082","GO:0006082",3,"GO:0006082",1,21,21,"organic acid metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0071466","GO:0071466",1,"GO:0009410",0.63,66,66,"cellular response to xenobiotic stimulus","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0016098","GO:0016098",3,"GO:0006082",0.436,6,6,"monoterpenoid metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0032787","GO:0032787",3,"GO:0006082",0.731,3,3,"monocarboxylic acid metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0044281","GO:0044281",3,"GO:0006082",0.563,0,0,"small molecule metabolic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0006875","GO:0006875",2,"GO:0006882",0.695,6,6,"cellular metal ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0070887","GO:0070887",1,"GO:0009410",0.49,0,0,"cellular response to chemical stimulus","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0072503","GO:0072503",2,"GO:0006882",0.722,0,0,"cellular divalent inorganic cation homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0030003","GO:0030003",2,"GO:0006882",0.586,2,2,"cellular cation homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0006873","GO:0006873",2,"GO:0006882",0.51,5,5,"cellular ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0055065","GO:0055065",2,"GO:0006882",0.487,3,3,"metal ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0072507","GO:0072507",2,"GO:0006882",0.499,1,1,"divalent inorganic cation homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0055080","GO:0055080",2,"GO:0006882",0.386,1,1,"cation homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0098771","GO:0098771",2,"GO:0006882",0.386,0,0,"inorganic ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0006805","GO:0006805",1,"GO:0009410",0.484,114,114,"xenobiotic metabolic process","response to xenobiotic stimulus",FALSE,FALSE,TRUE
"GO:0050801","GO:0050801",2,"GO:0006882",0.347,21,21,"ion homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0046394","GO:0046394",3,"GO:0006082",0.584,0,0,"carboxylic acid biosynthetic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0016053","GO:0016053",3,"GO:0006082",0.677,0,0,"organic acid biosynthetic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0072330","GO:0072330",3,"GO:0006082",0.543,0,0,"monocarboxylic acid biosynthetic process","organic acid metabolic process",FALSE,FALSE,TRUE
"GO:0055082","GO:0055082",2,"GO:0006882",0.445,1,1,"cellular chemical homeostasis","cellular zinc ion homeostasis",FALSE,FALSE,TRUE
"GO:0016051","GO:0016051",3,"GO:0006082",0.294,9,9,"carbohydrate biosynthetic process","organic acid metabolic process",FALSE,FALSE,TRUE
