"","X","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"84",84,"XMD-892","46843772","YAPC","trt_cp","down",-0.397152344225728,2.62416374363983e-05,0.000243510757536979,-1.28521377945665,0,25,95,"DCLK2; LRRK2; MAPK7; PLK4; TNK1",-94.7362719609233,FALSE,FALSE
"85",85,"methocarbamol","4107","YAPC","trt_cp","down",-0.396508712862568,2.62416374363983e-05,0.000243510757536979,-1.28313094170219,0,25,95,"CA1",-88.29275978886,TRUE,FALSE
"94",94,"sirolimus","73707374","YAPC","trt_cp","down",-0.389481160397048,2.65897851967485e-05,0.000243510757536979,-1.26038927242626,0,25,95,"CCR5; FGF2; FKBP1A; MTOR",-83.4367367840542,TRUE,TRUE
"106",106,"formestane","44511091","YAPC","trt_cp","down",-0.386639444953977,2.66768221368361e-05,0.000243510757536979,-1.25119327522814,0,25,95,"CYP19A1",-90.4799889702986,FALSE,FALSE
"111",111,"ibuprofen","3672","YAPC","trt_cp","down",-0.385689069717266,2.67203406068799e-05,0.000243510757536979,-1.24811779205994,0,25,95,"ACSM2A; AKR1C2; AKR1C3; APP; ASIC1; BCL2; CFTR; CYP2C8; CYP2C9; FABP2; FABP4; GP1BA; LTF; PLAT; PPARA; PPARG; S100A7; SLC5A8; TF; THBD",-92.6406286929804,TRUE,FALSE
"114",114,"MG-132","462382","YAPC","trt_cp","down",-0.384904906522819,2.67638590769236e-05,0.000243510757536979,-1.24558018311088,-0.949155609782017,25,95,"PSMB1",-91.3406995982037,FALSE,FALSE
"116",116,"BAY-K8644","2303","YAPC","trt_cp","down",-0.383418295500249,2.68508960170112e-05,0.000243510757536979,-1.24076940206256,0,25,95,"CACNA1C",-94.1148664618294,FALSE,FALSE
"121",121,"doxorubicin","31703","YAPC","trt_cp","down",-0.382017492269733,2.6894414487055e-05,0.000243510757536979,-1.23623630125039,-1.00086729229633,25,95,"CHD1; NOLC1; TOP2A",-85.0852832269755,TRUE,TRUE
"125",125,"CI-966","198692","YAPC","trt_cp","down",-0.380810427047109,2.69379329570988e-05,0.000243510757536979,-1.23233015067775,0,25,95,"SLC6A1",-90.1678090285984,FALSE,FALSE
"126",126,"fipronil","3352","YAPC","trt_cp","down",-0.380630378901308,2.69379329570988e-05,0.000243510757536979,-1.23174750182445,0,25,95,"GABRB3",-91.9709682502167,FALSE,FALSE
"134",134,"NVP-BGJ398","53235510","YAPC","trt_cp","down",-0.37736066878417,2.71120068372739e-05,0.000243510757536979,-1.22116648283143,0,25,95,"FGFR2; FGFR3",-86.0287166154573,FALSE,FALSE
"141",141,"etoricoxib","123619","YAPC","trt_cp","down",-0.374699242855234,2.71990437773614e-05,0.000243510757536979,-1.21255391557203,0,25,95,"LTF; PTGER2; TF",-81.2711730875286,FALSE,FALSE
"146",146,"fenoterol","3343","YAPC","trt_cp","down",-0.37188008281781,2.73295991874928e-05,0.000243510757536979,-1.20343090930185,0.0371740587242924,25,95,"ADRB1; ADRB2; ADRB3; SLC5A7",-87.4645473883243,FALSE,FALSE
"147",147,"alaproclate","2081","YAPC","trt_cp","down",-0.371759147702602,2.73295991874928e-05,0.000243510757536979,-1.20303955450124,0.675298388252314,25,95,"SLC6A4",-87.7255180020484,FALSE,FALSE
"148",148,"indapamide","3702","YAPC","trt_cp","down",-0.371739174854425,2.73295991874928e-05,0.000243510757536979,-1.20297492091651,-0.808324755334158,25,95,"CA7; KCNE1; KCNQ1; SLC12A3",-88.721145513275,TRUE,FALSE
"149",149,"GW-5074","5924208","YAPC","trt_cp","down",-0.371436708469405,2.73731176575365e-05,0.000243510757536979,-1.20199611776577,0,25,95,"LRRK1; LRRK2; NTRK1; RAF1",-82.3761128180887,FALSE,FALSE
"150",150,"clioquinol","2788","YAPC","trt_cp","down",-0.371385323223161,2.73731176575365e-05,0.000243510757536979,-1.2018298313835,0,25,95,"HIF1AN; OPRK1",-88.9594658473174,FALSE,FALSE
"153",153,"dexamethasone","5743","YAPC","trt_cp","down",-0.369401625439036,2.74601545976241e-05,0.000243510757536979,-1.19541044153599,0,25,95,"ANXA1; CYP3A4; CYP3A5; NOS2; NR0B1; NR1I2; NR3C1; NR3C2; PER2; PIN1",-88.8304577326085,TRUE,TRUE
"159",159,"axitinib","6450551","YAPC","trt_cp","down",-0.367624996866707,2.75036730676679e-05,0.000243510757536979,-1.18966114267038,0,25,95,"ABL2; AURKC; CSF1; CYP3A5; FLT1; FLT4; KDR; KIT; PDGFRA; PDGFRB; PLK4",-89.0835499881825,TRUE,FALSE
"167",167,"pyrimethamine","4993","YAPC","trt_cp","down",-0.366000199168262,2.75907100077554e-05,0.000243510757536979,-1.18440317952039,0,25,95,"DHFR; DHFRP1; HEXA; HEXB; PDF; SLC47A1; STAT3",-88.9023477507288,TRUE,FALSE
"170",170,"amiodarone","2157","YAPC","trt_cp","down",-0.365520554593123,2.75907100077554e-05,0.000243510757536979,-1.18285101490101,0,25,95,"ABCG2; ADRB1; CACNA1H; CACNA2D2; CYP2C8; CYP2C9; DIO3; KCNA7; KCNH2; PPARG; SCN5A; THRA; THRB",-89.6793508232884,TRUE,FALSE
"183",183,"felbinac","3332","YAPC","trt_cp","down",-0.3626876733,2.77647838879305e-05,0.000243510757536979,-1.17368360565259,-0.600452349691283,25,95,"CTSL",-83.3845426613094,FALSE,FALSE
"187",187,"manumycin-a","73707404","YAPC","trt_cp","down",-0.362171045787791,2.78083023579743e-05,0.000243510757536979,-1.17201176156759,0,25,95,"FNTA; IKBKB",-90.3972662097219,FALSE,FALSE
"196",196,"ambroxol","2132","YAPC","trt_cp","down",-0.360179426576042,2.78953392980619e-05,0.000243510757536979,-1.16556673740599,0.46918554985708,25,95,"GBA",-86.0493973056015,FALSE,FALSE
"198",198,"XMD-885","46844147","YAPC","trt_cp","down",-0.359683411994336,2.78953392980619e-05,0.000243510757536979,-1.16396159825853,0,25,95,"LRRK2; MAPK7",-80.6290868982904,FALSE,FALSE
"209",209,"trehalose","7427","YAPC","trt_cp","down",-0.355205404815395,2.83087647634778e-05,0.000243510757536979,-1.14947044237199,0.428414490512659,25,95,"HMOX1; LTF; MAPK8IP1; MAPK8IP2; RBCK1; RHO; SET; TF; TREH; UBB",-88.6463011108485,FALSE,FALSE
"215",215,"triamterene","5546","YAPC","trt_cp","down",-0.35450312425336,2.83087647634778e-05,0.000243510757536979,-1.14719781155791,0.925854315259459,25,95,"SCNN1A; SCNN1B; SCNN1D; SCNN1G",-86.1143937603403,TRUE,FALSE
"217",217,"tivantinib","11494412","YAPC","trt_cp","down",-0.354291402696063,2.83958017035653e-05,0.000243510757536979,-1.14651266524869,0,25,95,"MET",-87.1188844244859,FALSE,FALSE
"224",224,"resorcinol","5054","YAPC","trt_cp","down",-0.353127613914152,2.85481163487185e-05,0.000243510757536979,-1.14274656037574,0,25,95,"CA12; CA14; INS-IGF2; PNMT; TPO",-81.5311589064839,FALSE,FALSE
"229",229,"molsidomine","5360788","YAPC","trt_cp","down",-0.352248766073067,2.8656912523828e-05,0.000243510757536979,-1.13990254504553,-0.472245080443975,25,95,"GUCY1A2; GUCY1A3",-88.7457653824943,FALSE,FALSE
"232",232,"MK-1775","24856436","YAPC","trt_cp","down",-0.351217870486518,2.88745048740469e-05,0.000243510757536979,-1.13656649218754,-0.908188563491197,25,95,"WEE1",-82.2116520917041,FALSE,FALSE
"237",237,"relcovaptan","60943","YAPC","trt_cp","down",-0.350247499103823,2.9048578754222e-05,0.000243510757536979,-1.13342630004121,0,25,95,"AVPR1A; AVPR1B; AVPR2; OXTR",-84.1142755849681,FALSE,FALSE
"243",243,"SN-38","4014291","YAPC","trt_cp","down",-0.348430491512612,2.97013558048787e-05,0.000243510757536979,-1.12754633174302,-1.12467099354761,25,95,"TOP1",-85.5776806113606,FALSE,FALSE
"245",245,"panobinostat","6918837","YAPC","trt_cp","down",-0.347250295930341,2.99407073901195e-05,0.000243510757536979,-1.12372713327462,-1.25900933608029,25,95,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-87.6989285432916,FALSE,TRUE
"246",246,"miglitol","441314","YAPC","trt_cp","down",-0.347103625611871,2.99407073901195e-05,0.000243510757536979,-1.12325249749045,0.958756016928599,25,95,"AMY2A; GAA; GANAB; GANC; MGAM; SI; SLC5A4",-84.0689750256047,TRUE,FALSE
"248",248,"theophylline","2153","YAPC","trt_cp","down",-0.346681982348066,2.99407073901195e-05,0.000243510757536979,-1.12188802931965,-0.595366326387541,25,95,"ADORA1; ADORA2A; ADORA2B; ADORA3; APOA1BP; CHIA; CPNE1; CYP2E1; CYP3A4; HDAC2; HM13; NOMO1; PARP1; PDE3A; PDE4A; PDE4B; PDE5A; PDXK; RIC3; TTLL3",-84.0610966674545,TRUE,FALSE
"249",249,"fostamatinib","11213558","YAPC","trt_cp","down",-0.346465241036783,3.01582997403383e-05,0.000243510757536979,-1.12118663872259,0,25,95,"BRD4; FLT3; RET",-81.7645552666824,TRUE,FALSE
"250",250,"lacidipine","5311217","YAPC","trt_cp","down",-0.345974422398107,3.01582997403383e-05,0.000243510757536979,-1.11959831402349,0,25,95,"CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4",-87.7796817143307,FALSE,FALSE
"254",254,"levofloxacin","149096","YAPC","trt_cp","down",-0.344066305578597,3.07457990859294e-05,0.000243510757536979,-1.1134235096571,0,25,95,"TOP2A; TOP2B",-82.683368785945,TRUE,FALSE
"257",257,"sparfloxacin","60464","YAPC","trt_cp","down",-0.343770841081113,3.07457990859294e-05,0.000243510757536979,-1.11246736512207,-0.926401927605906,25,95,"TOP2A",-81.2593555503033,FALSE,FALSE
"283",283,"bortezomib","73707406","YAPC","trt_cp","down",-0.339783014903062,3.3356907288556e-05,0.000247294574995191,-1.09956247049252,-0.904476354537749,25,95,"AIFM1; BAX; BCL2L11; CASP9; CYCS; DIABLO; IL6; JUN; MAPK8; NFKBIA; PSMA1; PSMA2; PSMA3; PSMA4; PSMA5; PSMA6; PSMA7; PSMA8; PSMB1; PSMB10; PSMB2; PSMB3; PSMB4; PSMB5; PSMB6; PSMB7; PSMB8; PSMD1; PSMD2; RELA; TP53; VEGFA",-87.1612305995431,TRUE,TRUE
"292",292,"norgestrel","5702096","YAPC","trt_cp","down",-0.337790609478711,3.52499607354604e-05,0.000252125238636444,-1.09311490208994,0.0473417300058673,25,95,"AR; CYP2E1; PGR; SRD5A1",-80.6546915622784,TRUE,FALSE
"304",304,"belinostat","6918638","YAPC","trt_cp","down",-0.33624752452205,3.7882828173109e-05,0.000261329748913735,-1.08812136729654,-0.872195578328057,25,95,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-84.5269045930828,TRUE,FALSE
"315",315,"levocetirizine","1549000","YAPC","trt_cp","down",-0.334541177229949,3.9057826864291e-05,0.000265343411461,-1.08259950374913,-1.03362473504592,25,95,"CXCL8; HRH1",-81.4701016308201,TRUE,FALSE
"339",339,"nateglinide","5311309","YAPC","trt_cp","down",-0.331476643820164,4.57814304860547e-05,0.000291170586075156,-1.07268245145642,1.01427792961262,25,95,"ABCC8; CYP2C9; CYP3A4; INS; KCNJ10; KCNJ11; PPARG",-82.8576774600173,TRUE,FALSE
"342",342,"vorinostat","5311","YAPC","trt_cp","down",-0.330846205022902,4.57814304860547e-05,0.000291170586075156,-1.07064230580167,-1.01025798928903,25,95,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-81.5616875443158,TRUE,TRUE
"354",354,"rolipram","5092","YAPC","trt_cp","down",-0.328982001469462,5.02638329005639e-05,0.000309915031152763,-1.06460960794799,0,25,95,"PDE4A; PDE4B; PDE4C; PDE4D; PDE5A",-86.5270227684551,FALSE,FALSE
"355",355,"dipyridamole","3108","YAPC","trt_cp","down",-0.32895601104738,5.02638329005639e-05,0.000309915031152763,-1.06452550105783,-0.286977194235708,25,95,"ADA; ORM1; PDE10A; PDE4A; PDE5A; PDE7B; PDE8A; PDE8B; RCAN1; SLC29A1; SLC29A2",-80.6074214133775,TRUE,TRUE
"389",389,"albendazole","2082","YAPC","trt_cp","down",-0.322877323157046,7.19577902173874e-05,0.000404275857576319,-1.04485442633988,-0.795339252969443,25,95,"CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B",-80.5660600330891,TRUE,FALSE
