"","...1","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"32",1809,"nortriptyline","441358","YAPC","trt_cp","up",0.437209769216971,2.45008986346472e-05,0.00021692964302262,1.4073025671491,0,24,97,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4",96.1455132750335
"33",1854,"CT-7758",NA,"YAPC","trt_cp","down",-0.440379756664352,2.43703432245158e-05,0.00021692964302262,-1.40473133536193,0,24,97,NA,-97.2337114945245
"34",1856,"tegobuvir",NA,"YAPC","trt_cp","up",0.436372653593406,2.45444171046909e-05,0.00021692964302262,1.40460803685954,0,24,97,NA,97.7684550539667
"35",1935,"licarbazepine",NA,"YAPC","trt_cp","up",0.434706996898378,2.45879355747347e-05,0.00021692964302262,1.39924657627942,0.977814546810552,24,97,NA,98.2224454423698
"36",1965,"formoterol","23581795","YAPC","trt_cp","down",-0.437801161507393,2.44573801646034e-05,0.00021692964302262,-1.39650608576002,-0.260419813992627,24,97,"ADRB1; ADRB2; ADRB3",-97.99003387694
"37",1972,"vortioxetine",NA,"YAPC","trt_cp","up",0.433737405129425,2.46314540447785e-05,0.00021692964302262,1.39612562820917,0.92923445494555,24,97,"ADRB1; HTR1B; HTR3A; HTR7; SLC6A4",95.4443393996691
"38",1976,"tanaproget",NA,"YAPC","trt_cp","up",0.433652134036281,2.46314540447785e-05,0.00021692964302262,1.39585115532056,0.933189798316668,24,97,"C1S; PGR",97.4405183959663
"39",1996,"cytisine",NA,"YAPC","trt_cp","down",-0.43726458095174,2.45008986346472e-05,0.00021692964302262,-1.39479449137116,-0.799878147180731,24,97,"CHRNA1; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNB2; CHRNB3; CHRNB4; CHRND; CHRNE; STXBP5",-95.8796186874655
"40",2196,"stavudine","18283","YAPC","trt_cp","down",-0.4342026,2.463145e-05,0.0002169296,-1.385027,0,24,97,NA,-97.3843850941464
"41",2205,"KIN001-055","3796","YAPC","trt_cp","down",-0.4339414,2.463145e-05,0.0002169296,-1.384194,0,24,97,"EGFR",-96.181950681478
"42",2236,"atorvastatin","2250","YAPC","trt_cp","up",0.4296102,2.480553e-05,0.0002169296,1.382841,0,24,97,"AHR; APOA1; APOB; APOE; CCL2; CD40LG; CETP; CRP; CYP3A5; DPP4; FASLG; HMGCR; IL6; LDLR; LPL; MTTP; PON1; RHOA; SERPINE1; SLCO1B1; VCAM1",96.880170172536
"43",2288,"nicaraven",NA,"YAPC","trt_cp","down",-0.4326645,2.467497e-05,0.0002169296,-1.380121,-0.5338839,24,97,NA,-97.4149137319783
"44",2352,"dienogest",NA,"YAPC","trt_cp","down",-0.4316617,2.471849e-05,0.0002169296,-1.376922,-0.7344798,24,97,"AR; PGR",-93.7416292444655
"45",2355,"saracatinib","10302451","YAPC","trt_cp","down",-0.4315578,2.471849e-05,0.0002169296,-1.376591,-0.6732426,24,97,"ABL1; ABL2; LCK; SRC; YES1",-96.9865280075632
"46",2388,"bavisant",NA,"YAPC","trt_cp","up",0.4272431,2.493608e-05,0.0002169296,1.375221,0,24,97,NA,96.5532183093043
"47",2406,"bupivacaine","2474","YAPC","trt_cp","down",-0.4308654,2.476201e-05,0.0002169296,-1.374382,-0.8244917,24,97,"PTGER1; SCN10A",-97.5714961002127
"48",2421,"KIN001-266","44143370","YAPC","trt_cp","down",-0.4305137,2.476201e-05,0.0002169296,-1.37326,-0.6906531,24,97,NA,-97.0377373355393
"49",2442,"valrubicin",NA,"YAPC","trt_cp","down",-0.4301523,2.480553e-05,0.0002169296,-1.372108,-0.04433851,24,97,"TOP2A",-97.5133932088553
"50",2476,"mitomycin-c","5746","YAPC","trt_cp","down",-0.4296278,2.480553e-05,0.0002169296,-1.370434,-0.995713,24,97,NA,-93.7957929567478
"51",2511,"travoprost",NA,"YAPC","trt_cp","up",0.4252502,2.502312e-05,0.0002169296,1.368807,0.01437493,24,97,"PTGFR",95.8421964862523
"52",2647,"calcipotriol","5353464","YAPC","trt_cp","up",0.4235321,2.506664e-05,0.0002169296,1.363276,0.6380799,24,97,"BGLAP; GC; VDR",95.8874970456157
"53",2737,"SB-939",NA,"YAPC","trt_cp","down",-0.4260686,2.49796e-05,0.0002169296,-1.359081,-0.8834847,24,97,NA,-95.4522177578193
"54",2759,"ALW-II-49-7","24875320","YAPC","trt_cp","down",-0.4257427,2.49796e-05,0.0002169296,-1.358042,0,24,97,"DDR1; EPHA2; EPHA4; EPHA7; EPHB2; EPHB4; EPHB6",-93.4717954778224
"55",2788,"ARP-101","11292680","YAPC","trt_cp","up",0.4214893,2.519719e-05,0.0002169296,1.356701,0,24,97,NA,94.4595446308989
"56",2802,"escitalopram","146570","YAPC","trt_cp","up",0.4212967,2.519719e-05,0.0002169296,1.356081,0,24,97,"ADRA1A; CHRM1; HRH1; SLC6A2; SLC6A3; SLC6A4",96.4488300638147
"57",2860,"fluphenazine","9550045","YAPC","trt_cp","up",0.4205091,2.519719e-05,0.0002169296,1.353546,0,24,97,"ADCY10; AR; CALM1; CALM2; CALM3; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7",95.6324352005042
"58",2929,"birinapant",NA,"YAPC","trt_cp","up",0.4194978,2.528423e-05,0.0002169296,1.350291,0,24,97,NA,95.4935791381076
"59",2994,"dacinostat","6445533","YAPC","trt_cp","down",-0.4225274,2.511016e-05,0.0002169296,-1.347786,-1.021929,24,97,"HDAC1; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-96.7226030095328
"60",3050,"VE-821",NA,"YAPC","trt_cp","down",-0.4217349,2.515368e-05,0.0002169296,-1.345258,0,24,97,NA,-95.1193571259749
"61",3090,"tirasemtiv",NA,"YAPC","trt_cp","down",-0.4211748,2.519719e-05,0.0002169296,-1.343471,0,24,97,NA,-92.1620184353581
"62",3159,"bumetanide","2471","YAPC","trt_cp","up",0.4165572,2.537127e-05,0.0002169296,1.340825,0.5771734,24,97,"ATP1A1; CFTR; GPR35; SLC12A1; SLC12A2; SLC12A4; SLC12A5",96.9372882691247
"63",3389,"toremifene","3005573","YAPC","trt_cp","up",0.4138446,2.550182e-05,0.0002169296,1.332094,0.8830076,24,97,"CYP3A5; ESR1; SHBG",94.2241786811628
"64",3414,"PK-11195","1345","YAPC","trt_cp","down",-0.4172749,2.537127e-05,0.0002169296,-1.331031,0.548756,24,97,"NR1I2; NR1I3; TSPO",-95.0129992909478
"65",3434,"duloxetine","60835","YAPC","trt_cp","up",0.4131847,2.554534e-05,0.0002169296,1.32997,0,24,97,"HTR6; SLC6A2; SLC6A3; SLC6A4",94.1365319467423
"66",3468,"sodium-gualenate",NA,"YAPC","trt_cp","down",-0.4165021,2.537127e-05,0.0002169296,-1.328566,-0.8028173,24,97,NA,-92.5047270148901
"67",3519,"pirenzepine","185248","YAPC","trt_cp","up",0.4120767,2.558886e-05,0.0002169296,1.326404,0.6028533,24,97,"ADCY10; CHRM1; CHRM4; CHRM5",94.9233829669897
"68",3625,"PX-12",NA,"YAPC","trt_cp","down",-0.4146571,2.54583e-05,0.0002169296,-1.322681,-0.9749062,24,97,"TXNRD1",-91.8823367210273
"69",3645,"ixazomib","25183872","YAPC","trt_cp","down",-0.4144364,2.550182e-05,0.0002169296,-1.321977,-0.8393535,24,97,"PSMB5",-95.5044118805641
"70",3673,"sirolimus","73707374","YAPC","trt_cp","down",-0.4141434,2.550182e-05,0.0002169296,-1.321042,0,24,97,"CCR5; FGF2; FKBP1A; MTOR",-87.8919483179705
"71",3824,"L-citrulline",NA,"YAPC","trt_cp","down",-0.4126076,2.554534e-05,0.0002169296,-1.316143,-0.6607813,24,97,"ASS1; DDAH1; DDAH2; NOS1; NOS2; NOS3; OTC; PADI1; PADI2; PADI3; PADI4; PADI6",-95.1390530213503
"72",3880,"AEE-788",NA,"YAPC","trt_cp","up",0.4083872,2.576293e-05,0.0002169296,1.314528,0.9794449,24,97,NA,94.4103048924604
"73",3919,"BRD-K76022557",NA,"YAPC","trt_cp","up",0.408028,2.576293e-05,0.0002169296,1.313371,0.6442658,24,97,NA,95.5319861340896
"74",3921,"balaglitazone",NA,"YAPC","trt_cp","up",0.4080202,2.576293e-05,0.0002169296,1.313346,0.02655788,24,97,NA,96.4074686835264
"75",3930,"MG-132","462382","YAPC","trt_cp","down",-0.4116386,2.558886e-05,0.0002169296,-1.313052,-0.9075543,24,97,"PSMB1",-94.1060033089104
"76",4064,"BRD-K63750851",NA,"YAPC","trt_cp","down",-0.4101087,2.56759e-05,0.0002169296,-1.308172,0,24,97,NA,-96.1169542267392
"77",4110,"almorexant",NA,"YAPC","trt_cp","up",0.4059494,2.584997e-05,0.0002169296,1.306681,0,24,97,NA,90.9132986685575
"78",4159,"triptolide","16220015","YAPC","trt_cp","down",-0.4091178,2.571942e-05,0.0002169296,-1.305011,-1.176916,24,97,"RELA",-88.1795083904514
"79",4166,"seocalcitol",NA,"YAPC","trt_cp","up",0.4053884,2.589349e-05,0.0002169296,1.304875,0,24,97,"VDR",92.9961396045064
"80",4167,"ripasudil",NA,"YAPC","trt_cp","down",-0.4090686,2.571942e-05,0.0002169296,-1.304854,-0.246618,24,97,"ROCK1; ROCK2",-88.1026943984874
"81",4169,"AMG-487",NA,"YAPC","trt_cp","down",-0.4090557,2.571942e-05,0.0002169296,-1.304813,0,24,97,NA,-94.7027889387851
"82",4185,"doxorubicin","31703","YAPC","trt_cp","down",-0.408898,2.571942e-05,0.0002169296,-1.30431,-0.9741105,24,97,"CHD1; NOLC1; TOP2A",-90.1599306704483
"83",4253,"BAY-61-3606",NA,"YAPC","trt_cp","down",-0.4083478,2.576293e-05,0.0002169296,-1.302555,0.5369573,24,97,NA,-95.8500748444024
"84",4296,"sobetirome",NA,"YAPC","trt_cp","down",-0.4078126,2.576293e-05,0.0002169296,-1.300848,0.9577317,24,97,"THRA; THRB",-94.1503190735051
"85",4299,"gallopamil",NA,"YAPC","trt_cp","up",0.404102,2.593701e-05,0.0002169296,1.300734,1.278209,24,97,"ATP2A2",92.6041912865359
"86",4315,"balicatib",NA,"YAPC","trt_cp","down",-0.4076578,2.576293e-05,0.0002169296,-1.300354,0,24,97,NA,-91.8567320570393
"87",4364,"NVP-AUY922","10096043","YAPC","trt_cp","up",0.4035703,2.593701e-05,0.0002169296,1.299023,-0.6299429,24,97,"HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1",92.6169936185299
"88",4428,"dantrolene","32731","YAPC","trt_cp","down",-0.4067556,2.580645e-05,0.0002169296,-1.297476,0,24,97,"MB; RYR1; RYR3",-84.6047033798156
"89",4520,"miconazole","4189","YAPC","trt_cp","up",0.4023337,2.602405e-05,0.0002169296,1.295043,0.5316145,24,97,"CYP51A1; KCNH2; KCNH6; KCNH7; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN1; KCNN2; KCNN3; KCNN4; NOS2; NOS3; NR1I2",94.3443236429528
"90",4562,"esculin","15558439","YAPC","trt_cp","up",0.4018331,2.602405e-05,0.0002169296,1.293431,0.9401338,24,97,"AR",94.1985740171748
"91",4579,"dehydroepiandrosterone",NA,"YAPC","trt_cp","up",0.4016666,2.602405e-05,0.0002169296,1.292895,0,24,97,NA,93.1271173087529
"92",4607,"orteronel",NA,"YAPC","trt_cp","up",0.4014281,2.606756e-05,0.0002169296,1.292128,0.9056486,24,97,NA,93.9691168360514
"93",4625,"sertindole","60149","YAPC","trt_cp","up",0.4012877,2.606756e-05,0.0002169296,1.291676,1.042116,24,97,"ADRA1B; ADRA1D; HTR6; KCNH2",93.0443945481762
"94",4647,"ZK-93423","121926","YAPC","trt_cp","up",0.4011011,2.606756e-05,0.0002169296,1.291075,0.9244469,24,97,"GABRA2; GABRA3; GABRA5; GABRB2; GABRG2",92.7893327030647
"95",4692,"alaproclate","2081","YAPC","trt_cp","down",-0.4043516,2.593701e-05,0.0002169296,-1.289808,-0.7421493,24,97,"SLC6A4",-93.1960529425668
"96",4789,"zosuquidar","3036703","YAPC","trt_cp","up",0.4000812,2.611108e-05,0.0002169296,1.287792,0.7564125,24,97,"ABCB1; ABCB4",94.793390057512
"97",5047,"pinitol",NA,"YAPC","trt_cp","up",0.3978422,2.619812e-05,0.0002169296,1.280585,0.5540714,24,97,NA,93.987827936658
"98",5116,"chlorpropamide",NA,"YAPC","trt_cp","down",-0.4008537,2.606756e-05,0.0002169296,-1.278651,0.5177198,24,97,"ABCC8; KCNJ10",-88.8127314267707
"99",5119,"gabapentin","3446","YAPC","trt_cp","up",0.3972281,2.624164e-05,0.0002169296,1.278609,0,24,97,"ADORA1; BCAT1; BCAT2; CACNA1B; CACNA2D1; CACNA2D2; GABBR1; GABBR2; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B",93.5584574174742
"100",5148,"indapamide","3702","YAPC","trt_cp","down",-0.4005667,2.606756e-05,0.0002169296,-1.277735,-0.9214846,24,97,"CA7; KCNE1; KCNQ1; SLC12A3",-93.0828015441582
"101",5181,"GSK-1292263",NA,"YAPC","trt_cp","up",0.3967191,2.624164e-05,0.0002169296,1.27697,0.7287505,24,97,NA,91.1141968013866
"102",5220,"SB-271046",NA,"YAPC","trt_cp","up",0.3964398,2.628516e-05,0.0002169296,1.276071,0.9088812,24,97,NA,92.2831481919168
"103",5233,"BCI-540",NA,"YAPC","trt_cp","up",0.3962961,2.628516e-05,0.0002169296,1.275608,1.035711,24,97,NA,93.65792168912
"104",5238,"cianidanol",NA,"YAPC","trt_cp","up",0.3962177,2.628516e-05,0.0002169296,1.275356,-0.7672491,24,97,NA,91.0068541715906
"105",5274,"nemonapride","4452","YAPC","trt_cp","down",-0.3994724,2.61546e-05,0.0002169296,-1.274244,0,24,97,"DRD3; DRD4",-83.5430946190814
"106",5282,"theophylline","2153","YAPC","trt_cp","down",-0.3993877,2.61546e-05,0.0002169296,-1.273974,0.7392242,24,97,"ADORA1; ADORA2A; ADORA2B; ADORA3; APOA1BP; CHIA; CPNE1; CYP2E1; CYP3A4; HDAC2; HM13; NOMO1; PARP1; PDE3A; PDE4A; PDE4B; PDE5A; PDXK; RIC3; TTLL3",-94.6663515323407
"107",5292,"celecoxib","2662","YAPC","trt_cp","up",0.3957124,2.628516e-05,0.0002169296,1.27373,0.5676346,24,97,"ABCB1; ABCB5; ABCG2; CA12; CA3; CASP3; CASP9; CYP2C9; LTF; PCNA; TF; VEGFA",94.4536358622863
"108",5361,"carprofen","2581","YAPC","trt_cp","down",-0.3987184,2.61546e-05,0.0002169296,-1.271839,0,24,97,NA,-94.0715354920035
"109",5381,"SDZ-NKT-343","44208964","YAPC","trt_cp","up",0.3949431,2.632867e-05,0.0002169296,1.271254,0.05630213,24,97,"TACR1",94.4516662727488
"110",5396,"CTS-1027",NA,"YAPC","trt_cp","down",-0.3984287,2.619812e-05,0.0002169296,-1.270915,0,24,97,"MMP13",-93.3752855904829
"111",5405,"betahistine","2366","YAPC","trt_cp","up",0.3947084,2.632867e-05,0.0002169296,1.270498,0.789582,24,97,"HRH1; HRH3",94.4733317576617
"112",5494,"fenoterol","3343","YAPC","trt_cp","down",-0.3976614,2.619812e-05,0.0002169296,-1.268468,0,24,97,"ADRB1; ADRB2; ADRB3; SLC5A7",-91.708028046955
"113",5496,"rilpivirine",NA,"YAPC","trt_cp","up",0.3940596,2.637219e-05,0.0002169296,1.26841,0.5587509,24,97,"NR1I2; SCN10A",93.3516505160325
"114",5499,"broxuridine",NA,"YAPC","trt_cp","up",0.3940335,2.637219e-05,0.0002169296,1.268326,0,24,97,NA,92.3510990309619
"115",5619,"sasapyrine",NA,"YAPC","trt_cp","down",-0.3965619,2.624164e-05,0.0002169296,-1.26496,0,24,97,NA,-95.0622390293863
"116",5705,"filgotinib",NA,"YAPC","trt_cp","up",0.3922357,2.645923e-05,0.0002169296,1.262539,0,24,97,NA,93.4333884818404
"117",5831,"BRD-K09991945",NA,"YAPC","trt_cp","up",0.3912048,2.650275e-05,0.0002169296,1.25922,0,24,97,NA,88.6906168754432
"118",5899,"palmitoylethanolamide","4671","YAPC","trt_cp","up",0.3906725,2.650275e-05,0.0002169296,1.257507,0,24,97,"CNR2; GPR119; GPR55",93.8095800835106
"119",5974,"amikacin","16218899","YAPC","trt_cp","down",-0.3936751,2.637219e-05,0.0002169296,-1.255752,-0.9555878,24,97,NA,-93.5151264476483
"120",6021,"amonafide","50515","YAPC","trt_cp","down",-0.3933577,2.641571e-05,0.0002169296,-1.25474,0,24,97,"TOP2A; TOP2B",-95.6629638383361
"121",6141,"tafamidis-meglumine",NA,"YAPC","trt_cp","down",-0.3924884,2.645923e-05,0.0002169296,-1.251967,-0.03012615,24,97,NA,-91.9207437170094
"122",6196,"losartan","73707547","YAPC","trt_cp","up",0.3886018,2.658979e-05,0.0002169296,1.250842,0.7886723,24,97,"ACE2; AGTR1; CYP2C9; EDN1; FOS; SERPINE1",91.3712282360356
"123",6261,"amlexanox","2161","YAPC","trt_cp","down",-0.3916431,2.645923e-05,0.0002169296,-1.24927,0.8327298,24,97,"FGF1; IL3; PPID; S100A12; S100A13; S100A9",-92.5657842905538
"124",6594,"CI-966","198692","YAPC","trt_cp","down",-0.3895373,2.654627e-05,0.0002169296,-1.242553,0,24,97,"SLC6A1",-90.8847396202631
"125",6617,"miglitol","441314","YAPC","trt_cp","down",-0.3893765,2.658979e-05,0.0002169296,-1.24204,0.8583785,24,97,"AMY2A; GAA; GANAB; GANC; MGAM; SI; SLC5A4",-92.4741983770582
"126",6647,"emtricitabine",NA,"YAPC","trt_cp","up",0.3856347,2.672034e-05,0.0002169296,1.241291,0.04534916,24,97,"DCK",91.2589616323958
"127",6723,"itopride","129791","YAPC","trt_cp","down",-0.3886115,2.658979e-05,0.0002169296,-1.2396,0,24,97,"ACHE",-90.8118648073741
"128",6937,"AZD-4547",NA,"YAPC","trt_cp","down",-0.3870824,2.667682e-05,0.0002169296,-1.234723,0,24,97,"FGFR2",-90.9901126605215
"129",6983,"pirenoxine",NA,"YAPC","trt_cp","down",-0.3866996,2.667682e-05,0.0002169296,-1.233501,-0.877516,24,97,NA,-87.1996375955251
"130",7110,"novobiocin","9346","YAPC","trt_cp","down",-0.385822,2.672034e-05,0.0002169296,-1.230702,0,24,97,NA,-81.3194280311983
"131",7159,"nandrolone","9904","YAPC","trt_cp","up",0.3820306,2.689441e-05,0.0002169296,1.229691,0,24,97,NA,89.5966280627117
"132",7251,"AGP-103",NA,"YAPC","trt_cp","up",0.3814511,2.693793e-05,0.0002169296,1.227825,0,24,97,NA,91.6371228236036
"133",7252,"sotrastaurin",NA,"YAPC","trt_cp","down",-0.3849172,2.676386e-05,0.0002169296,-1.227816,0,24,97,"PRKCB",-93.319152288663
"134",7268,"norgestrel","5702096","YAPC","trt_cp","down",-0.3847964,2.676386e-05,0.0002169296,-1.227431,-0.04079929,24,97,"AR; CYP2E1; PGR; SRD5A1",-91.7612069644686
"135",7332,"amiloride","16231","YAPC","trt_cp","up",0.3808972,2.693793e-05,0.0002169296,1.226042,-0.02689924,24,97,"ADCY10; AOC1; ASIC1; ASIC2; ASIC3; ASIC4; PKD2; PKD2L1; PLAT; PLAU; SCNN1A; SCNN1B; SCNN1D; SCNN1G; SLC9A1; SLC9A2; SLC9A3; TRPC7; TRPV2",85.9420546758056
"136",7372,"camptothecin","2538","YAPC","trt_cp","down",-0.3841001,2.680738e-05,0.0002169296,-1.225209,-1.084847,24,97,"HIF1A; TOP1",-85.6948711888442
"137",7399,"brequinar",NA,"YAPC","trt_cp","up",0.3804658,2.698145e-05,0.0002169296,1.224653,-0.5700648,24,97,"DHODH",94.45068147798
"138",7459,"ledipasvir",NA,"YAPC","trt_cp","up",0.3800925,2.698145e-05,0.0002169296,1.223452,-0.6178554,24,97,NA,92.6071456708422
"139",7499,"tolnaftate","5510","YAPC","trt_cp","down",-0.3833275,2.68509e-05,0.0002169296,-1.222745,0.7512529,24,97,"SQLE",-84.7681793114315
"140",7510,"MDL-73005EF","71346","YAPC","trt_cp","up",0.3798244,2.698145e-05,0.0002169296,1.222589,0,24,97,NA,91.2225242259513
"141",7564,"nebivolol",NA,"YAPC","trt_cp","down",-0.3829705,2.68509e-05,0.0002169296,-1.221606,0,24,97,"ADRB1; ADRB2",-90.1412195698417
"142",7585,"formestane","44511091","YAPC","trt_cp","down",-0.382863,2.68509e-05,0.0002169296,-1.221263,0,24,97,"CYP19A1",-88.3075317103916
"143",7600,"oxybenzone","4632","YAPC","trt_cp","up",0.3793436,2.702497e-05,0.0002169296,1.221041,0.09867439,24,97,"AR; ESR2; LIPE; PGR",89.7699519420153
"144",7675,"VX-661",NA,"YAPC","trt_cp","up",0.3788255,2.702497e-05,0.0002169296,1.219374,0.03941577,24,97,NA,91.0383676041913
"145",7738,"bifemelane","2377","YAPC","trt_cp","up",0.3783907,2.706849e-05,0.0002169296,1.217974,-0.02763415,24,97,"SLC6A2",84.071929409911
"146",7824,"BRD-K97440753",NA,"YAPC","trt_cp","up",0.3778628,2.706849e-05,0.0002169296,1.216275,0.5531863,24,97,NA,92.2920113448357
