"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0031344","GO:0031344",4,"GO:0042391",0.177,5,5,"regulation of cell projection organization","regulation of membrane potential",TRUE,FALSE,FALSE
"GO:0050877","GO:0050877",4,"GO:0042391",0.135,54,54,"nervous system process","regulation of membrane potential",TRUE,TRUE,TRUE
"GO:0055085","GO:0055085",3,"GO:0055085",1,230,230,"transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0099504","GO:0099504",3,"GO:0055085",0.506,2,2,"synaptic vesicle cycle","transmembrane transport",FALSE,TRUE,TRUE
"GO:0060078","GO:0060078",4,"GO:0042391",0.812,31,31,"regulation of postsynaptic membrane potential","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0007610","GO:0007610",4,"GO:0042391",0.246,5,5,"behavior","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0006811","GO:0006811",3,"GO:0055085",0.584,103,103,"ion transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0050890","GO:0050890",4,"GO:0042391",0.11,51,51,"cognition","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0042391","GO:0042391",4,"GO:0042391",1,113,113,"regulation of membrane potential","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0003008","GO:0003008",4,"GO:0042391",0.176,0,0,"system process","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0007214","GO:0007214",2,"GO:0007268",0.226,29,29,"gamma-aminobutyric acid signaling pathway","chemical synaptic transmission",FALSE,TRUE,FALSE
"GO:0034220","GO:0034220",3,"GO:0055085",0.788,147,147,"ion transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0007269","GO:0007269",3,"GO:0055085",0.31,26,26,"neurotransmitter secretion","transmembrane transport",FALSE,TRUE,TRUE
"GO:0099643","GO:0099643",3,"GO:0055085",0.393,0,0,"signal release from synapse","transmembrane transport",FALSE,TRUE,TRUE
"GO:0007611","GO:0007611",4,"GO:0042391",0.128,63,63,"learning or memory","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0060627","GO:0060627",3,"GO:0055085",0.466,9,9,"regulation of vesicle-mediated transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0032501","GO:0032501",4,"GO:0042391",0.246,0,0,"multicellular organismal process","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0098660","GO:0098660",3,"GO:0055085",0.717,0,0,"inorganic ion transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0046928","GO:0046928",3,"GO:0055085",0.217,19,19,"regulation of neurotransmitter secretion","transmembrane transport",FALSE,TRUE,TRUE
"GO:0030534","GO:0030534",4,"GO:0042391",0.154,28,28,"adult behavior","regulation of membrane potential",FALSE,TRUE,FALSE
"GO:0051932","GO:0051932",2,"GO:0007268",0.85,18,18,"synaptic transmission, GABAergic","chemical synaptic transmission",FALSE,TRUE,FALSE
"GO:0051588","GO:0051588",3,"GO:0055085",0.399,0,0,"regulation of neurotransmitter transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0007612","GO:0007612",4,"GO:0042391",0.109,60,60,"learning","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0006812","GO:0006812",3,"GO:0055085",0.49,27,27,"cation transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0016079","GO:0016079",3,"GO:0055085",0.257,21,21,"synaptic vesicle exocytosis","transmembrane transport",FALSE,TRUE,FALSE
"GO:0050808","GO:0050808",4,"GO:0042391",0.093,57,57,"synapse organization","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0043269","GO:0043269",3,"GO:0055085",0.399,1,1,"regulation of ion transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0035418","GO:0035418",4,"GO:0042391",0.093,12,12,"protein localization to synapse","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0007613","GO:0007613",4,"GO:0042391",0.109,83,83,"memory","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0017157","GO:0017157",3,"GO:0055085",0.336,37,37,"regulation of exocytosis","transmembrane transport",FALSE,TRUE,FALSE
"GO:1902476","GO:1902476",3,"GO:0055085",0.49,85,85,"chloride transmembrane transport","transmembrane transport",FALSE,TRUE,FALSE
"GO:2000300","GO:2000300",3,"GO:0055085",0.188,45,45,"regulation of synaptic vesicle exocytosis","transmembrane transport",FALSE,TRUE,FALSE
"GO:0045055","GO:0045055",3,"GO:0055085",0.482,24,24,"regulated exocytosis","transmembrane transport",FALSE,TRUE,FALSE
"GO:0015698","GO:0015698",3,"GO:0055085",0.426,32,32,"inorganic anion transport","transmembrane transport",FALSE,TRUE,FALSE
"GO:0098928","GO:0098928",2,"GO:0007268",0.272,0,0,"presynaptic signal transduction","chemical synaptic transmission",FALSE,TRUE,FALSE
"GO:0099526","GO:0099526",2,"GO:0007268",0.226,2,2,"presynapse to nucleus signaling pathway","chemical synaptic transmission",FALSE,TRUE,FALSE
"GO:0051046","GO:0051046",3,"GO:0055085",0.399,2,2,"regulation of secretion","transmembrane transport",FALSE,TRUE,FALSE
"GO:1902414","GO:1902414",4,"GO:0042391",0.11,9,9,"protein localization to cell junction","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0035637","GO:0035637",2,"GO:0007268",0.237,0,0,"multicellular organismal signaling","chemical synaptic transmission",FALSE,TRUE,FALSE
"GO:0006821","GO:0006821",3,"GO:0055085",0.383,56,56,"chloride transport","transmembrane transport",FALSE,TRUE,FALSE
"GO:0098656","GO:0098656",3,"GO:0055085",0.657,44,44,"anion transmembrane transport","transmembrane transport",FALSE,TRUE,FALSE
"GO:0006887","GO:0006887",3,"GO:0055085",0.514,99,99,"exocytosis","transmembrane transport",FALSE,TRUE,FALSE
"GO:0034762","GO:0034762",3,"GO:0055085",0.633,0,0,"regulation of transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0034330","GO:0034330",4,"GO:0042391",0.11,0,0,"cell junction organization","regulation of membrane potential",FALSE,TRUE,TRUE
"GO:0098661","GO:0098661",3,"GO:0055085",0.531,0,0,"inorganic anion transmembrane transport","transmembrane transport",FALSE,TRUE,FALSE
"GO:1903305","GO:1903305",3,"GO:0055085",0.325,2,2,"regulation of regulated secretory pathway","transmembrane transport",FALSE,TRUE,FALSE
"GO:0098655","GO:0098655",3,"GO:0055085",0.657,45,45,"cation transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:0035249","GO:0035249",2,"GO:0007268",0.85,29,29,"synaptic transmission, glutamatergic","chemical synaptic transmission",FALSE,TRUE,TRUE
"GO:0071625","GO:0071625",4,"GO:0042391",0.176,18,18,"vocalization behavior","regulation of membrane potential",FALSE,TRUE,FALSE
"GO:0034765","GO:0034765",3,"GO:0055085",0.506,114,114,"regulation of ion transmembrane transport","transmembrane transport",FALSE,TRUE,TRUE
"GO:1903530","GO:1903530",3,"GO:0055085",0.394,0,0,"regulation of secretion by cell","transmembrane transport",FALSE,TRUE,FALSE
"GO:0036465","GO:0036465",3,"GO:0055085",0.506,6,6,"synaptic vesicle recycling","transmembrane transport",FALSE,FALSE,TRUE
"GO:0048731","GO:0048731",1,"GO:0007399",0.864,2,2,"system development","nervous system development",FALSE,FALSE,TRUE
"GO:0007275","GO:0007275",1,"GO:0007399",0.757,219,219,"multicellular organism development","nervous system development",FALSE,FALSE,TRUE
"GO:0048488","GO:0048488",3,"GO:0055085",0.41,44,44,"synaptic vesicle endocytosis","transmembrane transport",FALSE,FALSE,TRUE
"GO:0140238","GO:0140238",3,"GO:0055085",0.469,0,0,"presynaptic endocytosis","transmembrane transport",FALSE,FALSE,TRUE
"GO:0048168","GO:0048168",2,"GO:0007268",0.552,18,18,"regulation of neuronal synaptic plasticity","chemical synaptic transmission",FALSE,FALSE,TRUE
"GO:0050806","GO:0050806",2,"GO:0007268",0.518,17,17,"positive regulation of synaptic transmission","chemical synaptic transmission",FALSE,FALSE,TRUE
"GO:0048856","GO:0048856",1,"GO:0007399",0.563,50,50,"anatomical structure development","nervous system development",FALSE,FALSE,TRUE
"GO:0007417","GO:0007417",1,"GO:0007399",0.874,140,140,"central nervous system development","nervous system development",FALSE,FALSE,TRUE
"GO:0031644","GO:0031644",4,"GO:0042391",0.186,3,3,"regulation of nervous system process","regulation of membrane potential",FALSE,FALSE,TRUE
"GO:0032502","GO:0032502",1,"GO:0007399",0.43,24,24,"developmental process","nervous system development",FALSE,FALSE,TRUE
"GO:0060384","GO:0060384",1,"GO:0007399",0.798,17,17,"innervation","nervous system development",FALSE,FALSE,TRUE
"GO:0098815","GO:0098815",2,"GO:0007268",0.332,7,7,"modulation of excitatory postsynaptic potential","chemical synaptic transmission",FALSE,FALSE,TRUE
"GO:0030001","GO:0030001",3,"GO:0055085",0.426,9,9,"metal ion transport","transmembrane transport",FALSE,FALSE,TRUE
"GO:0016192","GO:0016192",3,"GO:0055085",0.731,167,167,"vesicle-mediated transport","transmembrane transport",FALSE,FALSE,TRUE
"GO:0099601","GO:0099601",2,"GO:0007268",0.159,5,5,"regulation of neurotransmitter receptor activity","chemical synaptic transmission",FALSE,FALSE,TRUE
"GO:0098662","GO:0098662",3,"GO:0055085",0.573,11,11,"inorganic cation transmembrane transport","transmembrane transport",FALSE,FALSE,TRUE
"GO:0050794","GO:0050794",4,"GO:0042391",0.307,2,2,"regulation of cellular process","regulation of membrane potential",FALSE,FALSE,TRUE
"GO:1904062","GO:1904062",3,"GO:0055085",0.455,3,3,"regulation of cation transmembrane transport","transmembrane transport",FALSE,FALSE,TRUE
"GO:0006897","GO:0006897",3,"GO:0055085",0.632,204,204,"endocytosis","transmembrane transport",FALSE,FALSE,TRUE
"GO:0097484","GO:0097484",1,"GO:0007399",0.352,12,12,"dendrite extension","nervous system development",FALSE,FALSE,TRUE
