"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0050896","GO:0050896",7,"GO:0006954",0.51,67,67,"response to stimulus","inflammatory response",TRUE,TRUE,TRUE
"GO:0002697","GO:0002697",5,"GO:0006955",0.291,0,0,"regulation of immune effector process","immune response",TRUE,FALSE,TRUE
"GO:0032101","GO:0032101",3,"GO:0045087",0.254,0,0,"regulation of response to external stimulus","innate immune response",TRUE,FALSE,TRUE
"GO:0002449","GO:0002449",5,"GO:0006955",0.313,0,0,"lymphocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0002694","GO:0002694",10,"GO:0042110",0.426,0,0,"regulation of leukocyte activation","T cell activation",TRUE,FALSE,FALSE
"GO:0006954","GO:0006954",7,"GO:0006954",1,410,410,"inflammatory response","inflammatory response",TRUE,FALSE,TRUE
"GO:0050776","GO:0050776",5,"GO:0006955",0.603,36,36,"regulation of immune response","immune response",TRUE,FALSE,TRUE
"GO:0002683","GO:0002683",6,"GO:0050790",0.24,1,1,"negative regulation of immune system process","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0002703","GO:0002703",5,"GO:0006955",0.238,0,0,"regulation of leukocyte mediated immunity","immune response",TRUE,FALSE,TRUE
"GO:0050778","GO:0050778",5,"GO:0006955",0.488,12,12,"positive regulation of immune response","immune response",TRUE,FALSE,TRUE
"GO:0002250","GO:0002250",5,"GO:0006955",0.831,417,417,"adaptive immune response","immune response",TRUE,FALSE,FALSE
"GO:0006909","GO:0006909",9,"GO:0016192",0.864,70,70,"phagocytosis","vesicle-mediated transport",TRUE,FALSE,TRUE
"GO:0002460","GO:0002460",5,"GO:0006955",0.717,0,0,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","immune response",TRUE,FALSE,FALSE
"GO:0001909","GO:0001909",1,"GO:0007165",0.195,1,1,"leukocyte mediated cytotoxicity","signal transduction",TRUE,FALSE,TRUE
"GO:0030101","GO:0030101",10,"GO:0042110",0.702,23,23,"natural killer cell activation","T cell activation",TRUE,FALSE,FALSE
"GO:0001906","GO:0001906",1,"GO:0007165",0.28,1,1,"cell killing","signal transduction",TRUE,FALSE,TRUE
"GO:0050777","GO:0050777",5,"GO:0006955",0.488,11,11,"negative regulation of immune response","immune response",TRUE,FALSE,TRUE
"GO:0031347","GO:0031347",3,"GO:0045087",0.32,0,0,"regulation of defense response","innate immune response",TRUE,FALSE,TRUE
"GO:0051249","GO:0051249",10,"GO:0042110",0.506,1,1,"regulation of lymphocyte activation","T cell activation",TRUE,FALSE,FALSE
"GO:0001817","GO:0001817",4,"GO:0010628",0.598,41,41,"regulation of cytokine production","positive regulation of gene expression",TRUE,FALSE,TRUE
"GO:0006950","GO:0006950",7,"GO:0006954",0.657,0,0,"response to stress","inflammatory response",TRUE,FALSE,TRUE
"GO:0001816","GO:0001816",4,"GO:0010628",0.415,7,7,"cytokine production","positive regulation of gene expression",TRUE,FALSE,TRUE
"GO:1903131","GO:1903131",2,"GO:0030154",0.548,0,0,"mononuclear cell differentiation","cell differentiation",TRUE,FALSE,FALSE
"GO:0002699","GO:0002699",5,"GO:0006955",0.241,0,0,"positive regulation of immune effector process","immune response",TRUE,FALSE,FALSE
"GO:0050866","GO:0050866",10,"GO:0042110",0.266,2,2,"negative regulation of cell activation","T cell activation",TRUE,FALSE,TRUE
"GO:0032103","GO:0032103",3,"GO:0045087",0.223,0,0,"positive regulation of response to external stimulus","innate immune response",TRUE,FALSE,TRUE
"GO:0002706","GO:0002706",5,"GO:0006955",0.206,0,0,"regulation of lymphocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0031341","GO:0031341",1,"GO:0007165",0.49,0,0,"regulation of cell killing","signal transduction",TRUE,FALSE,FALSE
"GO:0042110","GO:0042110",10,"GO:0042110",1,54,54,"T cell activation","T cell activation",TRUE,FALSE,TRUE
"GO:0050900","GO:0050900",8,"GO:0030335",0.439,21,21,"leukocyte migration","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0007159","GO:0007159",1,"GO:0007165",0.188,30,30,"leukocyte cell-cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0002521","GO:0002521",2,"GO:0030154",0.57,2,2,"leukocyte differentiation","cell differentiation",TRUE,FALSE,FALSE
"GO:0048583","GO:0048583",3,"GO:0045087",0.211,0,0,"regulation of response to stimulus","innate immune response",TRUE,FALSE,FALSE
"GO:0002704","GO:0002704",5,"GO:0006955",0.194,0,0,"negative regulation of leukocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0031343","GO:0031343",1,"GO:0007165",0.392,1,1,"positive regulation of cell killing","signal transduction",TRUE,FALSE,FALSE
"GO:0002764","GO:0002764",1,"GO:0007165",0.753,1,1,"immune response-regulating signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0001910","GO:0001910",1,"GO:0007165",0.325,1,1,"regulation of leukocyte mediated cytotoxicity","signal transduction",TRUE,FALSE,FALSE
"GO:0002275","GO:0002275",10,"GO:0042110",0.375,0,0,"myeloid cell activation involved in immune response","T cell activation",TRUE,FALSE,FALSE
"GO:0051716","GO:0051716",7,"GO:0006954",0.313,0,0,"cellular response to stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0002698","GO:0002698",5,"GO:0006955",0.241,0,0,"negative regulation of immune effector process","immune response",TRUE,FALSE,FALSE
"GO:0071674","GO:0071674",8,"GO:0030335",0.383,2,2,"mononuclear cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0048584","GO:0048584",3,"GO:0045087",0.19,0,0,"positive regulation of response to stimulus","innate immune response",TRUE,FALSE,TRUE
"GO:0007165","GO:0007165",1,"GO:0007165",1,1096,1096,"signal transduction","signal transduction",TRUE,FALSE,TRUE
"GO:0043299","GO:0043299",9,"GO:0016192",0.519,1,1,"leukocyte degranulation","vesicle-mediated transport",TRUE,FALSE,TRUE
"GO:0002285","GO:0002285",10,"GO:0042110",0.534,0,0,"lymphocyte activation involved in immune response","T cell activation",TRUE,TRUE,TRUE
"GO:0002705","GO:0002705",5,"GO:0006955",0.194,0,0,"positive regulation of leukocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0045088","GO:0045088",3,"GO:0045087",0.662,23,23,"regulation of innate immune response","innate immune response",TRUE,FALSE,TRUE
"GO:0002831","GO:0002831",3,"GO:0045087",0.254,0,0,"regulation of response to biotic stimulus","innate immune response",TRUE,FALSE,TRUE
"GO:0050764","GO:0050764",9,"GO:0016192",0.566,9,9,"regulation of phagocytosis","vesicle-mediated transport",TRUE,FALSE,FALSE
"GO:0023052","GO:0023052",1,"GO:0007165",0.361,7,7,"signaling","signal transduction",TRUE,FALSE,TRUE
"GO:0098609","GO:0098609",1,"GO:0007165",0.217,166,166,"cell-cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0030097","GO:0030097",2,"GO:0030154",0.172,56,56,"hemopoiesis","cell differentiation",TRUE,FALSE,FALSE
"GO:0065009","GO:0065009",6,"GO:0050790",0.788,0,0,"regulation of molecular function","regulation of catalytic activity",TRUE,FALSE,FALSE
"GO:0007154","GO:0007154",1,"GO:0007165",0.48,18,18,"cell communication","signal transduction",TRUE,FALSE,TRUE
"GO:0002695","GO:0002695",10,"GO:0042110",0.344,2,2,"negative regulation of leukocyte activation","T cell activation",TRUE,FALSE,TRUE
"GO:0042116","GO:0042116",10,"GO:0042110",0.493,13,13,"macrophage activation","T cell activation",TRUE,FALSE,FALSE
"GO:0050863","GO:0050863",10,"GO:0042110",0.618,11,11,"regulation of T cell activation","T cell activation",TRUE,FALSE,FALSE
"GO:0030155","GO:0030155",1,"GO:0007165",0.468,52,52,"regulation of cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0007155","GO:0007155",1,"GO:0007165",0.259,505,505,"cell adhesion","signal transduction",TRUE,FALSE,TRUE
"GO:0002707","GO:0002707",5,"GO:0006955",0.165,0,0,"negative regulation of lymphocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0001912","GO:0001912",1,"GO:0007165",0.25,1,1,"positive regulation of leukocyte mediated cytotoxicity","signal transduction",TRUE,FALSE,FALSE
"GO:0032102","GO:0032102",3,"GO:0045087",0.223,0,0,"negative regulation of response to external stimulus","innate immune response",TRUE,FALSE,FALSE
"GO:0048534","GO:0048534",2,"GO:0030154",0.186,0,0,"hematopoietic or lymphoid organ development","cell differentiation",TRUE,FALSE,FALSE
"GO:0002253","GO:0002253",5,"GO:0006955",0.516,3,3,"activation of immune response","immune response",TRUE,FALSE,FALSE
"GO:0002823","GO:0002823",5,"GO:0006955",0.37,0,0,"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","immune response",TRUE,FALSE,FALSE
"GO:0001819","GO:0001819",4,"GO:0010628",0.745,64,64,"positive regulation of cytokine production","positive regulation of gene expression",TRUE,FALSE,TRUE
"GO:0002710","GO:0002710",5,"GO:0006955",0.251,2,2,"negative regulation of T cell mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0002708","GO:0002708",5,"GO:0006955",0.165,0,0,"positive regulation of lymphocyte mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0022407","GO:0022407",1,"GO:0007165",0.391,13,13,"regulation of cell-cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0002456","GO:0002456",5,"GO:0006955",0.51,12,12,"T cell mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0002820","GO:0002820",5,"GO:0006955",0.418,3,3,"negative regulation of adaptive immune response","immune response",TRUE,FALSE,FALSE
"GO:0071310","GO:0071310",7,"GO:0006954",0.165,13,13,"cellular response to organic substance","inflammatory response",TRUE,FALSE,TRUE
"GO:0006968","GO:0006968",7,"GO:0006954",0.639,53,53,"cellular defense response","inflammatory response",TRUE,FALSE,FALSE
"GO:0051240","GO:0051240",6,"GO:0050790",0.24,0,0,"positive regulation of multicellular organismal process","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0002827","GO:0002827",5,"GO:0006955",0.338,16,16,"positive regulation of T-helper 1 type immune response","immune response",TRUE,FALSE,FALSE
"GO:0070661","GO:0070661",1,"GO:0007165",0.229,1,1,"leukocyte proliferation","signal transduction",TRUE,FALSE,FALSE
"GO:0048585","GO:0048585",3,"GO:0045087",0.19,0,0,"negative regulation of response to stimulus","innate immune response",TRUE,FALSE,FALSE
"GO:0002520","GO:0002520",2,"GO:0030154",0.22,4,4,"immune system development","cell differentiation",TRUE,FALSE,FALSE
"GO:0060326","GO:0060326",8,"GO:0030335",0.359,74,74,"cell chemotaxis","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0007166","GO:0007166",1,"GO:0007165",0.915,288,288,"cell surface receptor signaling pathway","signal transduction",TRUE,FALSE,TRUE
"GO:0032649","GO:0032649",4,"GO:0010628",0.523,5,5,"regulation of interferon-gamma production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0032609","GO:0032609",4,"GO:0010628",0.357,0,0,"interferon-gamma production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:1903037","GO:1903037",1,"GO:0007165",0.34,3,3,"regulation of leukocyte cell-cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0051239","GO:0051239",6,"GO:0050790",0.307,0,0,"regulation of multicellular organismal process","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0016477","GO:0016477",8,"GO:0030335",0.538,266,266,"cell migration","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0002757","GO:0002757",1,"GO:0007165",0.62,1,1,"immune response-activating signal transduction","signal transduction",TRUE,FALSE,FALSE
"GO:0002429","GO:0002429",1,"GO:0007165",0.577,4,4,"immune response-activating cell surface receptor signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0060627","GO:0060627",9,"GO:0016192",0.633,9,9,"regulation of vesicle-mediated transport","vesicle-mediated transport",TRUE,FALSE,FALSE
"GO:0071675","GO:0071675",8,"GO:0030335",0.573,0,0,"regulation of mononuclear cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0042088","GO:0042088",5,"GO:0006955",0.639,10,10,"T-helper 1 type immune response","immune response",TRUE,FALSE,FALSE
"GO:0030098","GO:0030098",2,"GO:0030154",0.442,4,4,"lymphocyte differentiation","cell differentiation",TRUE,FALSE,FALSE
"GO:0002286","GO:0002286",10,"GO:0042110",0.642,24,24,"T cell activation involved in immune response","T cell activation",TRUE,FALSE,TRUE
"GO:0070887","GO:0070887",7,"GO:0006954",0.218,0,0,"cellular response to chemical stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0002822","GO:0002822",5,"GO:0006955",0.465,0,0,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","immune response",TRUE,FALSE,FALSE
"GO:0002696","GO:0002696",10,"GO:0042110",0.344,0,0,"positive regulation of leukocyte activation","T cell activation",TRUE,FALSE,FALSE
"GO:0002768","GO:0002768",1,"GO:0007165",0.693,7,7,"immune response-regulating cell surface receptor signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0050766","GO:0050766",9,"GO:0016192",0.478,50,50,"positive regulation of phagocytosis","vesicle-mediated transport",TRUE,FALSE,FALSE
"GO:0050867","GO:0050867",10,"GO:0042110",0.266,3,3,"positive regulation of cell activation","T cell activation",TRUE,FALSE,FALSE
"GO:0016192","GO:0016192",9,"GO:0016192",1,167,167,"vesicle-mediated transport","vesicle-mediated transport",TRUE,FALSE,FALSE
"GO:0050920","GO:0050920",3,"GO:0045087",0.169,9,9,"regulation of chemotaxis","innate immune response",TRUE,FALSE,FALSE
"GO:0050790","GO:0050790",6,"GO:0050790",1,429,429,"regulation of catalytic activity","regulation of catalytic activity",TRUE,FALSE,FALSE
"GO:1903977","GO:1903977",8,"GO:0030335",0.775,1,1,"positive regulation of glial cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0030335","GO:0030335",8,"GO:0030335",1,270,270,"positive regulation of cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0001818","GO:0001818",4,"GO:0010628",0.46,33,33,"negative regulation of cytokine production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0006935","GO:0006935",7,"GO:0006954",0.203,117,117,"chemotaxis","inflammatory response",TRUE,FALSE,TRUE
"GO:0002819","GO:0002819",5,"GO:0006955",0.521,10,10,"regulation of adaptive immune response","immune response",TRUE,FALSE,FALSE
"GO:0042330","GO:0042330",7,"GO:0006954",0.254,0,0,"taxis","inflammatory response",TRUE,FALSE,TRUE
"GO:0001913","GO:0001913",5,"GO:0006955",0.412,8,8,"T cell mediated cytotoxicity","immune response",TRUE,FALSE,FALSE
"GO:1905523","GO:1905523",8,"GO:0030335",0.709,2,2,"positive regulation of macrophage migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0002825","GO:0002825",5,"GO:0006955",0.426,0,0,"regulation of T-helper 1 type immune response","immune response",TRUE,FALSE,FALSE
"GO:0010033","GO:0010033",7,"GO:0006954",0.267,25,25,"response to organic substance","inflammatory response",TRUE,FALSE,TRUE
"GO:1902105","GO:1902105",2,"GO:0030154",0.356,0,0,"regulation of leukocyte differentiation","cell differentiation",TRUE,FALSE,FALSE
"GO:0031348","GO:0031348",3,"GO:0045087",0.291,0,0,"negative regulation of defense response","innate immune response",TRUE,FALSE,FALSE
"GO:0031349","GO:0031349",3,"GO:0045087",0.291,0,0,"positive regulation of defense response","innate immune response",TRUE,FALSE,FALSE
"GO:0050921","GO:0050921",3,"GO:0045087",0.145,19,19,"positive regulation of chemotaxis","innate immune response",TRUE,FALSE,FALSE
"GO:2000147","GO:2000147",8,"GO:0030335",0.871,24,24,"positive regulation of cell motility","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0002444","GO:0002444",5,"GO:0006955",0.313,0,0,"myeloid leukocyte mediated immunity","immune response",TRUE,FALSE,TRUE
"GO:0008347","GO:0008347",8,"GO:0030335",0.368,8,8,"glial cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0048870","GO:0048870",8,"GO:0030335",0.499,39,39,"cell motility","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0080134","GO:0080134",3,"GO:0045087",0.264,0,0,"regulation of response to stress","innate immune response",TRUE,FALSE,FALSE
"GO:1905517","GO:1905517",8,"GO:0030335",0.342,4,4,"macrophage migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0032943","GO:0032943",1,"GO:0007165",0.195,1,1,"mononuclear cell proliferation","signal transduction",TRUE,FALSE,FALSE
"GO:0002687","GO:0002687",8,"GO:0030335",0.798,13,13,"positive regulation of leukocyte migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0040017","GO:0040017",6,"GO:0050790",0.24,2,2,"positive regulation of locomotion","regulation of catalytic activity",TRUE,FALSE,FALSE
"GO:0050727","GO:0050727",3,"GO:0045087",0.298,91,91,"regulation of inflammatory response","innate immune response",TRUE,FALSE,FALSE
"GO:0045954","GO:0045954",3,"GO:0045087",0.361,29,29,"positive regulation of natural killer cell mediated cytotoxicity","innate immune response",TRUE,FALSE,FALSE
"GO:0007265","GO:0007265",1,"GO:0007165",0.795,77,77,"Ras protein signal transduction","signal transduction",TRUE,FALSE,FALSE
"GO:0009617","GO:0009617",7,"GO:0006954",0.173,99,99,"response to bacterium","inflammatory response",TRUE,FALSE,FALSE
"GO:0050794","GO:0050794",10,"GO:0042110",0.248,2,2,"regulation of cellular process","T cell activation",TRUE,TRUE,FALSE
"GO:0019886","GO:0019886",11,"GO:0019886",1,39,39,"antigen processing and presentation of exogenous peptide antigen via MHC class II","antigen processing and presentation of exogenous peptide antigen via MHC class II",TRUE,FALSE,FALSE
"GO:0002758","GO:0002758",3,"GO:0045087",0.482,1,1,"innate immune response-activating signal transduction","innate immune response",TRUE,FALSE,FALSE
"GO:0036006","GO:0036006",7,"GO:0006954",0.112,5,5,"cellular response to macrophage colony-stimulating factor stimulus","inflammatory response",TRUE,FALSE,FALSE
"GO:0036005","GO:0036005",7,"GO:0006954",0.173,0,0,"response to macrophage colony-stimulating factor","inflammatory response",TRUE,FALSE,FALSE
"GO:0032729","GO:0032729",4,"GO:0010628",0.663,86,86,"positive regulation of interferon-gamma production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0016064","GO:0016064",5,"GO:0006955",0.498,15,15,"immunoglobulin mediated immune response","immune response",TRUE,FALSE,FALSE
"GO:0002685","GO:0002685",8,"GO:0030335",0.64,4,4,"regulation of leukocyte migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0019724","GO:0019724",5,"GO:0006955",0.51,4,4,"B cell mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0019221","GO:0019221",1,"GO:0007165",0.686,160,160,"cytokine-mediated signaling pathway","signal transduction",TRUE,FALSE,TRUE
"GO:0002495","GO:0002495",11,"GO:0019886",0.729,3,3,"antigen processing and presentation of peptide antigen via MHC class II","antigen processing and presentation of exogenous peptide antigen via MHC class II",TRUE,FALSE,FALSE
"GO:0002717","GO:0002717",3,"GO:0045087",0.441,2,2,"positive regulation of natural killer cell mediated immunity","innate immune response",TRUE,FALSE,FALSE
"GO:0071621","GO:0071621",8,"GO:0030335",0.274,4,4,"granulocyte chemotaxis","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0002688","GO:0002688",8,"GO:0030335",0.465,0,0,"regulation of leukocyte chemotaxis","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0097529","GO:0097529",8,"GO:0030335",0.383,0,0,"myeloid leukocyte migration","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0002431","GO:0002431",1,"GO:0007165",0.594,4,4,"Fc receptor mediated stimulatory signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0038094","GO:0038094",1,"GO:0007165",0.677,1,1,"Fc-gamma receptor signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0030154","GO:0030154",2,"GO:0030154",1,618,618,"cell differentiation","cell differentiation",TRUE,FALSE,FALSE
"GO:0046578","GO:0046578",1,"GO:0007165",0.625,8,8,"regulation of Ras protein signal transduction","signal transduction",TRUE,FALSE,FALSE
"GO:0002504","GO:0002504",11,"GO:0019886",0.528,1,1,"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","antigen processing and presentation of exogenous peptide antigen via MHC class II",TRUE,FALSE,FALSE
"GO:0002709","GO:0002709",5,"GO:0006955",0.325,0,0,"regulation of T cell mediated immunity","immune response",TRUE,FALSE,FALSE
"GO:0048869","GO:0048869",2,"GO:0030154",0.831,0,0,"cellular developmental process","cell differentiation",TRUE,FALSE,FALSE
"GO:0002478","GO:0002478",11,"GO:0019886",0.729,0,0,"antigen processing and presentation of exogenous peptide antigen","antigen processing and presentation of exogenous peptide antigen via MHC class II",TRUE,FALSE,FALSE
"GO:0045785","GO:0045785",1,"GO:0007165",0.376,52,52,"positive regulation of cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0019835","GO:0019835",1,"GO:0007165",0.28,20,20,"cytolysis","signal transduction",TRUE,TRUE,FALSE
"GO:0010628","GO:0010628",4,"GO:0010628",1,532,532,"positive regulation of gene expression","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:2000556","GO:2000556",5,"GO:0006955",0.17,6,6,"positive regulation of T-helper 1 cell cytokine production","immune response",TRUE,FALSE,FALSE
"GO:2000554","GO:2000554",5,"GO:0006955",0.223,0,0,"regulation of T-helper 1 cell cytokine production","immune response",TRUE,FALSE,FALSE
"GO:0035744","GO:0035744",5,"GO:0006955",0.374,0,0,"T-helper 1 cell cytokine production","immune response",TRUE,FALSE,FALSE
"GO:1903975","GO:1903975",8,"GO:0030335",0.595,0,0,"regulation of glial cell migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0022409","GO:0022409",1,"GO:0007165",0.314,16,16,"positive regulation of cell-cell adhesion","signal transduction",TRUE,FALSE,FALSE
"GO:0071661","GO:0071661",4,"GO:0010628",0.434,0,0,"regulation of granzyme B production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0071613","GO:0071613",4,"GO:0010628",0.357,0,0,"granzyme B production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0071663","GO:0071663",4,"GO:0010628",0.574,3,3,"positive regulation of granzyme B production","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0051250","GO:0051250",10,"GO:0042110",0.406,3,3,"negative regulation of lymphocyte activation","T cell activation",TRUE,FALSE,TRUE
"GO:0045730","GO:0045730",6,"GO:0050790",0.176,15,15,"respiratory burst","regulation of catalytic activity",TRUE,FALSE,FALSE
"GO:0040011","GO:0040011",6,"GO:0050790",0.246,6,6,"locomotion","regulation of catalytic activity",TRUE,FALSE,TRUE
"GO:0097530","GO:0097530",8,"GO:0030335",0.342,2,2,"granulocyte migration","positive regulation of cell migration",TRUE,FALSE,TRUE
"GO:0050870","GO:0050870",10,"GO:0042110",0.371,39,39,"positive regulation of T cell activation","T cell activation",TRUE,FALSE,FALSE
"GO:1905521","GO:1905521",8,"GO:0030335",0.556,2,2,"regulation of macrophage migration","positive regulation of cell migration",TRUE,FALSE,FALSE
"GO:0002237","GO:0002237",7,"GO:0006954",0.133,8,8,"response to molecule of bacterial origin","inflammatory response",TRUE,FALSE,FALSE
"GO:0042267","GO:0042267",3,"GO:0045087",0.672,24,24,"natural killer cell mediated cytotoxicity","innate immune response",TRUE,FALSE,FALSE
"GO:0034097","GO:0034097",7,"GO:0006954",0.21,52,52,"response to cytokine","inflammatory response",TRUE,FALSE,TRUE
"GO:0019884","GO:0019884",11,"GO:0019886",0.528,2,2,"antigen processing and presentation of exogenous antigen","antigen processing and presentation of exogenous peptide antigen via MHC class II",TRUE,FALSE,FALSE
"GO:0046651","GO:0046651",10,"GO:0042110",0.572,6,6,"lymphocyte proliferation","T cell activation",TRUE,FALSE,FALSE
"GO:1903706","GO:1903706",2,"GO:0030154",0.13,3,3,"regulation of hemopoiesis","cell differentiation",TRUE,FALSE,FALSE
"GO:0002228","GO:0002228",3,"GO:0045087",0.807,2,2,"natural killer cell mediated immunity","innate immune response",TRUE,FALSE,FALSE
"GO:0043031","GO:0043031",10,"GO:0042110",0.274,12,12,"negative regulation of macrophage activation","T cell activation",TRUE,FALSE,FALSE
"GO:0002701","GO:0002701",4,"GO:0010628",0.423,0,0,"negative regulation of production of molecular mediator of immune response","positive regulation of gene expression",TRUE,FALSE,FALSE
"GO:0071345","GO:0071345",7,"GO:0006954",0.132,34,34,"cellular response to cytokine stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0044093","GO:0044093",6,"GO:0050790",0.605,0,0,"positive regulation of molecular function","regulation of catalytic activity",TRUE,FALSE,FALSE
"GO:0032814","GO:0032814",10,"GO:0042110",0.434,2,2,"regulation of natural killer cell activation","T cell activation",TRUE,FALSE,FALSE
