"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"40","hsa04012","ErbB signaling pathway","10/41","987/20464",1.86038081772485e-05,0.000120459657947684,4.94469638395288e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib",10
"41","hsa04613","Neutrophil extracellular trap formation","11/41","1237/20464",2.21098918462212e-05,0.000139669804589544,5.73324538246044e-05,"entinostat/az-628/vemurafenib/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/pentoxifylline/as-605240",11
"42","hsa04218","Cellular senescence","11/41","1248/20464",2.40073168105921e-05,0.000144657478666901,5.9379822578163e-05,"az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/spironolactone/pentoxifylline/as-605240",11
"43","hsa04625","C-type lectin receptor signaling pathway","10/41","1019/20464",2.44916582702294e-05,0.000144657478666901,5.9379822578163e-05,"thioridazine/bi-2536/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/pentoxifylline/as-605240",10
"44","hsa04928","Parathyroid hormone synthesis, secretion and action","9/41","806/20464",2.45750156808635e-05,0.000144657478666901,5.9379822578163e-05,"papaverine/az-628/vemurafenib/ly-294002/vandetanib/obatoclax/lapatinib/pentoxifylline/erlotinib",9
"45","hsa04022","cGMP-PKG signaling pathway","12/41","1509/20464",2.61002615273358e-05,0.00015022150523511,6.16637757721852e-05,"thioridazine/papaverine/az-628/vemurafenib/pi-103/ly-294002/nifedipine/spironolactone/pentoxifylline/as-605240/gabapentin/icosapent",12
"46","hsa05221","Acute myeloid leukemia","9/41","827/20464",3.00866630715421e-05,0.000169400994250639,6.9536681240864e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/pentoxifylline/as-605240/icosapent",9
"47","hsa04666","Fc gamma R-mediated phagocytosis","8/41","643/20464",3.47311913897106e-05,0.000191391033402873,7.85632772757172e-05,"ski-ii/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/as-605240",8
"48","hsa05167","Kaposi sarcoma-associated herpesvirus infection","12/41","1557/20464",3.56080723243336e-05,0.000192135223583383,7.88687566832828e-05,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/pentoxifylline/as-605240",12
"49","hsa05164","Influenza A","11/41","1317/20464",3.9473193138646e-05,0.0002086440208757,8.56453814608645e-05,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/pentoxifylline/as-605240/pamidronate",11
"50","hsa04914","Progesterone-mediated oocyte maturation","10/41","1085/20464",4.18688690402585e-05,0.000216880741628539,8.90264373277075e-05,"bi-2536/az-628/vemurafenib/pi-103/dasatinib/ly-294002/spironolactone/vandetanib/as-605240/erlotinib",10
"51","hsa05168","Herpes simplex virus 1 infection","10/41","1122/20464",5.56134846278879e-05,0.000282429265071039,0.000115933167129343,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/pentoxifylline/as-605240",10
"52","hsa04071","Sphingolipid signaling pathway","11/41","1401/20464",6.93984251372336e-05,0.000345657540587375,0.000141887468397988,"ski-ii/fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/obatoclax/pentoxifylline/as-605240/gabapentin",11
"53","hsa05100","Bacterial invasion of epithelial cells","5/41","218/20464",7.18572317299632e-05,0.000351151377699254,0.000144142609825745,"pi-103/dasatinib/ly-294002/sgx-523/as-605240",5
"54","hsa04722","Neurotrophin signaling pathway","10/41","1164/20464",7.57430738732738e-05,0.00036328622468848,0.000149123790666679,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/as-605240",10
"55","hsa04919","Thyroid hormone signaling pathway","10/41","1175/20464",8.19438719189352e-05,0.000385881142309168,0.000158398680647128,"entinostat/az-628/vemurafenib/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/as-605240",10
"56","hsa04929","GnRH secretion","8/41","729/20464",8.4066432836028e-05,0.000388807251866629,0.000159599806699978,"az-628/vemurafenib/pi-103/ly-294002/nifedipine/spironolactone/as-605240/gabapentin",8
"57","hsa04810","Regulation of actin cytoskeleton","10/41","1187/20464",8.91983786652038e-05,0.000405304913583996,0.000166371860483575,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",10
"58","hsa04662","B cell receptor signaling pathway","8/41","752/20464",0.000104345127278505,0.000465954964916081,0.000191267837661143,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/as-605240",8
"59","hsa04540","Gap junction","9/41","994/20464",0.000124642099953488,0.00054715769301616,0.000224600394206999,"ly-456236/thioridazine/az-628/vemurafenib/dasatinib/ly-294002/vandetanib/lapatinib/erlotinib",9
"60","hsa05202","Transcriptional misregulation in cancer","9/41","1001/20464",0.00013146206672272,0.000565497502588931,0.000232128623293973,"entinostat/fludarabine/vorinostat/dasatinib/panobinostat/obatoclax/sgx-523/pentoxifylline/icosapent",9
"61","hsa04930","Type II diabetes mellitus","8/41","779/20464",0.000133186670493918,0.000565497502588931,0.000232128623293973,"pi-103/ly-294002/nifedipine/ku-0063794/spironolactone/pentoxifylline/as-605240/gabapentin",8
"62","hsa05205","Proteoglycans in cancer","12/41","1790/20464",0.000137991545653646,0.000574288634677127,0.000235737257071286,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/sgx-523/lapatinib/pentoxifylline/as-605240/erlotinib",12
"63","hsa04926","Relaxin signaling pathway","10/41","1253/20464",0.000139691830056599,0.000574288634677127,0.000235737257071286,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/lapatinib/as-605240/erlotinib",10
"64","hsa05161","Hepatitis B","11/41","1566/20464",0.000187769902190551,0.000759881322927385,0.000311920396731014,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/obatoclax/pentoxifylline/as-605240",11
"65","hsa04727","GABAergic synapse","7/41","612/20464",0.000191913453119186,0.000764701297813371,0.000313898927369033,"tiagabine/nnc-05-2090/dasatinib/ly-294002/nifedipine/spironolactone/gabapentin",7
"66","hsa04510","Focal adhesion","11/41","1575/20464",0.000197488965674214,0.000774994577418506,0.000318124171181748,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/erlotinib",11
"67","hsa05208","Chemical carcinogenesis - reactive oxygen species","12/41","1937/20464",0.000290347527610482,0.00112238820374798,0.000460724277905086,"az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/as-605240/erlotinib/ebpc",12
"68","hsa04726","Serotonergic synapse","10/41","1377/20464",0.000301336362110464,0.00112910791915673,0.000463482624811336,"thioridazine/az-628/vemurafenib/suprofen/ly-294002/nifedipine/spironolactone/as-605240/gabapentin/tetrindole",10
"69","hsa04664","Fc epsilon RI signaling pathway","8/41","879/20464",0.000303613407068591,0.00112910791915673,0.000463482624811336,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/pentoxifylline/as-605240",8
"70","hsa05162","Measles","9/41","1120/20464",0.000305164302474791,0.00112910791915673,0.000463482624811336,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/obatoclax/pentoxifylline/as-605240",9
"71","hsa05020","Prion disease","10/41","1382/20464",0.000310255156374901,0.00113177585212816,0.000464577773074351,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/pentoxifylline/as-605240/gabapentin",10
"72","hsa04370","VEGF signaling pathway","8/41","885/20464",0.000317858639004239,0.00114340815975136,0.00046935266870509,"ski-ii/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/as-605240",8
"73","hsa04912","GnRH signaling pathway","9/41","1132/20464",0.000330189729717107,0.00117149506844837,0.000480881942342146,"az-628/vemurafenib/dasatinib/ly-294002/nifedipine/spironolactone/vandetanib/lapatinib/erlotinib",9
"74","hsa04066","HIF-1 signaling pathway","10/41","1400/20464",0.000344228920664133,0.00120480122232446,0.000494553641352453,"pi-103/ly-294002/nifedipine/ku-0063794/vandetanib/obatoclax/lapatinib/pentoxifylline/as-605240/erlotinib",10
"75","hsa04211","Longevity regulating pathway","7/41","694/20464",0.00041183007903097,0.00141566665356209,0.000581110879942171,"fludarabine/piceatannol/pi-103/ly-294002/ku-0063794/as-605240/icosapent",7
"76","hsa05211","Renal cell carcinoma","7/41","695/20464",0.000415407975562621,0.00141566665356209,0.000581110879942171,"az-628/vemurafenib/pi-103/ly-294002/vandetanib/sgx-523/as-605240",7
"77","hsa05203","Viral carcinogenesis","9/41","1175/20464",0.000434344070458499,0.00146097550972404,0.000599709516285829,"entinostat/fludarabine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/as-605240",9
"78","hsa04650","Natural killer cell mediated cytotoxicity","7/41","707/20464",0.00046032581813977,0.00152851778074616,0.000627434650905759,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/pentoxifylline/as-605240",7
"79","hsa04360","Axon guidance","8/41","939/20464",0.000472540140001786,0.00154921387671472,0.000635930101801204,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/as-605240",8
"80","hsa04136","Autophagy - other","3/41","77/20464",0.000492616629495559,0.00157632169111088,0.00064705747125462,"pi-103/ly-294002/ku-0063794",3
"81","hsa04934","Cushing syndrome","8/41","945/20464",0.000492980914980624,0.00157632169111088,0.00064705747125462,"az-628/vemurafenib/ly-294002/nifedipine/spironolactone/vandetanib/lapatinib/erlotinib",8
"82","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/41","1208/20464",0.000531614885938609,0.00167912506656219,0.000689256784079583,"fludarabine/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/pentoxifylline/as-605240",9
"83","hsa04110","Cell cycle","7/41","730/20464",0.00055729190717173,0.0017299501337841,0.000710119746036148,"entinostat/bi-2536/vorinostat/pi-103/dasatinib/ly-294002/panobinostat",7
"84","hsa04935","Growth hormone synthesis, secretion and action","9/41","1217/20464",0.000561064908254303,0.0017299501337841,0.000710119746036148,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/spironolactone/as-605240",9
"85","hsa04064","NF-kappa B signaling pathway","7/41","747/20464",0.000638959351720083,0.00194694673053531,0.00079919374023193,"rucaparib/thioridazine/dasatinib/ly-294002/vandetanib/obatoclax/pentoxifylline",7
"86","hsa05012","Parkinson disease","9/41","1257/20464",0.000708775912103489,0.00213456931668376,0.000876210123897826,"fludarabine/thioridazine/piceatannol/ly-294002/nifedipine/obatoclax/pentoxifylline/as-605240/tetrindole",9
"87","hsa05132","Salmonella infection","10/41","1549/20464",0.000765683243548369,0.00227944781700032,0.000935680672696736,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/obatoclax/pentoxifylline/as-605240",10
"88","hsa04720","Long-term potentiation","7/41","777/20464",0.000806203746850803,0.00237280420948134,0.000974002134353243,"ly-456236/az-628/vemurafenib/ly-294002/nifedipine/spironolactone/gabapentin",7
"89","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","4/41","228/20464",0.00110001262452006,0.00320116033427747,0.00131403045625696,"nifedipine/spironolactone/gabapentin/icosapent",4
"90","hsa05171","Coronavirus disease - COVID-19","9/41","1356/20464",0.00121612137039612,0.0034997270548066,0.00143658781766091,"piceatannol/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",9
"91","hsa04150","mTOR signaling pathway","7/41","841/20464",0.00127929738456135,0.00364107717144384,0.00149461001550834,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/pentoxifylline/as-605240",7
"92","hsa04730","Long-term depression","6/41","616/20464",0.00133109947767258,0.00374733439909997,0.00153822708518227,"ly-456236/az-628/vemurafenib/dasatinib/ly-294002/spironolactone",6
"93","hsa04660","T cell receptor signaling pathway","8/41","1113/20464",0.00143259082442286,0.00395474087289038,0.00162336447129416,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/pentoxifylline/as-605240",8
"94","hsa05410","Hypertrophic cardiomyopathy","5/41","419/20464",0.00143531135927296,0.00395474087289038,0.00162336447129416,"nifedipine/spironolactone/pentoxifylline/gabapentin/icosapent",5
"95","hsa05219","Bladder cancer","6/41","656/20464",0.00183305508949863,0.00498365336025725,0.00204571830679123,"az-628/vemurafenib/dasatinib/vandetanib/lapatinib/erlotinib",6
"96","hsa04550","Signaling pathways regulating pluripotency of stem cells","6/41","657/20464",0.00184722286712238,0.00498365336025725,0.00204571830679123,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/as-605240",6
"97","hsa05340","Primary immunodeficiency","4/41","264/20464",0.00188425086923939,0.00503114407353611,0.00206521256422332,"fludarabine/dasatinib/ly-294002/vandetanib",4
"98","hsa05017","Spinocerebellar ataxia","7/41","906/20464",0.00196069235336331,0.00517478068142428,0.00212417333397217,"ly-456236/pi-103/ly-294002/ku-0063794/spironolactone/as-605240/gabapentin",7
"99","hsa04210","Apoptosis","9/41","1454/20464",0.00197800497089191,0.00517478068142428,0.00212417333397217,"fludarabine/rucaparib/az-628/vemurafenib/pi-103/ly-294002/obatoclax/pentoxifylline/as-605240",9
"100","hsa04723","Retrograde endocannabinoid signaling","7/41","914/20464",0.00206107248210366,0.00533817772864848,0.00219124548097337,"ly-456236/dasatinib/ly-294002/rimonabant/nifedipine/spironolactone/gabapentin",7
"101","hsa04140","Autophagy - animal","7/41","926/20464",0.00221911494312146,0.00569060168582633,0.00233591046644365,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/obatoclax/as-605240",7
"102","hsa05216","Thyroid cancer","5/41","475/20464",0.0024828726926794,0.00630454928827415,0.0025879271616163,"fludarabine/az-628/vemurafenib/vandetanib/icosapent",5
"103","hsa04916","Melanogenesis","6/41","710/20464",0.00272562981088444,0.00685376816523368,0.00281337364230279,"az-628/vemurafenib/piceatannol/dasatinib/ly-294002/nifedipine",6
"104","hsa04620","Toll-like receptor signaling pathway","7/41","981/20464",0.00306796351290666,0.00764040913310409,0.0031362784899147,"piceatannol/pi-103/dasatinib/ly-294002/vandetanib/pentoxifylline/as-605240",7
"105","hsa04330","Notch signaling pathway","3/41","146/20464",0.00310965529076413,0.00767048305055151,0.00314862340217721,"entinostat/vorinostat/panobinostat",3
"106","hsa04070","Phosphatidylinositol signaling system","4/41","306/20464",0.00321175736072546,0.00784759581535749,0.00322132565474947,"pi-103/ly-294002/nifedipine/as-605240",4
"107","hsa04973","Carbohydrate digestion and absorption","5/41","506/20464",0.00325906119036931,0.0078887555916416,0.00323822115324447,"pi-103/ly-294002/nifedipine/spironolactone/as-605240",5
"108","hsa04714","Thermogenesis","7/41","1003/20464",0.00347021655418392,0.00832209340308921,0.00341610011669177,"piceatannol/pi-103/dasatinib/ly-294002/rimonabant/ku-0063794/icosapent",7
"109","hsa05414","Dilated cardiomyopathy","5/41","520/20464",0.00366175938564417,0.00870087780625541,0.00357158568759113,"nifedipine/spironolactone/pentoxifylline/gabapentin/icosapent",5
"110","hsa04152","AMPK signaling pathway","7/41","1016/20464",0.00372628962504104,0.00870648853633932,0.00357388881190925,"thioridazine/piceatannol/pi-103/ly-294002/ku-0063794/as-605240/icosapent",7
"111","hsa05133","Pertussis","6/41","757/20464",0.00374068099393968,0.00870648853633932,0.00357388881190925,"piceatannol/dasatinib/ly-294002/nifedipine/vandetanib/pentoxifylline",6
"112","hsa01524","Platinum drug resistance","6/41","758/20464",0.0037649680157143,0.00870648853633932,0.00357388881190925,"fludarabine/pi-103/ly-294002/obatoclax/lapatinib/as-605240",6
"113","hsa04728","Dopaminergic synapse","8/41","1323/20464",0.00420693800474902,0.00964245082504422,0.00395808792249326,"thioridazine/dasatinib/ly-294002/nifedipine/spironolactone/as-605240/gabapentin/tetrindole",8
"114","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","6/41","788/20464",0.00454997852073113,0.0103372319023628,0.00424328560105119,"dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/erlotinib",6
"115","hsa04721","Synaptic vesicle cycle","4/41","357/20464",0.00554555237396506,0.0124895483900604,0.0051267806843979,"tiagabine/nnc-05-2090/spironolactone/gabapentin",4
"116","hsa05032","Morphine addiction","6/41","825/20464",0.00567857637968332,0.0126788903649826,0.00520450285252282,"thioridazine/papaverine/ly-294002/spironolactone/pentoxifylline/gabapentin",6
"117","hsa00982","Drug metabolism - cytochrome P450","6/41","853/20464",0.00666083119252075,0.0147449169133579,0.00605257715199816,"vemurafenib/suprofen/nifedipine/lapatinib/as-605240/tetrindole",6
