"";"name";"moa";"targets";"status";"GBM_CT";"NCS";"WTCS_Pval";"Tau"
"47";"obatoclax";"BCL inhibitor";"BCL2";"Phase 3";"FALSE";"-1.14352663413845";"8.91911043547236e-05";"-81.64637989443"
"48";"L-693403";"sigma receptor agonist, sigma receptor antagonist";"DRD2, SIGMAR1";"Preclinical";"FALSE";"-1.13663413829752";"0.000103269329413886";"-81.1825415583392"
"50";"SGX-523";NA;NA;NA;"FALSE";"-1.13455060518252";"0.00011184246801251";"-84.9779405971795"
"51";"ambenonium";"cholinesterase inhibitor";"ACHE";"Launched";"FALSE";"-1.13229734224169";"0.00011184246801251";"-81.9329551721421"
"52";"lapatinib";"EGFR inhibitor";"EGFR, ERBB2";"Launched";"TRUE";"-1.12859077728555";"0.000121808197652535";"-82.9797920113448"
"53";"maltobionic-acid";"matrix metalloprotease inhibitor";"";"Launched";"FALSE";"-1.1280788657615";"0.000131708649587495";"-82.4539116048216"
"54";"pentoxifylline";"phosphodiesterase inhibitor";"ADORA1, ADORA2A, ADORA2B, ADRA2B, NT5E, PDE10A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, TNF";"Launched";"TRUE";"-1.12565017614765";"0.000131708649587495";"-80.8053651619003"
"57";"BRD-K37846922";NA;NA;NA;"FALSE";"-1.11721197369424";"0.000167807220488809";"-80.2469865280076"
"58";"siramesine";"sigma receptor antagonist";"ADRA1A, ADRA1B, ADRA1D";"Phase 2";"FALSE";"-1.11351856611824";"0.000182864611123956";"-82.4352005042149"
"63";"icosapent";"platelet aggregation inhibitor";"ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, PTGS1, PTGS2, SLC8A1, TRPV1";"Launched";"FALSE";"-1.1005944364704";"0.000240221954641656";"-80.2391081698574"
"64";"DPCPX";"adenosine receptor antagonist";"ADORA1, ADORA2A, ADORA2B, ADORA3";"Phase 1";"FALSE";"-1.09938217825453";"0.000262590448244158";"-82.4480028362089"
"65";"BRD-K58930050";NA;NA;NA;"FALSE";"-1.09921874062477";"0.000262590448244158";"-83.1383439691168"
"66";"pamidronate";"bone resorption inhibitor";"FDPS";"Launched";"FALSE";"-1.08902443137352";"0.000316770943448662";"-81.303671314898"
"69";"erlotinib";"EGFR inhibitor";"EGFR, NR1I2";"Launched";"TRUE";"-1.07858310326407";"0.000416711109904199";"-82.6922319388639"
"71";"tetrindole";"monoamine oxidase inhibitor";"MAOA";"Phase 3";"FALSE";"-1.07558030895354";"0.000457096250104825";"-80.206609942488"
