LV	Sample	Value	X	V1	V3	disease
48,IRIS_Neutrophil-Resting	SRR6078274	-0.010715223670156565	1	1592985	C1650	control
LV 49	SRR6078274	-0.014999943229767559	1	1592985	C1650	control
50,IRIS_Bcell-Memory_IgM	SRR6078274	0.0084426260870452	1	1592985	C1650	control
51,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	SRR6078274	-0.011625640594939701	1	1592985	C1650	control
52,REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	SRR6078274	-0.029480118214037745	1	1592985	C1650	control
53,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	SRR6078274	0.005367764134676087	1	1592985	C1650	control
54,REACTOME_TRANSCRIPTION	SRR6078274	-0.044652877105297875	1	1592985	C1650	control
55,KEGG_INSULIN_SIGNALING_PATHWAY	SRR6078274	-0.03294424020053511	1	1592985	C1650	control
56,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	SRR6078274	-0.010116156485103455	1	1592985	C1650	control
57,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	SRR6078274	-0.018161115975687626	1	1592985	C1650	control
58,SVM Dendritic cells resting	SRR6078274	0.00688179218624465	1	1592985	C1650	control
59,REACTOME_HIV_INFECTION	SRR6078274	-0.044640989650560875	1	1592985	C1650	control
60,IRIS_NKcell-control	SRR6078274	-1.1743605900981554e-5	1	1592985	C1650	control
61,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	SRR6078274	-0.01695255378039392	1	1592985	C1650	control
62,IRIS_DendriticCell-Control	SRR6078274	-0.02817617926289047	1	1592985	C1650	control
63,DMAP_ERY4	SRR6078274	0.019208423197241826	1	1592985	C1650	control
64,DMAP_DENDA2	SRR6078274	0.0029498121052620946	1	1592985	C1650	control
65,SVM NK cells resting	SRR6078274	0.0038770570313252286	1	1592985	C1650	control
66,IRIS_Neutrophil-Resting	SRR6078274	-0.010079093284926012	1	1592985	C1650	control
67,REACTOME_COLLAGEN_FORMATION	SRR6078274	-0.0207637774245561	1	1592985	C1650	control
68,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	SRR6078274	-0.03476817895995331	1	1592985	C1650	control
69,PID_EPHBFWDPATHWAY	SRR6078274	-0.02710171517341088	1	1592985	C1650	control
70,KEGG_OXIDATIVE_PHOSPHORYLATION	SRR6078274	-0.017097454455077973	1	1592985	C1650	control
71,SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	SRR6078274	-0.03247459258094776	1	1592985	C1650	control
72,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.011599554216802064	1	1592985	C1650	control
LV 73	SRR6078274	-0.027616282172866772	1	1592985	C1650	control
74,KEGG_NOTCH_SIGNALING_PATHWAY	SRR6078274	-0.019521404103287454	1	1592985	C1650	control
75,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	3.3510862163741264e-4	1	1592985	C1650	control
76,KEGG_CELL_CYCLE	SRR6078274	-0.026990538103710448	1	1592985	C1650	control
77,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	SRR6078274	0.01615223619620576	1	1592985	C1650	control
78,IRIS_Neutrophil-Resting	SRR6078274	-0.019911693367695202	1	1592985	C1650	control
79,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	SRR6078274	-0.0064724492334549575	1	1592985	C1650	control
80,KEGG_ENDOCYTOSIS	SRR6078274	-0.03303411704116273	1	1592985	C1650	control
LV 81	SRR6078274	-0.02526273492736628	1	1592985	C1650	control
82,REACTOME_METABOLISM_OF_RNA	SRR6078274	-0.014598644515121563	1	1592985	C1650	control
83,SVM Monocytes	SRR6078274	-0.0026784589812523184	1	1592985	C1650	control
84,REACTOME_RNA_POL_III_TRANSCRIPTION	SRR6078274	-0.03177610441411486	1	1592985	C1650	control
85,REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	SRR6078274	0.007409500357648988	1	1592985	C1650	control
86,REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	SRR6078274	-0.030478000476167014	1	1592985	C1650	control
87,REACTOME_CELL_CYCLE_MITOTIC	SRR6078274	-0.038770290926271996	1	1592985	C1650	control
88,REACTOME_MUSCLE_CONTRACTION	SRR6078274	-0.021327645159612843	1	1592985	C1650	control
89,REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	SRR6078274	-0.008408263925552387	1	1592985	C1650	control
90,REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	SRR6078274	-0.03184925933543358	1	1592985	C1650	control
91,KEGG_PYRUVATE_METABOLISM	SRR6078274	-0.011609299836260769	1	1592985	C1650	control
92,REACTOME_METABOLISM_OF_PROTEINS	SRR6078274	-0.03764493384024561	1	1592985	C1650	control
93,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	SRR6078274	-0.0368608641331084	1	1592985	C1650	control
LV 94	SRR6078274	-0.024803576475800032	1	1592985	C1650	control
95,PID_DELTANP63PATHWAY	SRR6078274	-0.006405006350026837	1	1592985	C1650	control
96,REACTOME_SIGNALLING_BY_NGF	SRR6078274	-0.01695660780773774	1	1592985	C1650	control
97,PID_DELTANP63PATHWAY	SRR6078274	-0.011185604343031967	1	1592985	C1650	control
98,REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	SRR6078274	0.0040309696614251045	1	1592985	C1650	control
99,DMAP_ERY3	SRR6078274	-0.017891474274412896	1	1592985	C1650	control
LV 100	SRR6078274	-0.028712459930073552	1	1592985	C1650	control
101,IRIS_Neutrophil-Resting	SRR6078274	0.0030598406292405875	1	1592985	C1650	control
102,REACTOME_METABOLISM_OF_CARBOHYDRATES	SRR6078274	-0.026017827089293788	1	1592985	C1650	control
103,REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	SRR6078274	-0.015889675408019673	1	1592985	C1650	control
104,SVM Mast cells resting	SRR6078274	-0.012505032719279071	1	1592985	C1650	control
105,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	SRR6078274	-0.01570567303700547	1	1592985	C1650	control
106,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	SRR6078274	-0.008422518511310349	1	1592985	C1650	control
107,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	SRR6078274	-0.024295875814281106	1	1592985	C1650	control
108,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	SRR6078274	0.009336582416115012	1	1592985	C1650	control
109,PID_ERBB1_DOWNSTREAM_PATHWAY	SRR6078274	-0.025795862044635014	1	1592985	C1650	control
110,REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	SRR6078274	-0.019715482233049274	1	1592985	C1650	control
111,PID_AURORA_A_PATHWAY	SRR6078274	-0.01646625309299379	1	1592985	C1650	control
LV 112	SRR6078274	-0.026421325623698057	1	1592985	C1650	control
113,REACTOME_METABOLISM_OF_RNA	SRR6078274	-0.0025195264940511106	1	1592985	C1650	control
114,REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	SRR6078274	-0.01865929062709612	1	1592985	C1650	control
LV 115	SRR6078274	-0.02633751326766292	1	1592985	C1650	control
116,KEGG_HEDGEHOG_SIGNALING_PATHWAY	SRR6078274	-0.019823820205150677	1	1592985	C1650	control
117,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	SRR6078274	-0.041738558013358885	1	1592985	C1650	control
118,KEGG_CELL_CYCLE	SRR6078274	-0.01237319895101589	1	1592985	C1650	control
LV 119	SRR6078274	-0.013825839618786593	1	1592985	C1650	control
120,KEGG_PARKINSONS_DISEASE	SRR6078274	-0.02269979741848911	1	1592985	C1650	control
LV 121	SRR6078274	-0.012585106137274675	1	1592985	C1650	control
122,REACTOME_DEVELOPMENTAL_BIOLOGY	SRR6078274	-0.01921993619415193	1	1592985	C1650	control
LV 123	SRR6078274	-0.019116502100312044	1	1592985	C1650	control
124,REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	SRR6078274	-0.03312218857661041	1	1592985	C1650	control
125,REACTOME_PHOSPHOLIPID_METABOLISM	SRR6078274	-0.03356100284312485	1	1592985	C1650	control
LV 126	SRR6078274	0.023264977988143424	1	1592985	C1650	control
127,REACTOME_NEURONAL_SYSTEM	SRR6078274	-0.020829833762576674	1	1592985	C1650	control
128,KEGG_PURINE_METABOLISM	SRR6078274	-0.029011128189332974	1	1592985	C1650	control
LV 129	SRR6078274	-0.022034704524077325	1	1592985	C1650	control
LV 130	SRR6078274	-0.022801645441003413	1	1592985	C1650	control
131,REACTOME_OPIOID_SIGNALLING	SRR6078274	-0.03139298997023651	1	1592985	C1650	control
132,REACTOME_SIGNALING_BY_SCF_KIT	SRR6078274	-0.02821926365871368	1	1592985	C1650	control
133,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.01741063402139088	1	1592985	C1650	control
134,REACTOME_DIABETES_PATHWAYS	SRR6078274	-0.028791529703396327	1	1592985	C1650	control
LV 135	SRR6078274	-0.03172652128103401	1	1592985	C1650	control
136,REACTOME_RNA_POL_I_PROMOTER_OPENING	SRR6078274	-0.007445058685986717	1	1592985	C1650	control
LV 137	SRR6078274	-0.018208071815819963	1	1592985	C1650	control
LV 138	SRR6078274	-0.030017459898042758	1	1592985	C1650	control
139,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SRR6078274	-0.00810968162659645	1	1592985	C1650	control
140,REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	SRR6078274	-0.027077495096465315	1	1592985	C1650	control
141,DMAP_ERY5	SRR6078274	-0.015148596020554574	1	1592985	C1650	control
LV 142	SRR6078274	-0.01477601210650369	1	1592985	C1650	control
LV 143	SRR6078274	-0.0034520554201430266	1	1592985	C1650	control
144,REACTOME_SIGNALING_BY_RHO_GTPASES	SRR6078274	-0.029842059524610255	1	1592985	C1650	control
145,REACTOME_SIGNALING_BY_ILS	SRR6078274	-0.024398800444742477	1	1592985	C1650	control
146,KEGG_HEDGEHOG_SIGNALING_PATHWAY	SRR6078274	-0.008929192684313803	1	1592985	C1650	control
147,PID_AURORA_B_PATHWAY	SRR6078274	0.013117101059736996	1	1592985	C1650	control
148,REACTOME_IMMUNE_SYSTEM	SRR6078274	-0.016921376927769117	1	1592985	C1650	control
LV 149	SRR6078274	-0.0237696051833545	1	1592985	C1650	control
150,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	SRR6078274	-0.022197755048622377	1	1592985	C1650	control
151,IRIS_Monocyte-Day1	SRR6078274	-0.006866078901608423	1	1592985	C1650	control
152,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	SRR6078274	-0.008048094806209547	1	1592985	C1650	control
LV 153	SRR6078274	-0.03237055972333574	1	1592985	C1650	control
LV 154	SRR6078274	-0.03068482156538362	1	1592985	C1650	control
155,KEGG_OOCYTE_MEIOSIS	SRR6078274	-0.01946640117250263	1	1592985	C1650	control
156,DMAP_MONO2	SRR6078274	0.012360373225731625	1	1592985	C1650	control
157,PID_HES_HEYPATHWAY	SRR6078274	-0.023931697071201456	1	1592985	C1650	control
LV 158	SRR6078274	-0.012717645423028367	1	1592985	C1650	control
LV 159	SRR6078274	-0.0026662644779776178	1	1592985	C1650	control
LV 160	SRR6078274	-0.005849301235430485	1	1592985	C1650	control
161,PID_ARF6_TRAFFICKINGPATHWAY	SRR6078274	-0.026795858247508526	1	1592985	C1650	control
162,KEGG_GLYCOLYSIS_GLUCONEOGENESIS	SRR6078274	-0.010700129055560243	1	1592985	C1650	control
163,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	SRR6078274	-0.015414373213131686	1	1592985	C1650	control
LV 164	SRR6078274	-0.01940253273709449	1	1592985	C1650	control
165,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	SRR6078274	-0.007491994125142925	1	1592985	C1650	control
LV 166	SRR6078274	-0.03224779367783287	1	1592985	C1650	control
LV 167	SRR6078274	-0.01596693365102065	1	1592985	C1650	control
168,REACTOME_MITOTIC_G1_G1_S_PHASES	SRR6078274	-0.028313987631382702	1	1592985	C1650	control
169,IRIS_Monocyte-Day7	SRR6078274	-0.022481557671992215	1	1592985	C1650	control
170,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	SRR6078274	-0.01692654283298359	1	1592985	C1650	control
171,REACTOME_CELL_CYCLE	SRR6078274	-0.06556664314430109	1	1592985	C1650	control
LV 172	SRR6078274	-0.025166344353094828	1	1592985	C1650	control
LV 173	SRR6078274	-0.015992992668919563	1	1592985	C1650	control
174,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.03755282574443382	1	1592985	C1650	control
175,SVM NK cells activated	SRR6078274	-0.00673611758594103	1	1592985	C1650	control
176,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	SRR6078274	-0.055683384603784865	1	1592985	C1650	control
177,PID_CDC42_PATHWAY	SRR6078274	-0.026527872905109676	1	1592985	C1650	control
LV 178	SRR6078274	-0.014662023504619188	1	1592985	C1650	control
LV 179	SRR6078274	-0.02647876265240809	1	1592985	C1650	control
LV 180	SRR6078274	-0.024613786982503612	1	1592985	C1650	control
LV 181	SRR6078274	-0.023309924706888925	1	1592985	C1650	control
LV 182	SRR6078274	-0.01173309748759002	1	1592985	C1650	control
183,IRIS_DendriticCell-LPSstimulated	SRR6078274	-0.016735215807388952	1	1592985	C1650	control
LV 184	SRR6078274	-0.0228180660152593	1	1592985	C1650	control
185,PID_DELTANP63PATHWAY	SRR6078274	-0.01944719548420094	1	1592985	C1650	control
186,SVM T cells CD4 memory activated	SRR6078274	0.029804723648929336	1	1592985	C1650	control
187,KEGG_OOCYTE_MEIOSIS	SRR6078274	-0.008957138565196832	1	1592985	C1650	control
188,KEGG_PATHWAYS_IN_CANCER	SRR6078274	-0.0030286188661567417	1	1592985	C1650	control
189,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.025107078177121836	1	1592985	C1650	control
190,MIPS_SPLICEOSOME	SRR6078274	-0.01764733702654973	1	1592985	C1650	control
191,KEGG_LYSOSOME	SRR6078274	-0.04738530327020454	1	1592985	C1650	control
LV 192	SRR6078274	-0.016913769955166743	1	1592985	C1650	control
193,DMAP_ERY3	SRR6078274	-0.0114238348546127	1	1592985	C1650	control
194,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	SRR6078274	-0.02836407736099822	1	1592985	C1650	control
195,DMAP_MONO2	SRR6078274	-0.017007912750127002	1	1592985	C1650	control
196,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.007608414269784361	1	1592985	C1650	control
197,REACTOME_METABOLISM_OF_MRNA	SRR6078274	-0.016308880439739295	1	1592985	C1650	control
LV 198	SRR6078274	-0.015299829229515269	1	1592985	C1650	control
199,KEGG_AUTOIMMUNE_THYROID_DISEASE	SRR6078274	0.001770482588851393	1	1592985	C1650	control
LV 200	SRR6078274	-0.022776120550475072	1	1592985	C1650	control
LV 201	SRR6078274	-0.027033719009846763	1	1592985	C1650	control
LV 202	SRR6078274	-0.015726009118621896	1	1592985	C1650	control
203,REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	SRR6078274	-0.014052035811469021	1	1592985	C1650	control
LV 204	SRR6078274	-0.027860752409992025	1	1592985	C1650	control
205,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.020639374000352186	1	1592985	C1650	control
LV 206	SRR6078274	-0.023937179650461993	1	1592985	C1650	control
207,REACTOME_METABOLISM_OF_RNA	SRR6078274	-0.018966834129116355	1	1592985	C1650	control
208,REACTOME_HIV_INFECTION	SRR6078274	-0.023560312810667346	1	1592985	C1650	control
LV 209	SRR6078274	-0.0142161372496905	1	1592985	C1650	control
210,PID_NOTCH_PATHWAY	SRR6078274	-0.011073498833581557	1	1592985	C1650	control
LV 211	SRR6078274	-0.015587304668662644	1	1592985	C1650	control
LV 212	SRR6078274	-0.019815353144517257	1	1592985	C1650	control
213,REACTOME_TELOMERE_MAINTENANCE	SRR6078274	-0.020004722540061495	1	1592985	C1650	control
LV 214	SRR6078274	-0.021160472742365443	1	1592985	C1650	control
LV 215	SRR6078274	-0.024329185507671627	1	1592985	C1650	control
216,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	SRR6078274	-0.031010481783666933	1	1592985	C1650	control
LV 217	SRR6078274	-0.027231687082807793	1	1592985	C1650	control
LV 218	SRR6078274	-0.016704972325084836	1	1592985	C1650	control
219,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SRR6078274	-0.018373445990769233	1	1592985	C1650	control
220,REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	SRR6078274	-0.020062355398670836	1	1592985	C1650	control
221,DMAP_ERY4	SRR6078274	-0.016875453460996108	1	1592985	C1650	control
222,REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	SRR6078274	-0.024444127408556362	1	1592985	C1650	control
LV 223	SRR6078274	-0.017733436134357	1	1592985	C1650	control
224,DMAP_HSC1	SRR6078274	-0.014551072682885472	1	1592985	C1650	control
LV 225	SRR6078274	-0.02402632995158409	1	1592985	C1650	control
LV 226	SRR6078274	-0.02858981953728929	1	1592985	C1650	control
LV 227	SRR6078274	-0.0049553555042929345	1	1592985	C1650	control
228,SVM NK cells activated	SRR6078274	0.0035499209614698185	1	1592985	C1650	control
229,MIPS_NOP56P_ASSOCIATED_PRE_RRNA_COMPLEX	SRR6078274	-0.0196352839017484	1	1592985	C1650	control
230,REACTOME_CELL_CYCLE	SRR6078274	-0.012806092509235777	1	1592985	C1650	control
231,PID_AURORA_B_PATHWAY	SRR6078274	-0.014189456537215766	1	1592985	C1650	control
LV 232	SRR6078274	-0.01975521004971068	1	1592985	C1650	control
233,DMAP_ERY5	SRR6078274	-0.019637876343099655	1	1592985	C1650	control
LV 234	SRR6078274	-0.025139854451702533	1	1592985	C1650	control
235,IRIS_PlasmaCell-FromBoneMarrow	SRR6078274	-0.022257837698860312	1	1592985	C1650	control
236,REACTOME_MEIOSIS	SRR6078274	-0.01835947617839013	1	1592985	C1650	control
237,SVM Macrophages M0	SRR6078274	-0.0076502852563461576	1	1592985	C1650	control
238,KEGG_ECM_RECEPTOR_INTERACTION	SRR6078274	-0.04096297511968833	1	1592985	C1650	control
LV 239	SRR6078274	-0.029084203182227274	1	1592985	C1650	control
LV 240	SRR6078274	-0.021592568753928457	1	1592985	C1650	control
241,KEGG_GLIOMA	SRR6078274	-0.028476742997582585	1	1592985	C1650	control
LV 242	SRR6078274	-0.025070857476977553	1	1592985	C1650	control
LV 243	SRR6078274	-0.02374889492810263	1	1592985	C1650	control
LV 244	SRR6078274	-0.02016524350593182	1	1592985	C1650	control
LV 245	SRR6078274	-0.023954600153878566	1	1592985	C1650	control
LV 246	SRR6078274	-0.015584431372581229	1	1592985	C1650	control
LV 247	SRR6078274	-0.02183681431977431	1	1592985	C1650	control
248,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	SRR6078274	0.002727344341503353	1	1592985	C1650	control
LV 249	SRR6078274	-0.012894500982196399	1	1592985	C1650	control
250,DMAP_HSC1	SRR6078274	-0.01479722661584913	1	1592985	C1650	control
LV 251	SRR6078274	-0.022227672720275288	1	1592985	C1650	control
LV 252	SRR6078274	-0.019908733670311835	1	1592985	C1650	control
253,KEGG_HEMATOPOIETIC_CELL_LINEAGE	SRR6078274	0.006693016991786836	1	1592985	C1650	control
LV 254	SRR6078274	-0.022675879224308096	1	1592985	C1650	control
255,KEGG_BASAL_CELL_CARCINOMA	SRR6078274	-0.029408564889846635	1	1592985	C1650	control
LV 256	SRR6078274	-0.023007861794242856	1	1592985	C1650	control
LV 257	SRR6078274	-0.010094122292679916	1	1592985	C1650	control
LV 258	SRR6078274	-0.036286310490390196	1	1592985	C1650	control
259,KEGG_PEROXISOME	SRR6078274	-0.032229480115440405	1	1592985	C1650	control
LV 260	SRR6078274	-0.017044274940803832	1	1592985	C1650	control
LV 261	SRR6078274	-0.01162413831991324	1	1592985	C1650	control
LV 262	SRR6078274	-0.028591105050194056	1	1592985	C1650	control
LV 263	SRR6078274	-0.02874662521433959	1	1592985	C1650	control
264,REACTOME_METABOLISM_OF_PROTEINS	SRR6078274	-0.022425568496557205	1	1592985	C1650	control
LV 265	SRR6078274	-0.03219518922754232	1	1592985	C1650	control
266,IRIS_Monocyte-Day1	SRR6078274	0.0023538366405966037	1	1592985	C1650	control
LV 267	SRR6078274	-0.011639623305922497	1	1592985	C1650	control
268,SVM Mast cells activated	SRR6078274	0.01039991310419853	1	1592985	C1650	control
LV 269	SRR6078274	-0.02181732250630005	1	1592985	C1650	control
270,KEGG_CELL_CYCLE	SRR6078274	-0.020449157536370065	1	1592985	C1650	control
271,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	SRR6078274	-0.012373841153300915	1	1592985	C1650	control
LV 272	SRR6078274	-0.0163045866238941	1	1592985	C1650	control
LV 273	SRR6078274	-0.006139420648653264	1	1592985	C1650	control
LV 274	SRR6078274	-0.06866920016329672	1	1592985	C1650	control
LV 275	SRR6078274	-0.016158006870066435	1	1592985	C1650	control
LV 276	SRR6078274	-0.03046137209782508	1	1592985	C1650	control
277,PID_IL4_2PATHWAY	SRR6078274	-0.005423810307606315	1	1592985	C1650	control
278,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SRR6078274	-0.005467671579085858	1	1592985	C1650	control
279,REACTOME_IMMUNE_SYSTEM	SRR6078274	-0.011422949405732604	1	1592985	C1650	control
LV 280	SRR6078274	-0.020473556134342395	1	1592985	C1650	control
