"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"11","SDZ-NKT-343","44208964","YAPC","trt_cp","down",-0.426852210529027,2.4936083335085e-05,0.000376422886711069,-1.35065317849245,0,12,99,"TACR1",-97.0032695186323,FALSE,FALSE
"12","ulipristal",NA,"YAPC","trt_cp","down",-0.426189706756196,2.49796018051287e-05,0.000376422886711069,-1.34855687254752,0,12,99,"AR; NR3C1; PGR",-96.4744347278027,TRUE,FALSE
"13","noscapine","12310313","YAPC","trt_cp","down",-0.42480448976987,2.50231202751725e-05,0.000376422886711069,-1.34417374489975,0,12,99,"BDKRB2; SIGMAR1",-96.0972583313637,FALSE,FALSE
"14","anecortave-acetate",NA,"YAPC","trt_cp","down",-0.424492473335836,2.50666387452163e-05,0.000376422886711069,-1.34318645707981,0,12,99,NA,-96.1248325848893,FALSE,FALSE
"15","almitrine",NA,"YAPC","trt_cp","down",-0.424201374654861,2.50666387452163e-05,0.000376422886711069,-1.34226535757741,0,12,99,"ATP1A1",-94.6525644055779,FALSE,FALSE
"16","ivabradine",NA,"YAPC","trt_cp","down",-0.417801923222739,2.5327749565479e-05,0.000376422886711069,-1.32201610220472,0.01701336751542,12,99,"HCN2",-96.6812416292445,TRUE,FALSE
"17","rasagiline",NA,"YAPC","trt_cp","down",-0.416116867640461,2.54147865055665e-05,0.000376422886711069,-1.31668422006378,0,12,99,"APP; BAX; BCL2; BCL2L2; BDNF; GDNF; MAOB",-94.6013550776018,TRUE,FALSE
"18","picotamide","4814","YAPC","trt_cp","down",-0.415167345957262,2.54583049756103e-05,0.000376422886711069,-1.31367972706169,0,12,99,"PPBP; TBXA2R; TBXAS1",-95.3064681320413,FALSE,FALSE
"19","camostat-mesilate",NA,"YAPC","trt_cp","down",-0.413668549005469,2.55018234456541e-05,0.000376422886711069,-1.30893720771443,0,12,99,NA,-94.780587725518,FALSE,FALSE
"20","metoprolol","5702086","YAPC","trt_cp","down",-0.41219237474319,2.55888603857416e-05,0.000376422886711069,-1.30426627147426,0,12,99,"ADRB1; ADRB2; CASR; CX3CR1; GRM7; GRPR; HTR1E; HTR1F; HTR5A; NMBR; PTGIR; SSTR3",-93.1635547151973,TRUE,FALSE
"21","gatifloxacin","5379","YAPC","trt_cp","down",-0.4083278552101,2.57629342659167e-05,0.000376422886711069,-1.29203809164536,0,12,99,"TOP2A",-93.5486094697865,TRUE,FALSE
"22","BRD-K29133151",NA,"YAPC","trt_cp","down",-0.407448522866574,2.58064527359605e-05,0.000376422886711069,-1.28925569297097,0,12,99,NA,-91.318049318522,FALSE,FALSE
"23","temsirolimus","6440033","YAPC","trt_cp","down",-0.405348310795763,2.58934896760481e-05,0.000376422886711069,-1.28261016545822,0,12,99,"IFNAR1; MTOR; PTEN",-95.4443393996691,TRUE,TRUE
"24","HC-030031",NA,"YAPC","trt_cp","down",-0.404508831436131,2.58934896760481e-05,0.000376422886711069,-1.27995387028767,0,12,99,NA,-94.3718978964784,FALSE,FALSE
"25","ixabepilone",NA,"YAPC","trt_cp","down",-0.398490655209752,2.61981189663545e-05,0.000376422886711069,-1.2609110525433,0,12,99,"TUBB3",-94.4900732687308,TRUE,TRUE
"26","lisofylline",NA,"YAPC","trt_cp","down",-0.396933461504488,2.62416374363983e-05,0.000376422886711069,-1.25598375317443,0,12,99,"AGPAT1",-92.2289844796344,FALSE,FALSE
"27","vanoxerine","10238982","YAPC","trt_cp","down",-0.396714708321661,2.62416374363983e-05,0.000376422886711069,-1.25529157055383,0,12,99,"MAOA; MAOB; SLC6A3",-93.7741274718349,FALSE,FALSE
"28","luteolin","5280445","YAPC","trt_cp","down",-0.396335375051576,2.62851559064421e-05,0.000376422886711069,-1.25409127763204,0,12,99,"CSNK2A2; TNKS2; TOP1; TTR",-91.58394390609,FALSE,FALSE
"29","MGCD-265","24901704","YAPC","trt_cp","down",-0.389974895806076,2.65462667267047e-05,0.000376422886711069,-1.23396533872915,0,12,99,NA,-88.7103127708186,FALSE,FALSE
"30","butorphanol-(+)-tartrate",NA,"YAPC","trt_cp","down",-0.387670919733298,2.66333036667923e-05,0.000376422886711069,-1.22667505762223,0,12,99,NA,-90.0722839360277,TRUE,FALSE
"31","ORG-9768",NA,"YAPC","trt_cp","down",-0.385766242721518,2.67203406068799e-05,0.000376422886711069,-1.22064824553948,0,12,99,NA,-90.9339793587016,FALSE,FALSE
"32","apixaban",NA,"YAPC","trt_cp","down",-0.385491691628637,2.67638590769236e-05,0.000376422886711069,-1.21977950620275,-0.907774358696294,12,99,"F10; F9",-91.3948633104861,TRUE,FALSE
"33","flutrimazole",NA,"YAPC","trt_cp","down",-0.384058265408428,2.68073775469674e-05,0.000376422886711069,-1.21524383405979,0,12,99,NA,-90.3027259119199,FALSE,FALSE
"34","CNQX","3721046","YAPC","trt_cp","down",-0.382670138605548,2.68508960170112e-05,0.000376422886711069,-1.21085149911993,0,12,99,"GRIA1; GRIA3; GRIA4",-85.648585834712,FALSE,FALSE
"35","riluzole","5070","YAPC","trt_cp","down",-0.380058918974864,2.69814514271425e-05,0.000376422886711069,-1.20258903261061,0,12,99,"BDNF; GDNF; KCND3; KCNK10; KCNK2; KCNK4; KCNN4; MAP2; NGF; SCN5A; SLC7A11",-90.0122114551328,TRUE,FALSE
"36","CTB",NA,"YAPC","trt_cp","down",-0.377281936690147,2.71120068372739e-05,0.000376422886711069,-1.19380205703229,0,12,99,NA,-86.7732214606476,FALSE,FALSE
"37","clofarabine","119182","YAPC","trt_cp","down",-0.3766254052059,2.71120068372739e-05,0.000376422886711069,-1.19172464870664,0,12,99,"DCK; POLA1; RRM1; RRM2; SLC22A8",-93.2502166548491,TRUE,FALSE
"38","barasertib",NA,"YAPC","trt_cp","down",-0.376347409236217,2.71555253073176e-05,0.000376422886711069,-1.19084500903089,0,12,99,"AURKB; AURKC",-89.6498069802253,FALSE,FALSE
"39","tagatose",NA,"YAPC","trt_cp","down",-0.375606215602349,2.71555253073176e-05,0.000376422886711069,-1.18849971126092,0,12,99,NA,-89.9393366422438,FALSE,FALSE
"40","nutlin-3",NA,"YAPC","trt_cp","down",-0.373885521547676,2.72425622474052e-05,0.000376422886711069,-1.18305506124662,0,12,99,NA,-85.9853856456315,FALSE,FALSE
"41","PS-178990",NA,"YAPC","trt_cp","down",-0.371245237740959,2.73731176575365e-05,0.000376422886711069,-1.17470062936669,0,12,99,NA,-87.0076026156149,FALSE,FALSE
"42","guanethidine","73707360","YAPC","trt_cp","down",-0.368811750374644,2.74601545976241e-05,0.000376422886711069,-1.1670005463753,0,12,99,"DBH; SLC6A2; TH",-87.4990152052312,FALSE,FALSE
"43","PF-573228",NA,"YAPC","trt_cp","down",-0.367268383548672,2.75471915377116e-05,0.000376422886711069,-1.16211699825803,0,12,99,NA,-90.2712124793193,FALSE,FALSE
"44","BRD-K33211335",NA,"YAPC","trt_cp","down",-0.364961019450364,2.76342284777992e-05,0.000376422886711069,-1.15481599670188,0,12,99,NA,-84.8922634522965,FALSE,FALSE
"45","KPT-330",NA,"YAPC","trt_cp","down",-0.361739636463712,2.78083023579743e-05,0.000376422886711069,-1.14462284070376,-0.0209447823130666,12,99,NA,-91.0895769321673,FALSE,FALSE
"46","oxaprozin","4614","YAPC","trt_cp","down",-0.360415159430273,2.78953392980619e-05,0.000376422886711069,-1.1404319074699,0,12,99,NA,-87.8811155755141,TRUE,FALSE
"47","doramapimod","156422","YAPC","trt_cp","down",-0.360390712619872,2.78953392980619e-05,0.000376422886711069,-1.14035455244782,0,12,99,NA,-85.5451823839912,FALSE,FALSE
"48","GSK-J2",NA,"YAPC","trt_cp","down",-0.358022768025937,2.79823762381494e-05,0.000376422886711069,-1.13286186103519,0,12,99,NA,-88.8501536279839,FALSE,FALSE
"49","norgestrel","5702096","YAPC","trt_cp","down",-0.354386426474297,2.83958017035653e-05,0.000376422886711069,-1.12135568593838,0,12,99,"AR; CYP2E1; PGR; SRD5A1",-83.8227763334121,TRUE,FALSE
"50","BAY-61-3606",NA,"YAPC","trt_cp","down",-0.35237453130224,2.8656912523828e-05,0.000376422886711069,-1.11498961229063,0,12,99,NA,-87.7402899235799,FALSE,FALSE
"51","gemcitabine","60749","YAPC","trt_cp","down",-0.35215438743547,2.8656912523828e-05,0.000376422886711069,-1.11429302924375,0,12,99,"CMPK1; DCK; DCTD; RRM1; RRM2; SLC29A1; TK2; TYMS",-89.8221460647601,TRUE,TRUE
"52","cordycepin",NA,"YAPC","trt_cp","down",-0.351700557257862,2.8656912523828e-05,0.000376422886711069,-1.11285701191325,-0.0324947040878601,12,99,NA,-83.9606476010399,FALSE,FALSE
"53","nicotinamide","936","YAPC","trt_cp","down",-0.350899907410719,2.88745048740469e-05,0.000376422886711069,-1.11032358176054,0,12,99,"AOX1; BST1; CYP2E1; LDHA; PARP1; SIRT5",-82.0393130071693,FALSE,FALSE
"54","formoterol","23581795","YAPC","trt_cp","down",-0.346541817084356,2.99407073901195e-05,0.000376422886711069,-1.0965336366548,0,12,99,"ADRB1; ADRB2; ADRB3",-80.4843220672812,TRUE,FALSE
"55","amlexanox","2161","YAPC","trt_cp","down",-0.346322455313814,3.01582997403383e-05,0.000376422886711069,-1.09583952833039,0,12,99,"FGF1; IL3; PPID; S100A12; S100A13; S100A9",-81.1854959426456,FALSE,FALSE
"56","fdcyd",NA,"YAPC","trt_cp","down",-0.342046538624993,3.18990385420895e-05,0.000379915079722957,-1.08230959847582,0,12,99,"DCK",-82.8596470495549,FALSE,FALSE
"57","tipifarnib-P2","159324","YAPC","trt_cp","down",-0.340915395125281,3.25082971227024e-05,0.000381709357426884,-1.07873041456736,0,12,99,"FNTA; FNTB",-84.1004884582053,FALSE,FALSE
"58","tacrine","1935","YAPC","trt_cp","down",-0.339628010911787,3.3356907288556e-05,0.000386665958185974,-1.07465685107862,0,12,99,"ACHE; BCHE; CES1; CHAT; CRAT; HNMT",-84.4500906011187,FALSE,FALSE
"59","ASC-J9",NA,"YAPC","trt_cp","down",-0.337613452608145,3.52499607354604e-05,0.000397272143498512,-1.06828235070366,0,12,99,NA,-83.0723627196092,FALSE,FALSE
"60","tipranavir",NA,"YAPC","trt_cp","down",-0.336777380180449,3.62291263114454e-05,0.000402016217043975,-1.06563683580631,0,12,99,NA,-80.7059008902545,TRUE,FALSE
"61","barasertib-HQPA","16007391","YAPC","trt_cp","down",-0.333198289734659,4.20388420622898e-05,0.000441218829806011,-1.05431181565302,0,12,99,NA,-84.4284251162058,FALSE,FALSE
"62","SB-239063","5166","YAPC","trt_cp","down",-0.33259526491288,4.20388420622898e-05,0.000441218829806011,-1.0524037140381,0,12,99,"MAPK11; MAPK14; TNF",-80.292287087371,FALSE,FALSE
"63","GDC-0941","17755052","YAPC","trt_cp","down",-0.330160164715967,4.80226316933093e-05,0.000484636266414769,-1.04469852770011,0,12,99,"PIK3CA; PIK3CB; PIK3CD; PIK3CG",-82.5917828724494,FALSE,FALSE
"64","ACY-1215",NA,"YAPC","trt_cp","down",-0.328431199647585,5.31360519234533e-05,0.000523341150001468,-1.03922770640058,0,12,99,NA,-83.4780981643426,FALSE,FALSE
"65","dacomitinib",NA,"YAPC","trt_cp","down",-0.328250638187048,5.31360519234533e-05,0.000523341150001468,-1.038656370691,0,12,99,"EGFR",-80.5680296226267,TRUE,TRUE
"66","amonafide","50515","YAPC","trt_cp","down",-0.30862415633625,0.000219746514486058,0.00174600470007608,-0.976553915929082,0,12,99,"TOP2A; TOP2B",-80.9964153470417,FALSE,FALSE
