"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"11","troglitazone","5591","YAPC","trt_cp","down",-0.407584746601649,2.57629342659167e-05,0.000421048791202511,-1.42273289527542,0,68,33,"ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2",-98.2450957220515,FALSE,FALSE
"12","SB-239063","5166","YAPC","trt_cp","down",-0.404422032461214,2.59370081460919e-05,0.000421048791202511,-1.41169298889162,0,68,33,"MAPK11; MAPK14; TNF",-98.9600567241787,FALSE,FALSE
"13","vanoxerine","10238982","YAPC","trt_cp","down",-0.404324361837078,2.59370081460919e-05,0.000421048791202511,-1.41135205559856,0,68,33,"MAOA; MAOB; SLC6A3",-98.2411565429765,FALSE,FALSE
"14","alprostadil","5280723","YAPC","trt_cp","down",-0.401493531806826,2.60675635562232e-05,0.000421048791202511,-1.40147063820364,0,68,33,"PTGDR2; PTGER1; PTGER2",-97.6079335066572,TRUE,FALSE
"15","tivantinib","11494412","YAPC","trt_cp","down",-0.398367492011052,2.61981189663545e-05,0.000421048791202511,-1.39055874886904,0,68,33,"MET",-96.3158827700307,FALSE,FALSE
"16","KIN001-244","49766501","YAPC","trt_cp","down",-0.397708201734904,2.61981189663545e-05,0.000421048791202511,-1.38825740179648,0,68,33,NA,-96.6191995588119,FALSE,FALSE
"17","ursodiol",NA,"YAPC","trt_cp","down",-0.392051512587678,2.64592297866172e-05,0.000421048791202511,-1.36851191869092,0,68,33,NA,-97.0554636413771,TRUE,FALSE
"18","lestaurtinib","126565","YAPC","trt_cp","down",-0.386341260888577,2.67203406068799e-05,0.000421048791202511,-1.34857946783168,0,68,33,"FLT3; JAK2; NTRK1; NTRK2; NTRK3",-96.8959268888364,FALSE,FALSE
"19","BRD-K54606188",NA,"YAPC","trt_cp","down",-0.385264554230375,2.67638590769236e-05,0.000421048791202511,-1.34482106913311,0,68,33,NA,-97.3932482470653,FALSE,FALSE
"20","umeclidinium",NA,"YAPC","trt_cp","down",-0.37936170894557,2.70249698971863e-05,0.000421048791202511,-1.32421634279721,0,68,33,"CHRM4; CHRM5",-95.0799653352241,TRUE,FALSE
"21","GW-842166",NA,"YAPC","trt_cp","down",-0.379358072010281,2.70249698971863e-05,0.000421048791202511,-1.32420364755403,0,68,33,NA,-95.1400378161191,FALSE,FALSE
"22","meglitinide",NA,"YAPC","trt_cp","down",-0.376694265313375,2.71120068372739e-05,0.000421048791202511,-1.31490524901007,0.329213506641407,68,33,NA,-94.7559678562988,FALSE,FALSE
"23","balicatib",NA,"YAPC","trt_cp","down",-0.374758201175422,2.71990437773614e-05,0.000421048791202511,-1.30814714002931,0,68,33,NA,-91.8567320570393,FALSE,FALSE
"24","bimatoprost","46780805","YAPC","trt_cp","down",-0.373135195082112,2.7286080717449e-05,0.000421048791202511,-1.30248180496111,0.797411931338594,68,33,"AKR1C3; PTGER1; PTGER3; PTGFR; PTGIR",-94.3630347435594,TRUE,FALSE
"25","XMD-892","46843772","YAPC","trt_cp","down",-0.372278420275443,2.73295991874928e-05,0.000421048791202511,-1.29949110986898,0,68,33,"DCLK2; LRRK2; MAPK7; PLK4; TNK1",-95.12329630505,FALSE,FALSE
"26","linsitinib","11640390","YAPC","trt_cp","down",-0.370662603262252,2.73731176575365e-05,0.000421048791202511,-1.2938508693139,0,68,33,"IGF1R; INSR; INSRR",-95.1420074056567,FALSE,FALSE
"27","torcitabine",NA,"YAPC","trt_cp","down",-0.368676174484664,2.74601545976241e-05,0.000421048791202511,-1.28691695534985,-0.731033362703674,68,33,NA,-87.6083274245647,FALSE,FALSE
"28","mycophenolate-mofetil","5281078","YAPC","trt_cp","down",-0.366973194252125,2.75471915377116e-05,0.000421048791202511,-1.28097245910204,0,68,33,"HCAR2; IMPDH1; IMPDH2",-96.4675411644213,TRUE,FALSE
"29","dexamethasone","5743","YAPC","trt_cp","down",-0.366825901182867,2.75471915377116e-05,0.000421048791202511,-1.28045831156186,0,68,33,"ANXA1; CYP3A4; CYP3A5; NOS2; NR0B1; NR1I2; NR3C1; NR3C2; PER2; PIN1",-94.3295517214213,TRUE,TRUE
"30","fipronil","3352","YAPC","trt_cp","down",-0.364584913243478,2.76342284777992e-05,0.000421048791202511,-1.2726358224087,0,68,33,"GABRB3",-94.1256992042858,FALSE,FALSE
"31","molsidomine","5360788","YAPC","trt_cp","down",-0.363873204834339,2.77212654178868e-05,0.000421048791202511,-1.27015150234038,0,68,33,"GUCY1A2; GUCY1A3",-94.9056566611518,FALSE,FALSE
"32","CYT-387",NA,"YAPC","trt_cp","down",-0.361324400645546,2.78518208280181e-05,0.000421048791202511,-1.2612545365112,0,68,33,NA,-92.7991806507524,FALSE,FALSE
"33","camostat-mesilate",NA,"YAPC","trt_cp","down",-0.361033125433776,2.78518208280181e-05,0.000421048791202511,-1.26023779869453,0,68,33,NA,-92.6977467895691,FALSE,FALSE
"34","felbinac","3332","YAPC","trt_cp","down",-0.35816748807685,2.79823762381494e-05,0.000421048791202511,-1.25023488134392,0.925869225042699,68,33,"CTSL",-90.049633656346,FALSE,FALSE
"35","GSK-2334470",NA,"YAPC","trt_cp","down",-0.35642923352706,2.81782093533464e-05,0.000421048791202511,-1.24416725504296,-0.0568681576308832,68,33,NA,-85.5954069171985,FALSE,FALSE
"36","lonafarnib",NA,"YAPC","trt_cp","down",-0.356201995869723,2.81782093533464e-05,0.000421048791202511,-1.24337404947569,0,68,33,"FNTA; FNTB; IGFBP3; RP11-598P20.5",-92.8060742141338,TRUE,FALSE
"37","amikacin","16218899","YAPC","trt_cp","down",-0.355768554234112,2.81782093533464e-05,0.000421048791202511,-1.24186105940845,-0.0372558317822534,68,33,NA,-93.1015126447648,TRUE,FALSE
"38","ketorolac","3826","YAPC","trt_cp","down",-0.35420959821072,2.83958017035653e-05,0.000421048791202511,-1.23641930027674,0,68,33,"LTF; TF",-91.8370361616639,TRUE,TRUE
"39","telbivudine",NA,"YAPC","trt_cp","down",-0.354050939169561,2.83958017035653e-05,0.000421048791202511,-1.23586547818484,-0.0234154755314434,68,33,"DCK",-92.6327503348302,FALSE,FALSE
"40","clindamycin","6419884","YAPC","trt_cp","down",-0.352664819226153,2.85481163487185e-05,0.000421048791202511,-1.23102702812819,0,68,33,NA,-88.4877491530765,TRUE,FALSE
"41","PJ-34","4858","YAPC","trt_cp","down",-0.352487526944773,2.8656912523828e-05,0.000421048791202511,-1.23040816404434,-0.801815516688127,68,33,"EEF2; PARP1; PARP15; PARP3",-90.4671866383046,FALSE,FALSE
"42","itopride","129791","YAPC","trt_cp","down",-0.352189894907481,2.8656912523828e-05,0.000421048791202511,-1.22936923681834,0,68,33,"ACHE",-90.1057669581659,FALSE,FALSE
"43","PS-178990",NA,"YAPC","trt_cp","down",-0.351668281086323,2.8656912523828e-05,0.000421048791202511,-1.22754846911745,0,68,33,NA,-90.4858977389112,FALSE,FALSE
"44","clioquinol","2788","YAPC","trt_cp","down",-0.351534442805433,2.8656912523828e-05,0.000421048791202511,-1.22708128744184,0,68,33,"HIF1AN; OPRK1",-90.2889387851572,FALSE,FALSE
"45","saracatinib","10302451","YAPC","trt_cp","down",-0.349730968080194,2.9048578754222e-05,0.000421048791202511,-1.22078600078357,0,68,33,"ABL1; ABL2; LCK; SRC; YES1",-91.853777672733,FALSE,TRUE
"46","GSK-1070916","46885626","YAPC","trt_cp","down",-0.348547102042009,2.9440244984616e-05,0.000421048791202511,-1.21665354693153,0,68,33,"AURKA; AURKB; AURKC; CYP2D6; CYP3A4",-87.4330339557236,FALSE,FALSE
"47","darunavir",NA,"YAPC","trt_cp","down",-0.348181516891138,2.97013558048787e-05,0.000421048791202511,-1.21537741963652,0.475419619095229,68,33,NA,-90.2446230205625,TRUE,FALSE
"48","orantinib","5329099","YAPC","trt_cp","down",-0.347979376991377,2.97013558048787e-05,0.000421048791202511,-1.21467182138429,0,68,33,"AURKA; AURKB; EGFR; FGFR2; IKBKE; KDR; PDGFRA; PDGFRB; TBK1",-90.2229575356496,FALSE,FALSE
"49","formoterol","23581795","YAPC","trt_cp","down",-0.347791789273317,2.97013558048787e-05,0.000421048791202511,-1.21401701960513,0,68,33,"ADRB1; ADRB2; ADRB3",-90.8808004411881,TRUE,FALSE
"50","defactinib",NA,"YAPC","trt_cp","down",-0.347677803032464,2.97013558048787e-05,0.000421048791202511,-1.21361913431668,0,68,33,NA,-94.7165760655479,FALSE,TRUE
"51","CC-401",NA,"YAPC","trt_cp","down",-0.347246725115751,2.99407073901195e-05,0.000421048791202511,-1.21211439514857,0,68,33,"MAPK8",-89.7216969983455,FALSE,FALSE
"52","rigosertib",NA,"YAPC","trt_cp","down",-0.347111340485841,2.99407073901195e-05,0.000421048791202511,-1.21164181572038,0,68,33,"PLK1",-89.5276924288978,FALSE,FALSE
"53","trehalose","7427","YAPC","trt_cp","down",-0.346709461234228,2.99407073901195e-05,0.000421048791202511,-1.21023899867199,0,68,33,"HMOX1; LTF; MAPK8IP1; MAPK8IP2; RBCK1; RHO; SET; TF; TREH; UBB",-93.0296226266446,FALSE,FALSE
"54","SB-939",NA,"YAPC","trt_cp","down",-0.344843711184039,3.03976513255791e-05,0.000421048791202511,-1.20372633107857,-0.972309820800618,68,33,NA,-90.9448121011581,FALSE,FALSE
"55","pelitinib","6445562","YAPC","trt_cp","down",-0.344323150128248,3.07457990859294e-05,0.000421048791202511,-1.20190923820586,0,68,33,"EGF; EGFR",-92.6357047191365,FALSE,FALSE
"56","mocetinostat","9865515","YAPC","trt_cp","down",-0.343902794146893,3.07457990859294e-05,0.000421048791202511,-1.20044192548774,-0.803089886639476,68,33,"HDAC1; HDAC11; HDAC2; HDAC3",-89.7906326321595,FALSE,FALSE
"57","inositol",NA,"YAPC","trt_cp","down",-0.343867905639382,3.07457990859294e-05,0.000421048791202511,-1.20032014215871,0,68,33,NA,-83.2023556290869,FALSE,FALSE
"58","haloperidol","3559","YAPC","trt_cp","down",-0.343837145688217,3.07457990859294e-05,0.000421048791202511,-1.20021277014653,0,68,33,"ADCY10; AKR1C1; APITD1-CORT; CYP3A7; DCXR; DRD1; DRD3; DRD4; FOS; GAD1; GRIN1; GRIN2B; HRH1; HTR1D; HTR2B; HTR7; KCNH1; MCHR1; PENK; SLC18A2; TH",-91.2087370991885,TRUE,FALSE
"59","CGS-21680","68337842","YAPC","trt_cp","down",-0.34375174935429,3.07457990859294e-05,0.000421048791202511,-1.19991468202025,0,68,33,"ADORA1; ADORA2A; ADORA2B; ADORA3",-88.3331363743796,FALSE,FALSE
"60","clofoctol",NA,"YAPC","trt_cp","down",-0.342952069018009,3.13550576665423e-05,0.000421048791202511,-1.19712328334889,-0.77991933733666,68,33,NA,-87.9618687465532,FALSE,FALSE
"61","ampalex",NA,"YAPC","trt_cp","down",-0.341604852787216,3.18990385420895e-05,0.000421048791202511,-1.19242063226938,0,68,33,NA,-84.6401559914914,FALSE,FALSE
"62","dapagliflozin",NA,"YAPC","trt_cp","down",-0.341028953275041,3.25082971227024e-05,0.000421048791202511,-1.19041037259411,0,68,33,"SLC5A1; SLC5A11; SLC5A2; SLC5A4",-89.4006539037265,TRUE,FALSE
"63","roflumilast",NA,"YAPC","trt_cp","down",-0.340017105291342,3.3356907288556e-05,0.000424620006732999,-1.18687837238206,0,68,33,"PDE4A; PDE4B; PDE4C; PDE4D",-89.3405814228315,TRUE,FALSE
"64","amlexanox","2161","YAPC","trt_cp","down",-0.339557344956594,3.3356907288556e-05,0.000424620006732999,-1.18527351312851,0,68,33,"FGF1; IL3; PPID; S100A12; S100A13; S100A9",-88.9693137950051,FALSE,FALSE
"65","quinine","3034034","YAPC","trt_cp","down",-0.339257422787648,3.43795913345848e-05,0.000430408238500688,-1.1842265918702,-0.249083406887331,68,33,"ABCB1; CYP2D6; GP9; KCNB2; KCNN4; SLC29A4",-86.6008823761128,TRUE,FALSE
"66","enprofylline",NA,"YAPC","trt_cp","down",-0.337811064650988,3.52499607354604e-05,0.000433239168835826,-1.17917787177816,0,68,33,"ADORA1; ADORA2A; ADORA2B; ADORA3; PDE4A; PDE4B",-86.330063814701,FALSE,FALSE
"67","nicotinamide","936","YAPC","trt_cp","down",-0.337402764502249,3.62291263114454e-05,0.000437437622136672,-1.17775264166933,0,68,33,"AOX1; BST1; CYP2E1; LDHA; PARP1; SIRT5",-87.5640116599701,FALSE,FALSE
"68","olanzapine","4585","YAPC","trt_cp","down",-0.335745354238652,3.7882828173109e-05,0.000449232033634261,-1.17196721392051,0,68,33,"ADRA1A; ADRA1B; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; CYP2C8; DRD1; DRD3; DRD4; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; HRH1; HRH2; HRH4; HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR3A; HTR5A; HTR6; HTR7",-80.4006145119357,TRUE,FALSE
"69","fomepizole","11957593","YAPC","trt_cp","down",-0.335264544477158,3.9057826864291e-05,0.000454305609519767,-1.17028887863012,-0.926315218538285,68,33,"ADH1A; ADH1B; ADH1C; CAT",-88.7851571732451,TRUE,FALSE
"70","zonisamide","2143","YAPC","trt_cp","down",-0.334545038785057,3.9057826864291e-05,0.000454305609519767,-1.16777734102959,0,68,33,"CA1; CA10; CA11; CA12; CA13; CA14; CA3; CA4; CA5A; CA5B; CA6; CA7; CA8; CA9; CACNA1G; CACNA1H; CACNA1I; MAOA; MAOB; SCN11A; SCN1A; SCN1B; SCN2A; SCN2B; SCN3A; SCN3B; SCN4A; SCN4B; SCN5A; SCN9A",-86.4236193177342,TRUE,FALSE
"71","linifanib","11485656","YAPC","trt_cp","down",-0.333282666669408,4.20388420622898e-05,0.000471950489593494,-1.16337085047766,0,68,33,"AURKC; CDK13; CDK19; CDK8; CSF1; CSF1R; DDR1; EPHB6; FLT1; FLT3; FLT4; HIPK4; KDR; KIT; MUSK; PDGFRA; PDGFRB; RET; TEK",-91.8754431576459,FALSE,FALSE
"72","ticagrelor",NA,"YAPC","trt_cp","down",-0.332890294839454,4.20388420622898e-05,0.000471950489593494,-1.16200122044535,0.642303669730276,68,33,"P2RY1; P2RY12",-85.6298747341054,TRUE,FALSE
"73","BMY-14802","108046","YAPC","trt_cp","down",-0.332828353001412,4.20388420622898e-05,0.000471950489593494,-1.16178500359399,0,68,33,"SIGMAR1",-85.0478610257622,FALSE,FALSE
"74","halcinonide","73707616","YAPC","trt_cp","down",-0.331718225330195,4.37795808640409e-05,0.000481902846532051,-1.15790994406596,0,68,33,"NR3C1; SMO",-85.1719451666273,TRUE,FALSE
"75","amonafide","50515","YAPC","trt_cp","down",-0.331221392983902,4.57814304860547e-05,0.000495875154909434,-1.15617567965003,0,68,33,"TOP2A; TOP2B",-92.4929094776649,FALSE,FALSE
"76","lupanine","91471","YAPC","trt_cp","down",-0.329321571042373,5.02638329005639e-05,0.000526727621058293,-1.1495440792432,0,68,33,"INS",-81.573505081541,FALSE,FALSE
"77","etofenamate","35375","YAPC","trt_cp","down",-0.327976590708694,5.31360519234533e-05,0.000547781447361943,-1.14484923288259,0,68,33,NA,-86.7121641849838,FALSE,FALSE
"78","telotristat",NA,"YAPC","trt_cp","down",-0.325634531177888,5.94027116097573e-05,0.00059015643750134,-1.1366739388733,0.808958249109865,68,33,NA,-86.5979279918065,TRUE,TRUE
"79","erythromycin-ethylsuccinate","443953","YAPC","trt_cp","down",-0.325029308516398,6.28841892132596e-05,0.000613932517014829,-1.13456132254836,0,68,33,NA,-84.8203734341763,TRUE,FALSE
"80","GSK-J2",NA,"YAPC","trt_cp","down",-0.324080598901763,6.71054808075061e-05,0.000645402438256999,-1.13124971585047,0,68,33,NA,-88.8501536279839,FALSE,FALSE
"81","aripiprazole","60795","YAPC","trt_cp","down",-0.323701581712345,6.71054808075061e-05,0.000645402438256999,-1.12992670210239,0.947529490934636,68,33,"ADRA1A; ADRA1B; ADRA2B; ADRA2C; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1; HTR1B; HTR1D; HTR1E; HTR3A; HTR6; HTR7",-82.7798786732845,TRUE,FALSE
"82","asymmetrical-dimethylarginine",NA,"YAPC","trt_cp","down",-0.323295840387881,7.19577902173874e-05,0.000681040343912236,-1.12851040393593,-1.09668026281222,68,33,NA,-82.6538249428819,FALSE,FALSE
"83","entinostat","4261","YAPC","trt_cp","down",-0.322909393938094,7.19577902173874e-05,0.000681040343912236,-1.12716145729119,-0.842796340386705,68,33,"HDAC1; HDAC2; HDAC3; HDAC9",-84.560387615221,FALSE,TRUE
"84","BAY-61-3606",NA,"YAPC","trt_cp","down",-0.322750112598674,7.19577902173874e-05,0.000681040343912236,-1.12660546297815,0,68,33,NA,-88.3843457023556,FALSE,FALSE
"85","indinavir","5462355","YAPC","trt_cp","down",-0.322400383363329,7.74193582078816e-05,0.000723226431449965,-1.12538468302572,0,68,33,"CYP3A5",-80.999369731348,FALSE,FALSE
"86","digitoxin","441207","YAPC","trt_cp","down",-0.321795577998552,7.74193582078816e-05,0.000723226431449965,-1.12327352333468,0,68,33,"ATP1A1",-87.8476325533759,FALSE,FALSE
"87","dilazep","3074","YAPC","trt_cp","down",-0.319960883412474,8.91911043547236e-05,0.000807419229793711,-1.11686925928369,0,68,33,"CACNA1C; SLC29A1",-87.6408256519341,FALSE,FALSE
"88","idebenone","3686","YAPC","trt_cp","down",-0.319748230995337,8.91911043547236e-05,0.000807419229793711,-1.11612696558491,0.854902156659074,68,33,"NGF",-82.0511305443945,FALSE,FALSE
"89","istaroxime",NA,"YAPC","trt_cp","down",-0.31953834832293,8.91911043547236e-05,0.000807419229793711,-1.11539434007654,-0.475237873738255,68,33,"ATP1A1; ATP2A2",-89.7817694792405,FALSE,FALSE
"90","sasapyrine",NA,"YAPC","trt_cp","down",-0.317312865028554,0.00011184246801251,0.000964659098943543,-1.10762597210597,0,68,33,NA,-83.5086268021744,FALSE,FALSE
"91","lacidipine","5311217","YAPC","trt_cp","down",-0.316009955699667,0.000121808197652535,0.00103479391135523,-1.10307798060917,0,68,33,"CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4",-87.234105412432,FALSE,FALSE
"92","PI-103","9884685","YAPC","trt_cp","down",-0.315948451941863,0.000121808197652535,0.00103479391135523,-1.10286329293957,0,68,33,"MLST8; MTOR; PIK3C2B; PIK3C2G; PIK3C3; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PRKDC",-80.5690144173954,FALSE,FALSE
"93","stavudine","18283","YAPC","trt_cp","down",-0.314995501446913,0.000131708649587495,0.00110184734830389,-1.09953688284195,0.749869068469374,68,33,NA,-81.3450326951863,FALSE,FALSE
"94","BI-2536","11364421","YAPC","trt_cp","down",-0.314517061643235,0.000131708649587495,0.00110184734830389,-1.09786682022852,-0.745532037988719,68,33,"BRD4; PLK1; PLK2; PLK3",-85.8347120460096,FALSE,FALSE
"95","actarit","2018","YAPC","trt_cp","down",-0.313170188317694,0.000155447974996376,0.0012602642054317,-1.09316536610887,0,68,33,NA,-83.6169542267392,FALSE,FALSE
"96","vardenafil","23581791","YAPC","trt_cp","down",-0.312755312729496,0.000155447974996376,0.0012602642054317,-1.09171718348747,0,68,33,"CYP2C8; CYP3A5; PDE5A; PDE6G; PDE6H",-80.000787835815,TRUE,FALSE
"97","carfilzomib",NA,"YAPC","trt_cp","down",-0.311946342832422,0.000167807220488809,0.00133971353072691,-1.08889335827455,0,68,33,"PSMB1; PSMB10; PSMB2; PSMB5; PSMB8; PSMB9",-85.6505554242496,TRUE,FALSE
"98","cytarabine","596","YAPC","trt_cp","down",-0.306923336283219,0.000262590448244158,0.0019463127355113,-1.07135983497585,0,68,33,"AICDA; BCR; CDA; DCK; NT5C; NT5C1A; NT5C1B-RDH14; NT5C2; NT5C3A; NT5C3B; NT5E; NT5M; POLA1; POLB; SLC28A1; SLC28A3; SLC29A1; SLC29A2; SLC29A3; ST6GAL1; UCK1; UCK2; UCKL1",-81.877806665091,TRUE,FALSE
"99","IB-MECA","3668","YAPC","trt_cp","down",-0.304858216681389,0.000316770943448662,0.00227967318791998,-1.06415123942683,0.0365189332616,68,33,"ADORA1; ADORA2A; ADORA2B; ADORA3",-82.3239186953439,FALSE,FALSE
"100","resminostat",NA,"YAPC","trt_cp","down",-0.281326598576281,0.00266420073608011,0.0143275923919351,-0.982010758370219,-0.826065650885995,68,33,NA,-80.5670448278579,FALSE,FALSE
