"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"35","balsalazide","6335412","YAPC","trt_cp","down",-0.3375717794375,3.52499607354604e-05,0.000928514140835692,-1.17297661200152,0,14,126,"ALOX5; PPARG",-85.8435751989285,TRUE,FALSE
"36","PCA-4248","4698","YAPC","trt_cp","down",-0.337172375832221,3.62291263114454e-05,0.000935380219214191,-1.17158878542277,0,14,126,"PTAFR",-89.1426376743087,FALSE,FALSE
"37","salvinorin-a","128563","YAPC","trt_cp","down",-0.336863424813647,3.62291263114454e-05,0.000935380219214191,-1.17051525872085,0,14,126,"OPRD1; OPRK1; OPRM1",-89.3021744268494,FALSE,FALSE
"38","oxybenzone","4632","YAPC","trt_cp","down",-0.336621503448103,3.62291263114454e-05,0.000935380219214191,-1.1696746431214,0,14,126,"AR; ESR2; LIPE; PGR",-84.766209721894,FALSE,FALSE
"39","loratadine","3957","YAPC","trt_cp","down",-0.334550088213805,3.9057826864291e-05,0.000962409116988004,-1.16247699873412,0,14,126,"CYP3A5; HRH1; ICAM1; KCNA5; KCNH2",-84.6214448908847,TRUE,FALSE
"40","pemirolast",NA,"YAPC","trt_cp","down",-0.331449627478776,4.57814304860547e-05,0.00104023933257461,-1.15170368132388,-0.0185880065522653,14,126,NA,-86.9061687544316,FALSE,FALSE
"41","ACY-1215",NA,"YAPC","trt_cp","down",-0.331320511411649,4.57814304860547e-05,0.00104023933257461,-1.15125503562481,0,14,126,NA,-90.5420310407311,FALSE,FALSE
"42","atorvastatin","2250","YAPC","trt_cp","down",-0.330780017346399,4.57814304860547e-05,0.00104023933257461,-1.14937695535838,0,14,126,"AHR; APOA1; APOB; APOE; CCL2; CD40LG; CETP; CRP; CYP3A5; DPP4; FASLG; HMGCR; IL6; LDLR; LPL; MTTP; PON1; RHOA; SERPINE1; SLCO1B1; VCAM1",-86.0681084062081,TRUE,FALSE
"43","triamcinolone","31307","YAPC","trt_cp","down",-0.330062696186895,4.80226316933093e-05,0.00106845094493107,-1.14688444563262,0,14,126,"BGLAP; CYP3A5; CYP3A7; NR3C1; SERPINA6",-87.3847790120539,TRUE,FALSE
"44","fluspirilene","3396","YAPC","trt_cp","down",-0.329692790303104,4.80226316933093e-05,0.00106845094493107,-1.14559911618045,0,14,126,"CACNG1; HRH1; HTR1D; HTR1E",-87.8702828330576,FALSE,FALSE
"45","nutlin-3",NA,"YAPC","trt_cp","down",-0.329103086577254,5.02638329005639e-05,0.00109598253125507,-1.14355004478123,0,14,126,NA,-83.2082643976995,FALSE,FALSE
"46","amlexanox","2161","YAPC","trt_cp","down",-0.328872467117355,5.02638329005639e-05,0.00109598253125507,-1.14274870044734,0,14,126,"FGF1; IL3; PPID; S100A12; S100A13; S100A9",-85.9725833136374,FALSE,FALSE
"47","zosuquidar","3036703","YAPC","trt_cp","down",-0.32869498627344,5.02638329005639e-05,0.00109598253125507,-1.14213199937316,0,14,126,"ABCB1; ABCB4",-88.5478216339715,FALSE,FALSE
"48","cyclosporin-a","16404350","YAPC","trt_cp","down",-0.327886978906497,5.31360519234533e-05,0.00113856240905574,-1.13932437799756,0,14,126,"ABCB11; CAMLG; CYP3A5; CYP3A7; FPR1; PPIA; PPID; PPIF; PPP3CA; PPP3R2; SLC10A1; SLCO1B1; SLCO1B3",-82.0402978019381,FALSE,FALSE
"49","cordycepin",NA,"YAPC","trt_cp","down",-0.327871364195918,5.31360519234533e-05,0.00113856240905574,-1.13927012082493,0,14,126,NA,-85.7775939494209,FALSE,FALSE
"50","tipranavir",NA,"YAPC","trt_cp","down",-0.326989461767661,5.60082709463426e-05,0.00117579157845264,-1.13620573278829,0,14,126,NA,-87.3207673520838,TRUE,FALSE
"51","SDZ-NKT-343","44208964","YAPC","trt_cp","down",-0.325020677146865,6.28841892132596e-05,0.00126646412325887,-1.12936470384295,0,14,126,"TACR1",-84.8597652249271,FALSE,FALSE
"52","gatifloxacin","5379","YAPC","trt_cp","down",-0.319682869498393,8.91911043547236e-05,0.00164191832860697,-1.11081717139977,0,14,126,"TOP2A",-81.3804853068621,TRUE,FALSE
"53","CX-5461",NA,"YAPC","trt_cp","down",-0.319113282979956,9.60452633866187e-05,0.00174375473365471,-1.10883800221166,0,14,126,NA,-81.8994721500039,FALSE,FALSE
"54","doramapimod","156422","YAPC","trt_cp","down",-0.31891144757634,9.60452633866187e-05,0.00174375473365471,-1.10813667519816,0,14,126,NA,-81.8827306389348,FALSE,FALSE
"55","lonidamine","39562","YAPC","trt_cp","down",-0.318429491767804,0.000103269329413886,0.00184100786271131,-1.10646200057822,0,14,126,"CFTR; GCK; HK1",-81.0170960371859,FALSE,FALSE
"56","alizapride","6410734","YAPC","trt_cp","down",-0.316217387921019,0.000121808197652535,0.00209110593785783,-1.0987754988217,0,14,126,NA,-84.1713936815568,FALSE,FALSE
"57","diclofenac","3033","YAPC","trt_cp","down",-0.315454765290137,0.000131708649587495,0.00222347848939528,-1.09612557793288,0,14,126,"AKR1C3; ALOX5; ASIC1; ASIC3; CYP2C8; CYP2C9; KCNQ2; KCNQ3; LTF; PLA2G2A; PPARG; SCN4A; TF; TNF; ZADH2",-80.4646261719058,TRUE,FALSE
"58","basimglurant",NA,"YAPC","trt_cp","down",-0.314271429824792,0.000142914655623768,0.00237203755976788,-1.09201378627982,-0.953599393683907,14,126,NA,-85.2093673678405,FALSE,FALSE
"59","pyrimethamine","4993","YAPC","trt_cp","down",-0.313478906700989,0.000155447974996376,0.00253327061034056,-1.08925996873547,0,14,126,"DHFR; DHFRP1; HEXA; HEXB; PDF; SLC47A1; STAT3",-80.73347514378,TRUE,FALSE
"60","acexamic-acid",NA,"YAPC","trt_cp","down",-0.309111124020894,0.000219746514486058,0.00333591569247605,-1.07408302788279,0,14,126,NA,-82.8813125344678,FALSE,FALSE
"61","ivermectin","45114068","YAPC","trt_cp","down",-0.299502355835091,0.000502137866600136,0.00655639546432354,-1.04069498706115,0,14,126,"CHRNA7; GABRB3; GLRA3; P2RX7",-81.294808161979,TRUE,FALSE
"62","lomitapide",NA,"YAPC","trt_cp","down",-0.296874477391953,0.000660088153624029,0.00825264608121132,-1.03156377366968,0,14,126,"MTTP",-80.6596155361223,TRUE,FALSE
