"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","id","jlf_tau"
"26","procaterol","4916","GI1","trt_cp","up",0.287390985020741,0.00159862923782317,0.0300613346899104,1.24103842646067,NA,NA,0,597,554,"ADRB2","procaterol__GI1__trt_cp",86.6629244465453
"27","pamidronate",NA,"GI1","trt_cp","down",-0.292279624200385,0.00103167061009283,0.0224085476858324,-1.23375360690591,NA,NA,0,597,554,"FDPS","pamidronate__GI1__trt_cp",-92.1531552824391
"28","BI-2536","11364421","GI1","trt_cp","down",-0.291443634383667,0.00112815105817989,0.0238362403353763,-1.23022477572401,NA,NA,-1.16950257913135,597,554,"BRD4; PLK1; PLK2; PLK3","BI-2536__GI1__trt_cp",-91.0019301977468
"29","icosapent","446284","GI1","trt_cp","down",-0.291101898436958,0.00112815105817989,0.0238362403353763,-1.22878225998924,NA,NA,0,597,554,"ACSL3; ACSL4; FADS1; FFAR1; PPARA; PPARD; PPARG; SLC8A1; TRPV1","icosapent__GI1__trt_cp",-88.8294729378398
"30","cyclandelate",NA,"GI1","trt_cp","up",0.284284207038806,0.00207102223014839,0.0359548437917914,1.22762244941538,NA,NA,0,597,554,"CACNA2D1; CES1","cyclandelate__GI1__trt_cp",90.9645079965335
"31","PHCCC","5866327","GI1","trt_cp","down",-0.290516106269735,0.00112815105817989,0.0238362403353763,-1.22630954845081,NA,NA,0,597,554,"GRM1; GRM4","PHCCC__GI1__trt_cp",-87.388718191129
"32","trandolapril",NA,"GI1","trt_cp","down",-0.289822159226945,0.00122939677873674,0.0251892385996859,-1.22338029989513,NA,NA,0,597,554,"ACE","trandolapril__GI1__trt_cp",-88.8816670605846
"33","troglitazone","5591","GI1","trt_cp","up",0.282999958419852,0.00225214610247059,0.0379886916659923,1.22207668782812,NA,NA,0,597,554,"ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2","troglitazone__GI1__trt_cp",89.6527613645316
"34","DNQX","3899541","GI1","trt_cp","up",0.278362144460722,0.00340555963251089,0.0507728890506072,1.202049249119,NA,NA,0,597,554,"GRIA1; GRIK1; GRIN1; GRIN2A; GRIN2B","DNQX__GI1__trt_cp",88.7723548412511
"35","GS-9973",NA,"GI1","trt_cp","down",-0.284633706232607,0.00190314973195451,0.0338388086817701,-1.20147910642829,NA,NA,0,597,554,NA,"GS-9973__GI1__trt_cp",-87.2616796659576
"36","maraviroc","483407","GI1","trt_cp","down",-0.28461587336753,0.00190314973195451,0.0338388086817701,-1.20140383138416,NA,NA,0,597,554,"CCR5; CYP3A5","maraviroc__GI1__trt_cp",-87.3818246277476
"37","LY-294002","3973","GI1","trt_cp","down",-0.284081511999653,0.00207102223014839,0.0359548437917914,-1.19914821651941,NA,NA,-0.753490635225371,597,554,"AKT1; CHEK1; GSK3B; LCK; MAPK11; MAPK12; MAPK14; MAPK8; MTOR; PDE2A; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIM1; PLK1; PRKCA; PRKDC; ROCK1; RPS6KB1; SGK1","LY-294002__GI1__trt_cp",-87.3729614748286
"38","SB-225002","3854666","GI1","trt_cp","up",0.277661883201341,0.00340555963251089,0.0507728890506072,1.19902531595217,NA,NA,0,597,554,"CXCR2","SB-225002__GI1__trt_cp",90.0437248877334
"39","SC-19220","4336830","GI1","trt_cp","up",0.276986333868519,0.00369260746091965,0.0537041151549162,1.1961080961203,NA,NA,0,597,554,"PTGER1","SC-19220__GI1__trt_cp",87.6910501851414
"40","GS-6201",NA,"GI1","trt_cp","up",0.275184565556326,0.00432997897318083,0.0599023685085387,1.18832753295876,NA,NA,0,597,554,NA,"GS-6201__GI1__trt_cp",85.5963917119672
"41","linopirdine","3932","GI1","trt_cp","down",-0.280522508633141,0.00266420073608011,0.0426776462445998,-1.18412516025117,NA,NA,0,597,554,"KCNQ2; KCNQ3; KCNQ4; KCNQ5","linopirdine__GI1__trt_cp",-80.0273772945718
"42","D-609","45479729","GI1","trt_cp","down",-0.280418265428917,0.00289317316621545,0.0452881726514847,-1.18368513495156,NA,NA,0,597,554,NA,"D-609__GI1__trt_cp",-81.3696525644056
"43","moexipril","91270","GI1","trt_cp","up",0.273777173215359,0.00468130358184425,0.0633051392881599,1.18225000072121,NA,NA,0,597,554,"ACE; ACE2","moexipril__GI1__trt_cp",88.0879224769558
"44","odanacatib",NA,"GI1","trt_cp","up",0.272869026271289,0.00506602861626627,0.0670085723342637,1.1783283562953,NA,NA,0,597,554,"CTSK; CTSV","odanacatib__GI1__trt_cp",85.3334515087056
"45","testosterone-enanthate",NA,"GI1","trt_cp","up",0.271354271632405,0.00591107026757636,0.0746838023206139,1.17178720221776,NA,NA,0,597,554,NA,"testosterone-enanthate__GI1__trt_cp",85.9479634444182
"46","isosorbide-dinitrate",NA,"GI1","trt_cp","down",-0.277024656634222,0.00369260746091965,0.0537041151549162,-1.16936023254916,NA,NA,-0.254725499954234,597,554,NA,"isosorbide-dinitrate__GI1__trt_cp",-85.1404317340266
"47","NPPB",NA,"GI1","trt_cp","up",0.269560918463066,0.00637667437857474,0.0786007554136919,1.16404297810717,NA,NA,0,597,554,NA,"NPPB__GI1__trt_cp",81.817734184196
"48","sulmazole","55690","GI1","trt_cp","up",0.269532458697038,0.00637667437857474,0.0786007554136919,1.16392008050394,NA,NA,0,597,554,NA,"sulmazole__GI1__trt_cp",87.0578271488222
"49","suprofen","5359","GI1","trt_cp","down",-0.273144478201972,0.00506602861626627,0.0670085723342637,-1.15298145093096,NA,NA,0,597,554,"CYP2C9","suprofen__GI1__trt_cp",-85.0911919955881
"50","AS-77",NA,"GI1","trt_cp","up",0.266800986359039,0.00798516054986283,0.0920055761801057,1.15212478312526,NA,NA,0.923080261824108,597,554,NA,"AS-77__GI1__trt_cp",86.3290790199322
"51","flupirtine","25162978","GI1","trt_cp","down",-0.272876441818789,0.00506602861626627,0.0670085723342637,-1.15185003147112,NA,NA,0,597,554,"KCNQ1; KCNQ2; KCNQ3","flupirtine__GI1__trt_cp",-81.1195146931379
"52","cicloprofen",NA,"GI1","trt_cp","up",0.266690868122369,0.00798516054986283,0.0920055761801057,1.15164926033476,NA,NA,0,597,554,NA,"cicloprofen__GI1__trt_cp",85.6151028125739
"53","CTEP",NA,"GI1","trt_cp","down",-0.272774457006306,0.00506602861626627,0.0670085723342637,-1.15141953916228,NA,NA,0,597,554,NA,"CTEP__GI1__trt_cp",-80.9688410935161
"54","Ro-20-1724",NA,"GI1","trt_cp","down",-0.270808717758881,0.00591107026757636,0.0746838023206139,-1.14312187594548,NA,NA,-0.503250916476783,597,554,NA,"Ro-20-1724__GI1__trt_cp",-85.0458914362247
"55","ibuprofen-piconol",NA,"GI1","trt_cp","up",0.263774795062005,0.00993996670575931,0.107709313751961,1.13905680298257,NA,NA,0,597,554,NA,"ibuprofen-piconol__GI1__trt_cp",82.9482785787442
"56","epitiostanol","73707456","GI1","trt_cp","up",0.262593488531179,0.0106730570928818,0.113580476780506,1.13395557547511,NA,NA,0,597,554,NA,"epitiostanol__GI1__trt_cp",79.8382966989679
"57","trequinsin","5537","GI1","trt_cp","up",0.262154641709542,0.0114617205662501,0.119530548750057,1.1320605063972,NA,NA,0,597,554,"PDE4A; PDE4B; PDE4C; PDE4D; PDE5A; PTGIR","trequinsin__GI1__trt_cp",84.6480343496415
"58","LY-2140023","9834591","GI1","trt_cp","up",0.260789664493743,0.0122900293658284,0.125614367581649,1.12616613509002,NA,NA,0,597,554,"GRM2; GRM3","LY-2140023__GI1__trt_cp",86.6678484203892
"59","BRD-K61033289",NA,"GI1","trt_cp","up",0.260536938729525,0.0122900293658284,0.125614367581649,1.12507479123757,NA,NA,0,597,554,NA,"BRD-K61033289__GI1__trt_cp",83.3983297880722
"60","AZD-5363",NA,"GI1","trt_cp","down",-0.266085011639411,0.0085973783864387,0.0969582619805122,-1.12318244472853,NA,NA,0,597,554,NA,"AZD-5363__GI1__trt_cp",-84.8666587883085
"61","dabrafenib","44462760","GI1","trt_cp","down",-0.264986615146023,0.00925109108420132,0.102252399374566,-1.11854595787373,NA,NA,0,597,554,"BRAF; LIMK1; NEK11; RAF1; SIK1; SIK1B","dabrafenib__GI1__trt_cp",-77.6490979279918
"62","DUP-697","3177","GI1","trt_cp","up",0.257636583455754,0.0150961655919563,0.14553546367318,1.11255020789033,NA,NA,0,597,554,NA,"DUP-697__GI1__trt_cp",80.6507523832033
"63","BRD-K12745498",NA,"GI1","trt_cp","down",-0.263363198061651,0.0106730570928818,0.113580476780506,-1.11169328489375,NA,NA,0,597,554,NA,"BRD-K12745498__GI1__trt_cp",-82.8429055384858
"64","amiodarone","2157","GI1","trt_cp","down",-0.263122874187435,0.0106730570928818,0.113580476780506,-1.11067884385138,NA,NA,-0.912703875337145,597,554,"ABCG2; ADRB1; CACNA1H; CACNA2D2; CYP2C8; CYP2C9; DIO3; KCNA7; KCNH2; PPARG; SCN5A; THRA; THRB","amiodarone__GI1__trt_cp",-84.0394311825416
"65","cryptotanshinone",NA,"GI1","trt_cp","up",0.257005948339002,0.0161436769251451,0.152209241382259,1.10982694079513,NA,NA,0,597,554,NA,"cryptotanshinone__GI1__trt_cp",78.4231466162452
"66","benazepril","5362124","GI1","trt_cp","down",-0.261782559826752,0.0114617205662501,0.119530548750057,-1.10502118748411,NA,NA,0,597,554,"ACE","benazepril__GI1__trt_cp",-78.3847396202631
"67","GW-842166",NA,"GI1","trt_cp","up",0.25575354719737,0.0172592511454823,0.159935517276588,1.10441870594045,NA,NA,0,597,554,NA,"GW-842166__GI1__trt_cp",77.2522256361774
"68","omarigliptin",NA,"GI1","trt_cp","up",0.255645205115003,0.0172592511454823,0.159935517276588,1.10395085310432,NA,NA,0.633249451360363,597,554,NA,"omarigliptin__GI1__trt_cp",81.4966910895769
"69","zardaverine","5723","GI1","trt_cp","down",-0.260833064563461,0.0122900293658284,0.125614367581649,-1.10101323376844,NA,NA,0,597,554,"PDE3A; PDE4A; PDE4B; PDE4C; PDE4D","zardaverine__GI1__trt_cp",-79.5113448357362
"70","chlorpyrifos",NA,"GI1","trt_cp","up",0.254076641468043,0.019688430384091,0.175479853850797,1.09717733597369,NA,NA,0,597,554,NA,"chlorpyrifos__GI1__trt_cp",80.6399196407469
"71","mozavaptan",NA,"GI1","trt_cp","down",-0.258821893846744,0.0141064467869857,0.138733659325683,-1.09252379789812,NA,NA,0,597,554,NA,"mozavaptan__GI1__trt_cp",-74.7971322776333
"72","CP-339818",NA,"GI1","trt_cp","down",-0.258226295914749,0.0150961655919563,0.14553546367318,-1.09000969484056,NA,NA,-0.886749254169272,597,554,NA,"CP-339818__GI1__trt_cp",-81.3706373591744
"73","PACOCF3",NA,"GI1","trt_cp","up",0.251152909101955,0.0238390479829864,0.201222966615492,1.08455180349661,NA,NA,0,597,554,NA,"PACOCF3__GI1__trt_cp",73.7158276215237
"74","EBPC","54677973","GI1","trt_cp","down",-0.256828995531684,0.0161436769251451,0.152209241382259,-1.08411149241795,NA,NA,0,597,554,"AKR1A1; AKR1B1","EBPC__GI1__trt_cp",-80.1130544394548
"75","DPCPX",NA,"GI1","trt_cp","down",-0.256714783379578,0.0161436769251451,0.152209241382259,-1.08362938678025,NA,NA,0,597,554,NA,"DPCPX__GI1__trt_cp",-81.539037264634
"76","oxypurinol",NA,"GI1","trt_cp","up",0.249187139153524,0.0269838449429949,0.219590282969344,1.07606303324722,NA,NA,0,597,554,"AOX1","oxypurinol__GI1__trt_cp",76.3787126762783
"77","exalamide",NA,"GI1","trt_cp","down",-0.254579983895925,0.0184415609396317,0.16758813889869,-1.07461809640999,NA,NA,0,597,554,NA,"exalamide__GI1__trt_cp",-74.5982037343418
"78","CH-223191","3091786","GI1","trt_cp","up",0.248637771741363,0.0269838449429949,0.219590282969344,1.07369070389706,NA,NA,0,597,554,NA,"CH-223191__GI1__trt_cp",73.9955093358544
"79","acetylsalicylsalicylic-acid","10745","GI1","trt_cp","up",0.248425898451655,0.0286771268531633,0.229543604696328,1.07277577299187,NA,NA,0,597,554,NA,"acetylsalicylsalicylic-acid__GI1__trt_cp",77.0582210667297
"80","SC-144",NA,"GI1","trt_cp","down",-0.254053595594094,0.019688430384091,0.175479853850797,-1.072396136984,NA,NA,-1.045966171976,597,554,NA,"SC-144__GI1__trt_cp",-85.0449066414559
"81","SAL-003",NA,"GI1","trt_cp","down",-0.253932568595122,0.019688430384091,0.175479853850797,-1.07188526491441,NA,NA,-0.877765972206764,597,554,NA,"SAL-003__GI1__trt_cp",-75.9306310564878
"82","L-701324","54682505","GI1","trt_cp","up",0.247027875541677,0.0304563795009032,0.239666971484789,1.06673870070086,NA,NA,0.313701694426539,597,554,"GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D","L-701324__GI1__trt_cp",78.9578901756874
"83","coumophos",NA,"GI1","trt_cp","up",0.246880737716287,0.0304563795009032,0.239666971484789,1.06610331648628,NA,NA,0,597,554,NA,"coumophos__GI1__trt_cp",74.927125187111
"84","BD-1008","126388","GI1","trt_cp","up",0.246561789424889,0.0304563795009032,0.239666971484789,1.06472600437035,NA,NA,0,597,554,NA,"BD-1008__GI1__trt_cp",82.7414716773024
"85","dofetilide","71329","GI1","trt_cp","up",0.24644759907866,0.0323253672338734,0.249672707872247,1.06423289701839,NA,NA,0,597,554,"KCNH1; KCNH2; KCNH5; KCNJ12; KCNK2","dofetilide__GI1__trt_cp",75.2747577404869
"86","emetine","10219","GI1","trt_cp","down",-0.251238116883586,0.0238390479829864,0.201222966615492,-1.06051160338451,NA,NA,0,597,554,"MRPS7; RPS11; RPS12; RPS13; RPS14; RPS15; RPS15A; RPS16; RPS19; RPS2; RPS20; RPS21; RPS23; RPS24; RPS25; RPS27; RPS27L; RPS28; RPS29; RPS3; RPS3A; RPS5; RPS6; RPS7; RPS8; RPSA; RPSAP58; RSRC1","emetine__GI1__trt_cp",-84.9769558024108
"87","AZD-1208",NA,"GI1","trt_cp","up",0.244575600460211,0.0342699465493095,0.260257830558903,1.05614905882976,NA,NA,0,597,554,NA,"AZD-1208__GI1__trt_cp",74.0447490742929
"88","estradiol-cypionate","9403","GI1","trt_cp","up",0.244352556262887,0.0363066327065934,0.271601643698123,1.05518588867445,NA,NA,0,597,554,"ESR1","estradiol-cypionate__GI1__trt_cp",75.8991176238872
"89","KBG",NA,"GI1","trt_cp","down",-0.249811522866592,0.0253670249846935,0.210154946972808,-1.05448974839249,NA,NA,0,597,554,NA,"KBG__GI1__trt_cp",-78.3650437248877
"90","barasertib-HQPA","16007391","GI1","trt_cp","up",0.243542359692885,0.0363066327065934,0.271601643698123,1.05168722264536,NA,NA,0,597,554,NA,"barasertib-HQPA__GI1__trt_cp",76.1384227526983
"91","quizartinib","24889392","GI1","trt_cp","down",-0.248920437300096,0.0269838449429949,0.219590282969344,-1.0507283502631,NA,NA,0,597,554,"CSF1R; DDR1; FLT3; FLT4; KIT; PDGFRA; PDGFRB; RET","quizartinib__GI1__trt_cp",-80.0687386748602
"92","PF-573228",NA,"GI1","trt_cp","down",-0.248780728319647,0.0269838449429949,0.219590282969344,-1.05013861890903,NA,NA,-0.117206970820907,597,554,NA,"PF-573228__GI1__trt_cp",-73.6301504766407
"93","SYM-2081",NA,"GI1","trt_cp","up",0.242852931837423,0.0384308997848403,0.283297806733345,1.04871007128886,NA,NA,0,597,554,NA,"SYM-2081__GI1__trt_cp",74.63168675648
"94","lazabemide",NA,"GI1","trt_cp","up",0.240264614113597,0.0454072586806183,0.314451408995329,1.03753295745237,NA,NA,0,597,554,NA,"lazabemide__GI1__trt_cp",70.988930906799
"95","toloxatone",NA,"GI1","trt_cp","down",-0.24511643127092,0.0342699465493095,0.260257830558903,-1.0346711031251,NA,NA,0,597,554,"MAOA","toloxatone__GI1__trt_cp",-70.9131017096037
"96","razoxane",NA,"GI1","trt_cp","down",-0.242740596217118,0.0384308997848403,0.283297806733345,-1.02464236754334,NA,NA,0,597,554,"TOP2A; TOP2B","razoxane__GI1__trt_cp",-75.7996533522414
"97","lapatinib","208908","GI1","trt_cp","down",-0.242614559858945,0.0384308997848403,0.283297806733345,-1.0241103502605,NA,NA,-0.803126924754581,597,554,"CYP3A5; EGFR; ERBB2; ERBB4","lapatinib__GI1__trt_cp",-74.9369731347987
"98","N20C","6603827","GI1","trt_cp","down",-0.242191051885981,0.0406627445210355,0.295185711298544,-1.02232266324459,NA,NA,0,597,554,NA,"N20C__GI1__trt_cp",-70.706294808162
"99","resorcinol","5054","GI1","trt_cp","down",-0.241947694174331,0.0406627445210355,0.295185711298544,-1.02129541594557,NA,NA,0,597,554,"CA12; CA14; INS-IGF2; PNMT; TPO","resorcinol__GI1__trt_cp",-65.0151658394391
"100","glipizide","3478","GI1","trt_cp","up",0.236266089149109,0.0560728741151226,0.314451408995329,1.02026615581719,NA,NA,0,597,554,"ABCC8; CYP2C9; KCNJ10; KCNJ11; PPARG","glipizide__GI1__trt_cp",74.254510360041
"101","famprofazone","3326","GI1","trt_cp","down",-0.241540692223507,0.0406627445210355,0.295185711298544,-1.01957740318221,NA,NA,0,597,554,NA,"famprofazone__GI1__trt_cp",-69.1168360513669
"102","nifedipine","4485","GI1","trt_cp","down",-0.241030902478461,0.0429869136914285,0.306341719691376,-1.01742550861059,NA,NA,0,597,554,"ABCG2; CACNA1C; CACNA1D; CACNA1F; CACNA1H; CACNA1S; CACNA2D1; CACNB2; CALM1; CALM2; CALM3; CYP2C9; CYP3A5; EDN1; GLRA1; GLRA3; GLRB; KCNA1; KCNA5; NR1I2; TRPM3","nifedipine__GI1__trt_cp",-70.2286693453084
"103","adaptavir",NA,"GI1","trt_cp","up",0.235305088163962,0.0589969453950692,0.314451408995329,1.01611627216531,NA,NA,0,597,554,NA,"adaptavir__GI1__trt_cp",70.5300165445521
"104","latrepirdine","197033","GI1","trt_cp","down",-0.240508159008193,0.0429869136914285,0.306341719691376,-1.01521893453381,NA,NA,0,597,554,"GRIN2B; HRH1; HTR6","latrepirdine__GI1__trt_cp",-70.2473804459151
"105","imatinib","123596","GI1","trt_cp","down",-0.2399236878816,0.0454072586806183,0.314451408995329,-1.01275179929461,NA,NA,0,597,554,"ABCG2; ABL1; ABL2; BCR; CRKL; CSF1R; CYP2C8; CYP3A5; DDR1; DDR2; ETV6; FIP1L1; FYN; KIT; LYN; MCL1; NQO2; NTRK1; NUP214; PDGFRA; PDGFRB; RET; STAT5A; YES1","imatinib__GI1__trt_cp",-72.0209958244702
"106","methoxyflurane",NA,"GI1","trt_cp","down",-0.239865935164744,0.0454072586806183,0.314451408995329,-1.01250801691352,NA,NA,0,597,554,"ATP2C1; ATP5D; ATP5F1D; CYB5A; CYP2E1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GLRA1; GRIA1; KCNA1; MT-ND1; ND1","methoxyflurane__GI1__trt_cp",-70.5743323091468
"107","enalaprilat","5462501","GI1","trt_cp","down",-0.239218483291777,0.0479388803977101,0.314451408995329,-1.00977503104167,NA,NA,0,597,554,"ACE; ACE2; AGT; ATP6AP2; BDKRB1","enalaprilat__GI1__trt_cp",-64.7955566060033
"108","mephenytoin","4060","GI1","trt_cp","up",0.233641225388046,0.0620255045215908,0.314451408995329,1.00893122549059,NA,NA,0,597,554,"NR1I2; SCN5A","mephenytoin__GI1__trt_cp",70.7427322146065
"109","nialamide","4472","GI1","trt_cp","up",0.232714767965345,0.0651635561187426,0.314451408995329,1.00493051105632,NA,NA,0,597,554,"COMT; MAOA; MAOB","nialamide__GI1__trt_cp",65.9595840226897
"110","piperine","638024","GI1","trt_cp","down",-0.237747443870524,0.0505539052626407,0.314451408995329,-1.003565565716,NA,NA,0,597,554,"MAOA; MAOB; NR1I2; TRPV1","piperine__GI1__trt_cp",-72.7851965650358
"111","lomeguatrib",NA,"GI1","trt_cp","down",-0.236921214266354,0.0532625383566355,0.314451408995329,-1.00007793377085,NA,NA,0,597,554,"MGMT","lomeguatrib__GI1__trt_cp",-69.0902465926101
"112","kynurenic-acid",NA,"GI1","trt_cp","up",0.231377761674497,0.0717489885981173,0.314451408995329,0.99915692639345,NA,NA,0,597,554,NA,"kynurenic-acid__GI1__trt_cp",67.9449302765304
"113","quinapril","54892","GI1","trt_cp","up",0.231295475285788,0.0717489885981173,0.314451408995329,0.998801589672103,NA,NA,0,597,554,"ACE; SERPINE1","quinapril__GI1__trt_cp",71.8653982510045
"114","ZK-93423","121926","GI1","trt_cp","down",-0.23647141776667,0.0560728741151226,0.314451408995329,-0.998179279167826,NA,NA,-0.726441995801076,597,554,"GABRA2; GABRA3; GABRA5; GABRB2; GABRG2","ZK-93423__GI1__trt_cp",-72.7970141022611
"115","captopril","44093","GI1","trt_cp","up",0.231084728377556,0.0717489885981173,0.314451408995329,0.997891522811948,NA,NA,0,597,554,"ACE; ACE2; AGT; ATP6AP2; BDKRB1; LTA4H; MMP2; MMP9","captopril__GI1__trt_cp",67.466320018908
"116","rucaparib","9931954","GI1","trt_cp","down",-0.235785702690917,0.0560728741151226,0.314451408995329,-0.995284778908581,NA,NA,-0.680275208032037,597,554,"PARP1; PARP2; PARP3; TNKS2","rucaparib__GI1__trt_cp",-74.8562199637596
