"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"GO:0070989","BP","GO:0070989","oxidative demethylation","11/74","262/22568",9.17222583685436e-10,1.84314888128571e-07,1.25103211456022e-07,"nifedipine/imatinib/amiodarone/suprofen/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",11
"GO:0086012","BP","GO:0086012","membrane depolarization during cardiac muscle cell action potential","10/74","198/22568",9.49323908744621e-10,1.84314888128571e-07,1.25103211456022e-07,"nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",10
"GO:0098912","BP","GO:0098912","membrane depolarization during atrial cardiac muscle cell action potential","9/74","144/22568",1.05882999093808e-09,1.97961992379831e-07,1.34366145048868e-07,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",9
"GO:0045742","BP","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","10/74","202/22568",1.15290393264349e-09,2.0785210899944e-07,1.41079033862953e-07,"psb-11/vardenafil/lisinopril/erlotinib/theobromine/atorvastatin/theophylline/pentoxifylline/vandetanib/psb-1115",10
"GO:1901186","BP","GO:1901186","positive regulation of ERBB signaling pathway","10/74","204/22568",1.26855491764176e-09,2.2081604221571e-07,1.49878267038981e-07,"psb-11/vardenafil/lisinopril/erlotinib/theobromine/atorvastatin/theophylline/pentoxifylline/vandetanib/psb-1115",10
"GO:0099624","BP","GO:0099624","atrial cardiac muscle cell membrane repolarization","9/74","148/22568",1.35037372504582e-09,2.27222885467711e-07,1.54226893860497e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",9
"GO:0001956","BP","GO:0001956","positive regulation of neurotransmitter secretion","10/74","208/22568",1.53122734875601e-09,2.49343085694205e-07,1.69240917494086e-07,"psb-11/nifedipine/nicardipine/nilvadipine/theobromine/orlistat/theophylline/pentoxifylline/nimodipine/verapamil",10
"GO:0030506","MF","GO:0030506","ankyrin binding","10/74","212/22568",1.84115566835752e-09,2.77907128766111e-07,1.88628681319061e-07,"flupirtine/nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",10
"GO:0086014","BP","GO:0086014","atrial cardiac muscle cell action potential","10/74","213/22568",1.92685212100117e-09,2.77907128766111e-07,1.88628681319061e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",10
"GO:0086026","BP","GO:0086026","atrial cardiac muscle cell to AV node cell signaling","10/74","213/22568",1.92685212100117e-09,2.77907128766111e-07,1.88628681319061e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",10
"GO:0086066","BP","GO:0086066","atrial cardiac muscle cell to AV node cell communication","10/74","213/22568",1.92685212100117e-09,2.77907128766111e-07,1.88628681319061e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",10
"GO:0086091","BP","GO:0086091","regulation of heart rate by cardiac conduction","11/74","289/22568",2.56769630753804e-09,3.60048082234778e-07,2.44381622252524e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",11
"GO:0070050","BP","GO:0070050","neuron cellular homeostasis","13/74","460/22568",2.99373773817401e-09,4.08442921683848e-07,2.77229483293212e-07,"psb-11/nifedipine/nicardipine/nilvadipine/guanadrel/theobromine/orlistat/theophylline/pentoxifylline/nimodipine/vandetanib/verapamil/psb-1115",13
"GO:0086045","BP","GO:0086045","membrane depolarization during AV node cell action potential","9/74","163/22568",3.16906561041128e-09,4.20985347404109e-07,2.85742619442901e-07,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",9
"GO:1903523","BP","GO:1903523","negative regulation of blood circulation","12/74","387/22568",4.59916964141815e-09,5.95297649996893e-07,4.0405660412459e-07,"psb-11/papaverine/nicardipine/thioridazine/vardenafil/pi-103/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/psb-1115",12
"GO:0099625","BP","GO:0099625","ventricular cardiac muscle cell membrane repolarization","9/74","171/22568",4.82851601808086e-09,6.09358721481804e-07,4.13600516811926e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/vernakalant/verapamil",9
"GO:1901078","BP","GO:1901078","negative regulation of relaxation of muscle","6/74","43/22568",5.59688472816108e-09,6.66246741084601e-07,4.5221309997297e-07,"papaverine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine",6
"GO:1901898","BP","GO:1901898","negative regulation of relaxation of cardiac muscle","6/74","43/22568",5.59688472816108e-09,6.66246741084601e-07,4.5221309997297e-07,"papaverine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine",6
"GO:0086046","BP","GO:0086046","membrane depolarization during SA node cell action potential","8/74","120/22568",5.67523967247184e-09,6.66246741084601e-07,4.5221309997297e-07,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",8
"GO:0086048","BP","GO:0086048","membrane depolarization during bundle of His cell action potential","7/74","77/22568",6.10298550185242e-09,7.00178882121614e-07,4.75244445180134e-07,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/vernakalant/verapamil",7
"GO:0043268","BP","GO:0043268","positive regulation of potassium ion transport","11/74","317/22568",6.72080903676205e-09,7.53002512027919e-07,5.11098335276269e-07,"psb-11/flupirtine/nifedipine/amiodarone/thioridazine/theobromine/theophylline/pentoxifylline/vernakalant/verapamil/psb-1115",11
"GO:0035815","BP","GO:0035815","positive regulation of renal sodium excretion","9/74","178/22568",6.8617503077029e-09,7.53002512027919e-07,5.11098335276269e-07,"psb-11/nifedipine/sitaxentan/lisinopril/theobromine/theophylline/macitentan/pentoxifylline/tolvaptan",9
"GO:0042311","BP","GO:0042311","vasodilation","13/74","498/22568",7.72738281415326e-09,8.2995379672012e-07,5.6332880313704e-07,"psb-11/amiodarone/sitaxentan/thioridazine/lisinopril/cinacalcet/theobromine/atorvastatin/theophylline/orciprenaline/macitentan/pentoxifylline/psb-1115",13
"GO:0032743","BP","GO:0032743","positive regulation of interleukin-2 production","9/74","183/22568",8.74061188897495e-09,9.19221016990533e-07,6.23918677601173e-07,"papaverine/imatinib/thioridazine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/vandetanib",9
"GO:0099509","BP","GO:0099509","regulation of presynaptic cytosolic calcium ion concentration","11/74","336/22568",1.2261909597728e-08,1.263226931619e-06,8.57411723750906e-07,"psb-11/nifedipine/nicardipine/nilvadipine/theobromine/orlistat/theophylline/pentoxifylline/nimodipine/verapamil/psb-1115",11
"GO:0015858","BP","GO:0015858","nucleoside transport","7/74","92/22568",2.13819556614034e-08,2.15872224357528e-06,1.46522664584985e-06,"psb-11/fludarabine/theobromine/theophylline/pentoxifylline/verapamil/psb-1115",7
"GO:0061098","BP","GO:0061098","positive regulation of protein tyrosine kinase activity","12/74","446/22568",2.22022325751271e-08,2.19758568704395e-06,1.49160509870049e-06,"psb-11/quizartinib/imatinib/nicardipine/thioridazine/lisinopril/cilazapril/erlotinib/theobromine/theophylline/pentoxifylline/psb-1115",12
"GO:1903514","BP","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","11/74","359/22568",2.41947094406854e-08,2.34874794724192e-06,1.59420605727593e-06,"nifedipine/icosapent/nicardipine/nilvadipine/maraviroc/atorvastatin/piclamilast/nimodipine/zardaverine/verapamil/fpl-64176",11
"GO:0086015","BP","GO:0086015","SA node cell action potential","8/74","146/22568",2.65885187865703e-08,2.44034259699285e-06,1.65637566794806e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",8
"GO:0086018","BP","GO:0086018","SA node cell to atrial cardiac muscle cell signaling","8/74","146/22568",2.65885187865703e-08,2.44034259699285e-06,1.65637566794806e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",8
"GO:0086070","BP","GO:0086070","SA node cell to atrial cardiac muscle cell communication","8/74","146/22568",2.65885187865703e-08,2.44034259699285e-06,1.65637566794806e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",8
"GO:0099622","BP","GO:0099622","cardiac muscle cell membrane repolarization","10/74","281/22568",2.71847776656765e-08,2.45051352957741e-06,1.66327915980784e-06,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil",10
"GO:0000930","CC","GO:0000930","gamma-tubulin complex","6/74","56/22568",2.88228136956423e-08,2.55258883395793e-06,1.73256248530592e-06,"papaverine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine",6
"GO:0086009","BP","GO:0086009","membrane repolarization","10/74","287/22568",3.31746716142573e-08,2.8645432822817e-06,1.9443006889288e-06,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil",10
"GO:0007190","BP","GO:0007190","activation of adenylate cyclase activity","12/74","463/22568",3.34802008032132e-08,2.8645432822817e-06,1.9443006889288e-06,"psb-11/nifedipine/nicardipine/az-628/amiodarone/sitaxentan/thioridazine/theophylline/orciprenaline/macitentan/psb-1115/tolvaptan",12
"GO:0086002","BP","GO:0086002","cardiac muscle cell action potential involved in contraction","11/74","372/22568",3.47888855520833e-08,2.92690490444861e-06,1.9866284644216e-06,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",11
"GO:0009187","BP","GO:0009187","cyclic nucleotide metabolic process","11/74","375/22568",3.77545730873339e-08,3.1243456548338e-06,2.12064081793394e-06,"psb-11/papaverine/nicardipine/vardenafil/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/vandetanib/verapamil",11
"GO:0035812","BP","GO:0035812","renal sodium excretion","10/74","295/22568",4.29614004236553e-08,3.29382176808023e-06,2.23567225271106e-06,"psb-11/nifedipine/sitaxentan/lisinopril/theobromine/theophylline/macitentan/pentoxifylline/psb-1115/tolvaptan",10
"GO:0035813","BP","GO:0035813","regulation of renal sodium excretion","10/74","295/22568",4.29614004236553e-08,3.29382176808023e-06,2.23567225271106e-06,"psb-11/nifedipine/sitaxentan/lisinopril/theobromine/theophylline/macitentan/pentoxifylline/psb-1115/tolvaptan",10
"GO:0086011","BP","GO:0086011","membrane repolarization during action potential","9/74","220/22568",4.30773974310838e-08,3.29382176808023e-06,2.23567225271106e-06,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/nimodipine/vernakalant/verapamil",9
"GO:0045741","BP","GO:0045741","positive regulation of epidermal growth factor-activated receptor activity","6/74","60/22568",4.39854966174217e-08,3.29382176808023e-06,2.23567225271106e-06,"psb-11/erlotinib/theobromine/theophylline/pentoxifylline/psb-1115",6
"GO:0032663","BP","GO:0032663","regulation of interleukin-2 production","10/74","296/22568",4.4348289146708e-08,3.29382176808023e-06,2.23567225271106e-06,"panobinostat/papaverine/imatinib/thioridazine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/vandetanib",10
"GO:0086019","BP","GO:0086019","cell-cell signaling involved in cardiac conduction","10/74","296/22568",4.4348289146708e-08,3.29382176808023e-06,2.23567225271106e-06,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",10
"GO:0045921","BP","GO:0045921","positive regulation of exocytosis","11/74","381/22568",4.43700238172456e-08,3.29382176808023e-06,2.23567225271106e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/orlistat/theophylline/pentoxifylline/nimodipine/vandetanib/verapamil/psb-1115",11
"GO:0044062","BP","GO:0044062","regulation of excretion","10/74","297/22568",4.57745588663828e-08,3.34884019068841e-06,2.27301585217507e-06,"psb-11/nifedipine/sitaxentan/lisinopril/theobromine/theophylline/macitentan/pentoxifylline/psb-1115/tolvaptan",10
"GO:0046058","BP","GO:0046058","cAMP metabolic process","9/74","222/22568",4.65605243470223e-08,3.35767895576812e-06,2.27901513909109e-06,"psb-11/papaverine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/vandetanib/verapamil",9
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential","12/74","479/22568",4.85389811819134e-08,3.38466090464733e-06,2.29732906093649e-06,"flupirtine/nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",12
"GO:1901897","BP","GO:1901897","regulation of relaxation of cardiac muscle","6/74","61/22568",4.86579977286291e-08,3.38466090464733e-06,2.29732906093649e-06,"papaverine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine",6
"GO:0086016","BP","GO:0086016","AV node cell action potential","9/74","224/22568",5.02871568638173e-08,3.38466090464733e-06,2.29732906093649e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",9
"GO:0086027","BP","GO:0086027","AV node cell to bundle of His cell signaling","9/74","224/22568",5.02871568638173e-08,3.38466090464733e-06,2.29732906093649e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",9
"GO:0086067","BP","GO:0086067","AV node cell to bundle of His cell communication","9/74","224/22568",5.02871568638173e-08,3.38466090464733e-06,2.29732906093649e-06,"nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",9
"GO:0086010","BP","GO:0086010","membrane depolarization during action potential","11/74","387/22568",5.19986494641999e-08,3.45380503283265e-06,2.34426044329599e-06,"nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",11
"GO:0032242","BP","GO:0032242","regulation of nucleoside transport","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0032244","BP","GO:0032244","positive regulation of nucleoside transport","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0032795","MF","GO:0032795","heterotrimeric G-protein binding","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0032899","BP","GO:0032899","regulation of neurotrophin production","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0032900","BP","GO:0032900","negative regulation of neurotrophin production","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0099582","MF","GO:0099582","neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:1901843","BP","GO:1901843","positive regulation of high voltage-gated calcium channel activity","5/74","33/22568",7.29995313057884e-08,4.43977872327253e-06,3.01348731008676e-06,"nifedipine/nicardipine/nilvadipine/nimodipine/verapamil",5
"GO:0035810","BP","GO:0035810","positive regulation of urine volume","7/74","112/22568",8.39393933994401e-08,5.04435783190921e-06,3.42384367813506e-06,"psb-11/nifedipine/sitaxentan/theobromine/theophylline/macitentan/pentoxifylline",7
"GO:0035256","MF","GO:0035256","G protein-coupled glutamate receptor binding","7/74","114/22568",9.48419077496871e-08,5.63249353318142e-06,3.82303912972423e-06,"psb-11/nifedipine/imatinib/nicardipine/theobromine/theophylline/pentoxifylline",7
"GO:0016712","MF","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","11/74","412/22568",9.79011814669613e-08,5.74657167494443e-06,3.90046934730672e-06,"nifedipine/imatinib/amiodarone/suprofen/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",11
"GO:0070330","MF","GO:0070330","aromatase activity","8/74","173/22568",9.9335495940566e-08,5.76374233917215e-06,3.91212388731449e-06,"nifedipine/imatinib/amiodarone/vardenafil/maraviroc/atorvastatin/lapatinib/verapamil",8
"GO:0043015","MF","GO:0043015","gamma-tubulin binding","7/74","117/22568",1.13425389103733e-07,6.48738292344758e-06,4.40329289678494e-06,"papaverine/imatinib/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine",7
"GO:1900453","BP","GO:1900453","negative regulation of long-term synaptic depression","5/74","36/22568",1.15071428144996e-07,6.48738292344758e-06,4.40329289678494e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:0032623","BP","GO:0032623","interleukin-2 production","10/74","328/22568",1.15662532311863e-07,6.48738292344758e-06,4.40329289678494e-06,"panobinostat/papaverine/imatinib/thioridazine/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/vandetanib",10
"GO:0033695","MF","GO:0033695","oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor","8/74","177/22568",1.18475735710529e-07,6.50071210724728e-06,4.41234004276626e-06,"nifedipine/imatinib/amiodarone/suprofen/vardenafil/theophylline/skf-96365/verapamil",8
"GO:0034875","MF","GO:0034875","caffeine oxidase activity","8/74","177/22568",1.18475735710529e-07,6.50071210724728e-06,4.41234004276626e-06,"nifedipine/imatinib/amiodarone/suprofen/vardenafil/theophylline/skf-96365/verapamil",8
"GO:0002087","BP","GO:0002087","regulation of respiratory gaseous exchange by neurological system process","6/74","71/22568",1.22303909172508e-07,6.63860358605181e-06,4.50593349582923e-06,"psb-11/nifedipine/theobromine/theophylline/pentoxifylline/psb-1115",6
"GO:0070988","BP","GO:0070988","demethylation","11/74","427/22568",1.40233169528898e-07,7.53081957214765e-06,5.11152258473196e-06,"nifedipine/imatinib/amiodarone/suprofen/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",11
"GO:0032241","BP","GO:0032241","positive regulation of nucleobase-containing compound transport","5/74","38/22568",1.5243161531389e-07,8.01536243858873e-06,5.44040469130168e-06,"psb-11/theobromine/theophylline/pentoxifylline/psb-1115",5
"GO:1901387","BP","GO:1901387","positive regulation of voltage-gated calcium channel activity","5/74","38/22568",1.5243161531389e-07,8.01536243858873e-06,5.44040469130168e-06,"nifedipine/nicardipine/nilvadipine/nimodipine/verapamil",5
"GO:1904879","BP","GO:1904879","positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","5/74","39/22568",1.74402969751403e-07,9.07614630211424e-06,6.16040875247765e-06,"nifedipine/nicardipine/nilvadipine/nimodipine/verapamil",5
"GO:0098683","CC","GO:0098683","cochlear hair cell ribbon synapse","5/74","40/22568",1.98810353512008e-07,1.02407618829451e-05,6.95088829947998e-06,"nifedipine/nicardipine/nilvadipine/nimodipine/verapamil",5
"GO:0051590","BP","GO:0051590","positive regulation of neurotransmitter transport","10/74","350/22568",2.1092846285412e-07,1.07552210150262e-05,7.30007598713621e-06,"psb-11/nifedipine/nicardipine/nilvadipine/theobromine/orlistat/theophylline/pentoxifylline/nimodipine/verapamil",10
"GO:0042058","BP","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","11/74","446/22568",2.16722802350727e-07,1.08613579230188e-05,7.37211611465221e-06,"psb-11/vardenafil/lisinopril/erlotinib/theobromine/atorvastatin/theophylline/pentoxifylline/lapatinib/vandetanib/psb-1115",11
"GO:0050961","BP","GO:0050961","detection of temperature stimulus involved in sensory perception","8/74","192/22568",2.21203023468778e-07,1.08613579230188e-05,7.37211611465221e-06,"psb-11/icosapent/imatinib/theobromine/theophylline/pentoxifylline/vandetanib/psb-1115",8
"GO:0050965","BP","GO:0050965","detection of temperature stimulus involved in sensory perception of pain","8/74","192/22568",2.21203023468778e-07,1.08613579230188e-05,7.37211611465221e-06,"psb-11/icosapent/imatinib/theobromine/theophylline/pentoxifylline/vandetanib/psb-1115",8
