"LongTable-checkbox","lineage3","depmapId","displayName"," Tumor Type"," temozolomide Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 temozolomide (BRD:BRD-K32107296-001-16-9)"," pamidronate Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 pamidronate (BRD:BRD-K58513245-304-02-7)"," floxuridine Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 floxuridine (BRD:BRD-K47832606-001-30-1)"," nimodipine Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 nimodipine (BRD:BRD-A58048407-001-18-8)"," simvastatin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 simvastatin (BRD:BRD-K22134346-001-22-3)"," vardenafil Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 vardenafil (BRD:BRD-K13926615-003-03-3)"," moxifloxacin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 moxifloxacin (BRD:BRD-K66615216-003-14-8)"," diltiazem Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 diltiazem (BRD:BRD-A69636825-003-04-7)"," diflunisal Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 diflunisal (BRD:BRD-K22031190-001-23-6)"," saxagliptin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 saxagliptin (BRD:BRD-A81513827-001-03-6)"," icosapent Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 icosapent (BRD:BRD-K47192521-001-05-4)"," MGMT Methylation (1kb upstream TSS) MGMT_10_131264504_131265504"," TP53 (LFS1, p53) Mutation 22Q2 Public"," EGFR (ERBB1, ERBB) Mutation 22Q2 Public"," EGFR (ERBB1, ERBB) Copy Number 22Q2 Public"," TERT (TCS1, hEST2, EST2, TP2, TRT) Mutation 22Q2 Public"," CDKN2A (p19Arf, CMM2, ARF, p14ARF, MTS1, CDK4I, CDKN2, p14, MLM, p19, INK4, INK4a, p16, p16INK4a) Mutation 22Q2 Public"," KRAS (KRAS1, KRAS2) Mutation 22Q2 Public"," PDGFRA (PDGFR2, GAS9, CD140a) Mutation 22Q2 Public"," RB1 (PPP1R130, RB, OSRC) Mutation 22Q2 Public"," MTOR (FRAP1, FLJ44809, RAPT1, RAFT1, FRAP, FRAP2) Mutation 22Q2 Public"," PTEN (MHAM, PTEN1, MMAC1, BZS, TEP1) Mutation 22Q2 Public"," BRCA1 (BRCC1, PPP1R53, RNF53, FANCS) Mutation 22Q2 Public"," Gender"," Microsatellite Instability CCLE (NGS)"," Microsatellite Instability GDSC (PCR)"
"true","Glioblastoma","ACH-002230","D542MG","","","","","","","","","","","","","","1","0","1.3936303456047092","0","0","0","0","1","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002231","D566MG","","","","","","","","","","","","","","1","0","1.285570328513329","0","0","0","0","0","0","1","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000863","DBTRG05MG","Primary","-0.0684098531377","-0.454336272025","-1.87640584732","-0.181808557349","-0.349459681996","-0.329787842305","0.0798503526807","-0.300451218519","0.119608235797","-0.509184660448","0.122486175257","0.36067","0","0","1.268210035344358","0","0","0","0","0","0","0","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000244","DKMG","Primary","-0.497062485923","-0.131672269896","-0.143232784134","0.14314747800799998","-1.05683446635","-0.26490453045","-0.509740928518","-0.0777559224092","-0.106028467479","-0.396633116337","-0.0980544095962","0.76473","0","0","3.559632667021737","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000098","GAMG","Primary","0.0946883347755","-0.210644287266","-1.3229632594399998","-0.465350120622","0.598881455338","-0.0368812148146","0.10779177211","0.241200325766","0.245732190521","-0.405806388151","-0.422206274857","0.03358","1","0","1.4926819863468967","0","0","0","0","0","0","0","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000738","GB1","Primary","0.442684171467","-0.449294097122","-0.6022019025550001","-0.08170678607489999","-1.45149689699","-0.833131581856","-0.683092183317","0.06999780406600001","-0.00872811696428","-0.567971502894","-0.854084391287","0.41405","1","0","1.6266114105424194","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000756","GI1","Primary","-1.63265149269","-0.06836098934109999","-2.86632776801","0.177671654909","-0.6589126208789999","0.14868025602","-0.22382909399","0.34469024353","0.124006928023","0.445291402448","0.0102747517692","0.44628","1","0","1.1406725608441994","0","0","0","0","1","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000102","GMS10","Primary","-0.26047092232","-0.12784625938799998","-1.41950945558","-0.462603466803","-0.190442855449","-0.282361975581","-0.368785713282","-0.218675412817","0.361188045221","-0.198773885277","-0.25003773291","0.57795","1","0","1.0104022331981963","0","0","0","0","1","0","1","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000027","GOS3","Primary","-0.94425370426","-0.307555042515","-0.289766688029","-0.131609274832","-1.03084134096","-0.180785274322","0.152669749278","0.0293759107624","0.133485492264","-0.338733809924","-0.359432716554","0.64582","0","1","1.2974233937171618","0","0","0","0","0","0","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000231","KALS1","Primary","-0.300683703136","0.121716949946","-1.37161057008","-0.32346772864100004","-1.40787605921","-0.115597700711","0.255715612031","-0.40870294573","-0.145220946923","0.15649033692199998","0.07328778445610001","0.14005","1","0","1.065208681144866","0","0","0","0","0","1","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000622","KNS42","Primary","-0.152031853457","-0.445683941809","-1.65830653227","0.136288629391","-2.79260457973","0.0313514821698","-0.07009612381189999","-0.0555653905431","-0.0753475401487","-0.187897103081","-0.0644010375522","","1","0","1.1620649370185918","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000445","KNS60","Primary","-0.127164106562","0.039686567300900005","-0.622747535327","-0.467099524517","0.0861696859019","-0.11849608055","-0.0368169679774","-0.112941777543","0.11532220075099997","-0.361607755428","-0.35780360525","0.34876999999999997","1","1","1.8271853524266848","0","0","0","0","0","0","0","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000479","KNS81","Primary","0.309774911793","-0.647869408979","-2.04857995087","0.135370710225","-2.19518023559","0.104844245711","-0.302068334182","-0.0465839369513","0.298860139393","-0.324106195903","0.0725952544383","0.39116999999999996","0","1","1.6155395936629182","0","0","0","0","0","0","0","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-002259","KNS81FD","","","","","","","","","","","","","","0","1","1.4102257043391937","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000819","LN18","Primary","0.09805413399","-0.392444580955","-3.5683529613","-0.237563924712","-0.820534164129","-0.261733169555","0.0642218956282","0.0176848445453","-0.23531828847","-0.32481684755600004","-0.053260310101","","1","0","1.3047769945397811","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000328","LN215","","","","","","","","","","","","","","1","0","1.4961131179488412","0","0","0","0","0","1","1","0","Female","",""
"true","Glioblastoma","ACH-000595","LN229","Primary","-0.489593377498","-0.291793814609","-0.822358883133","-0.007737488560839998","-1.08622455764","-0.00890483042535","-0.023152143128","0.565793288046","-0.356413477349","-0.892837230908","0.0700642069287","0.76593","1","0","1.5392359886281608","0","0","0","0","0","0","0","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000634","LN340","","","","","","","","","","","","","","1","0","1.363979844461056","0","0","0","0","0","0","1","0","Male","",""
"true","Glioblastoma","ACH-000215","LN382","","","","","","","","","","","","","","1","0","1.5981002295603983","0","0","0","0","1","0","1","1","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-002268","LN405","","","","","","","","","","","","","","1","1","1.004408214229843","0","0","0","0","1","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000455","LN428","","","","","","","","","","","","","","1","1","1.535064804187485","1","0","0","0","0","0","0","0","Male","",""
"true","Glioblastoma","ACH-000673","LN443","","","","","","","","","","","","","","1","0","0.8286269687248697","0","0","0","0","0","0","0","0","Female","unannotated","unannotated"
"true","Glioblastoma","ACH-000676","LN464","","","","","","","","","","","","","","1","0","1.0707782916776771","0","0","0","0","0","0","1","0","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-000760","LNZ308","","","","","","","","","","","","","","0","0","1.1715473444277738","0","0","0","0","0","0","1","0","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-000152","M059K","Primary","","","","","","","","","","","","0.16647","1","0","1.1844451213370526","0","0","0","0","0","0","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000200","NMCG1","Primary","-0.296709893304","-0.506537184518","-1.26544257414","-0.507462168069","-1.00672150269","0.110856988821","0.139841078968","0.312487704403","0.644876235541","-0.0364710510967","-0.0912186869564","0.28476999999999997","0","0","1.537140427845316","0","0","0","0","0","0","0","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-001605","NO10","Primary","","","","","","","","","","","","","1","0","1.337098738849651","0","0","0","0","1","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-001606","NO11","Primary","","","","","","","","","","","","","1","0","1.1922845058417006","0","0","0","0","1","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-001608","NP2","Primary","","","","","","","","","","","","","1","0","0.5697494624778181","0","0","0","0","0","0","0","0","Male","",""
"true","Glioblastoma","ACH-001609","NP3","Primary","","","","","","","","","","","","","1","0","1.0328716612865352","0","0","0","0","0","0","1","0","Male","",""
"true","Glioblastoma","ACH-001610","NP5","Primary","","","","","","","","","","","","","1","0","1.3205944057235397","0","0","0","1","0","0","1","1","Male","",""
"true","Glioblastoma","ACH-001611","NP8","Primary","","","","","","","","","","","","","0","0","0.9382515963127208","0","1","0","0","0","0","0","0","Female","",""
"true","Glioblastoma","ACH-001622","ONDA7","Primary","","","","","","","","","","","","","0","0","1.1411507720265543","0","0","0","0","0","0","1","0","Male","",""
"true","Glioblastoma","ACH-001623","ONDA8","Primary","","","","","","","","","","","","","1","0","1.4157115973841394","0","0","0","0","0","0","0","0","Female","",""
"true","Glioblastoma","ACH-001624","ONDA9","Primary","","","","","","","","","","","","","0","0","2.4166592828680686","0","0","0","0","0","0","1","0","Male","",""
"true","Glioblastoma","ACH-000887","SF172","","","","","","","","","","","","","","1","0","1.2356460195265409","0","0","0","0","1","0","0","0","Female","unannotated","unannotated"
"true","Glioblastoma","ACH-000376","SF295","Primary","0.522504503516","0.5076903499700001","-2.38039507684","-0.745379050825","-0.17610235361499998","0.6908243309450001","0.19855317218","-0.532693851329","0.399313649518","-0.0758650977758","0.186125261307","0.19374","1","0","1.5903956030958355","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-001198","SNB19","Primary","","","","","","","","","","","","","","","1.2822422920216885","","","","","","","","","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-000368","SNU1105","Primary","-0.020182943432200003","-0.221772295427","-0.451955895117","-0.301778035335","-0.307718202938","-0.500266625857","-0.248093956355","-0.203888651485","-0.391567622346","-0.08752638425760001","-0.270799363162","0.19596","1","1","1.371902713688124","0","0","0","0","0","0","0","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000623","SNU201","Primary","-0.596207281445","0.19090656901500005","-2.50623248593","0.156779295245","-2.15867764655","-0.386416593484","0.25098522748","0.232149162296","-0.0733470061366","-1.17918147353","-0.383443663115","0.02159","1","0","1.1434923501063323","0","0","0","0","0","1","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000289","SNU466","","0.27164429499000003","-0.246912719432","0.553780198042","-1.09167113866","-1.39038581366","-0.303298920447","0.374213365931","-1.03666256934","-0.576269083059","0.247353759253","0.72888509934","","0","0","1.5589756140405058","0","0","0","0","0","0","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000543","SNU489","","-0.0105232475862","-0.499034081075","-0.355985511602","0.212081838017","-1.30850578123","-0.6162074113780001","-0.180779142825","0.778606644481","0.0537379639908","-0.535189262847","-0.504046326932","0.03636","1","0","1.3818174293748702","0","0","0","0","0","0","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000370","SNU626","","","","","","","","","","","","","0.04303","1","0","1.4751711688151858","0","0","0","0","1","0","1","0","Male","MSS","unannotated"
"true","Glioblastoma","ACH-000571","T98G","Primary","0.0549041042404","0.114994312022","-3.0036890109400005","-0.47606393752","0.7144113987440001","-0.239639709965","-0.278200248772","0.259121793711","0.0964199173807","-0.105904190634","0.117383937829","","1","0","1.1955940638353588","0","0","0","0","0","0","1","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000208","U178","","","","","","","","","","","","","","1","0","1.3618938656923896","0","1","0","0","0","0","1","0","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-000036","U343","","","","","","","","","","","","","","0","0","1.4620478401870138","0","0","0","0","0","0","1","0","Male","unannotated","unannotated"
"true","Glioblastoma","ACH-000469","YH13","Primary","0.301806951242","-1.04940350425","-0.971714487259","-0.06264010350549999","0.227843837709","-0.701194836062","0.0829614149373","-0.115098344308","0.142735232056","0.7780228895360001","0.0198960126213","0.04314","1","0","1.3898513721223429","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000570","YKG1","Primary","0.33594489733499994","0.373904293841","-1.12539905228","-0.0623407445681","-3.37206456578","0.796980697938","0.71089188066","0.09959137974369997","0.272422467329","-0.709532848033","0.279575751955","0.05019","1","0","1.352159576559708","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
